Joints
200
,,Mathew:HandOuter_Thumb,,,Mathew:LowerArm_HandOuter,,,Mathew:UpperArm_LowerArm,,,Mathew:World_UpperArm,,,,,,
Frame,Sub Frame,RX,RY,RZ,RX,RY,RZ,RX,RY,RZ,RX,RY,RZ,TX,TY,TZ
,,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,mm,mm,mm
1,0,-0.136353,-35.9866,0.0331619,-3.1718,3.06973,29.005,9.93563,48.9635,-98.8348,-17.1593,-24.1843,-123.224,436.3,23.4344,617.362
2,0,-0.0530712,-36.8399,-0.0370425,-3.32132,5.09741,29.623,8.84518,49.7261,-100.669,-17.4443,-24.1349,-122.935,436.121,23.3652,617.513
3,0,0.516591,-36.8284,1.55828,-3.73528,5.39926,29.7865,8.7472,49.9286,-100.425,-17.4689,-24.0771,-122.849,436.018,23.3078,617.795
4,0,0.821649,-36.6246,1.93625,-3.84494,5.96883,29.8786,8.37563,50.172,-100.346,-17.5569,-24.0097,-122.914,435.845,23.2103,618.077
5,0,1.44293,-37.8454,2.73751,-3.83212,6.64405,29.0467,7.91766,50.7218,-100.411,-17.5842,-23.8507,-123.01,435.753,23.1231,618.481
6,0,1.53717,-37.3389,2.7431,-3.28393,7.28681,29.264,7.61852,51.1218,-100.561,-17.5966,-23.7156,-123.002,435.647,23.1294,618.794
7,0,2.03731,-38.8483,2.4024,-2.13355,12.6043,25.6851,5.09202,53.8405,-104.608,-17.9438,-23.051,-123.068,435.457,22.929,620
8,0,2.22326,-39.1121,2.24323,-2.25406,12.9813,25.4554,4.8675,54.0905,-104.3,-17.9329,-23.0445,-123.064,435.397,22.9351,620.149
9,0,2.69975,-40.102,2.36826,-3.25705,12.7217,25.3792,4.93928,54.2037,-103.122,-17.9745,-23.0219,-122.956,435.285,22.8573,620.336
10,0,3.07194,-40.6203,3.11409,-2.96865,12.9216,25.4572,4.89735,54.3857,-102.819,-17.9813,-23.0019,-122.941,435.155,22.884,620.461
11,0,3.77591,-39.4491,0.446618,-1.97335,12.6362,25.7454,4.86594,54.4341,-102.155,-17.9478,-22.9948,-123.085,435.033,22.8722,620.627
12,0,3.68446,-39.3853,0.0753443,-1.95093,12.6789,25.6959,4.7563,54.7447,-101.708,-17.9584,-22.9805,-122.949,434.915,22.9071,620.762
13,0,3.83737,-40.1026,-0.0855065,-1.69058,13.0151,25.6782,4.55354,54.9337,-101.24,-18.0048,-23.0088,-122.942,434.773,22.8584,620.849
14,0,4.4586,-39.2097,2.58769,-1.75039,12.7018,25.8129,4.74283,55.2598,-101.137,-18.0597,-23.066,-122.438,434.603,22.8894,621.012
15,0,4.64876,-39.3469,2.86784,-1.61499,12.7592,25.8546,4.73077,55.5669,-100.78,-18.0585,-23.0881,-122.112,434.462,22.8965,621.124
16,0,4.70033,-38.5451,3.58536,-1.71063,13.0219,25.5439,4.72933,55.9189,-100.367,-18.021,-23.0853,-121.846,434.339,22.9741,621.275
17,0,4.70015,-37.7045,3.51175,-2.2094,9.29844,27.6535,6.57769,54.4565,-96.6069,-17.7375,-23.5158,-121.68,434.308,23.1992,620.91
18,0,5.62724,-37.836,6.09276,-2.00572,8.64204,28.2846,6.46667,54.2509,-96.6594,-17.6683,-23.8014,-121.631,434.222,23.1847,621.01
19,0,5.70802,-37.1922,6.20125,-2.08045,8.25827,28.4121,6.61753,54.0896,-95.5311,-17.656,-24.0006,-121.6,434.107,23.2316,621.094
20,0,8.13658,-26.1736,-18.89,16.3739,-11.4983,16.3385,4.9014,55.1525,-99.6612,-17.8407,-23.8146,-121.662,433.91,23.1435,622.185
21,0,12.1663,-22.5588,-9.78112,13.8777,-6.62767,18.1813,4.92029,55.3438,-99.259,-17.8933,-23.9604,-121.529,433.658,23.1773,622.368
22,0,14.2116,-22.5021,-5.73305,16.1404,-3.6346,16.1985,4.97022,56.1025,-100.897,-17.614,-23.9888,-121.877,433.533,23.2163,622.939
23,0,15.4903,-23.989,-6.06124,16.7786,-1.8151,14.3502,4.42009,56.8258,-102.117,-17.3931,-24.1564,-121.887,433.466,23.3724,623.045
24,0,14.9532,-22.4903,-3.98152,17.9478,-1.39804,11.5541,3.63012,57.5757,-103.26,-17.2815,-24.2865,-121.881,433.385,23.5188,623.087
25,0,3.11607,-28.1407,0.0291751,17.2613,-0.635374,10.7257,2.57972,58.3512,-100.634,-18.042,-24.2546,-120.896,432.808,23.5528,622.538
26,0,3.07365,-27.5727,0.311599,17.1904,-0.454101,10.5574,2.47408,58.5323,-100.282,-18.0395,-24.3992,-120.777,432.563,23.6111,622.538
27,0,3.03954,-26.9076,0.737796,17.1188,-0.206951,10.3451,2.43755,58.8443,-99.8717,-18.1007,-24.5619,-120.465,432.324,23.7275,622.653
28,0,3.43099,-27.5421,0.968664,17.4973,0.00070309,10.4454,2.45298,58.9417,-99.7418,-18.1701,-24.8226,-120.246,432.014,23.7062,622.739
29,0,3.73473,-26.8514,2.04715,17.4429,0.126392,10.3272,2.44315,59.0229,-99.5998,-18.1036,-25.0787,-120.025,431.745,23.8413,622.824
30,0,4.00771,-26.9724,2.32011,17.6275,0.272104,10.3432,2.29615,59.032,-99.3737,-18.1409,-25.2947,-119.901,431.441,23.9143,622.906
31,0,9.19497,-24.1187,15.3031,15.1642,-1.34473,14.1858,2.3465,58.2887,-99.7693,-18.142,-25.6408,-119.665,431.171,24.119,623.011
32,0,17.1888,-26.8547,6.68939,15.5604,-8.88883,9.82715,4.03314,57.3369,-96.5962,-18.0492,-26.1267,-119.45,431.061,24.0578,623.048
33,0,18.4412,-26.9472,8.85823,16.1945,-10.58,8.45404,4.06431,57.2643,-96.2024,-18.0179,-26.3829,-119.333,430.771,24.1897,623.09
34,0,19.563,-27.7236,9.23193,17.6373,-13.2229,5.29846,4.08921,57.4036,-95.691,-17.9868,-26.603,-119.256,430.648,24.257,623.503
35,0,20.5552,-27.4702,11.551,17.7528,-13.7598,4.66579,4.16805,57.3283,-95.4164,-17.9596,-26.9365,-119.135,430.407,24.4507,623.44
36,0,21.0448,-28.1678,10.4608,17.4594,-13.9219,3.58528,4.09732,57.4211,-94.8398,-17.8908,-27.2084,-119.069,430.21,24.5295,623.307
37,0,21.7404,-28.0648,11.8907,18.4715,-15.1566,1.12025,4.01577,57.6785,-94.721,-17.7115,-27.3531,-119.038,430.016,24.6956,623.354
38,0,22.8748,-28.7328,12.143,18.1853,-14.7735,0.554332,4.04275,57.8404,-94.5407,-17.6136,-27.5663,-118.862,429.724,24.9479,623.341
39,0,22.7825,-27.8215,14.1383,19.5762,-16.9757,-2.47316,3.91605,57.992,-94.5385,-17.5339,-27.8402,-118.721,429.494,25.2002,623.589
40,0,24.2838,-28.8518,14.1843,20.2241,-17.4517,-3.63749,3.78921,57.9648,-94.7151,-17.5823,-28.1489,-118.58,429.181,25.426,623.666
41,0,24.9242,-21.9672,1.13132,18.0822,-12.7068,2.23096,3.72474,58.1941,-94.3005,-17.8462,-28.4992,-118.166,428.824,25.3987,623.798
42,0,25.3153,-22.3011,0.764908,17.8804,-12.8966,1.84058,3.57694,58.0635,-94.2717,-17.7623,-28.8631,-117.946,428.469,25.7626,623.658
43,0,26.2928,-22.3094,2.3151,18.7506,-14.4874,0.320655,3.48984,57.9923,-94.3764,-17.7148,-29.1891,-117.725,428.129,25.9809,623.598
44,0,26.5095,-22.1243,3.08043,18.5463,-15.1595,-0.995347,3.52417,58.2056,-93.8984,-17.7634,-29.4529,-117.483,427.84,26.0695,623.798
45,0,28.0096,-21.3023,7.60163,18.6191,-11.8987,-2.50676,3.51787,59.0838,-95.0874,-17.5941,-29.4929,-117.588,427.581,26.136,624.291
46,0,28.3954,-22.2124,5.17532,18.1461,-14.1668,-3.34388,2.94736,58.7515,-94.9421,-17.6259,-30.048,-117.142,427.232,26.4663,623.96
47,0,28.2842,-21.3152,7.56718,18.3035,-15.0979,-4.16882,2.98015,58.6936,-94.6774,-17.6033,-30.4371,-116.902,427.028,26.6502,623.706
48,0,29.0487,-21.507,7.81722,16.9991,-14.243,-3.49282,3.08704,58.7526,-94.0862,-17.5656,-30.7397,-116.64,426.782,26.8655,623.532
49,0,29.1756,-21.2868,8.463,16.9713,-14.9832,-4.61616,3.06672,58.7909,-93.8069,-17.5486,-31.0637,-116.445,426.534,27.1007,623.664
50,0,28.7825,-20.225,10.9632,18.0278,-16.8975,-6.11381,3.08329,58.5197,-93.9667,-17.422,-31.5588,-116.29,426.219,27.394,623.679
51,0,29.8703,-20.4463,11.4447,17.3044,-16.3564,-5.66631,3.23603,58.3726,-93.5893,-17.3463,-31.9359,-116.142,425.946,27.6089,623.77
52,0,33.238,-17.8781,0.869905,16.7495,-18.9644,-8.60753,3.88866,58.7795,-91.9744,-17.5974,-31.9818,-115.671,425.362,27.6722,623.676
53,0,32.9768,-17.2751,2.55902,17.2171,-19.4719,-9.9616,3.68467,58.7925,-92.3743,-17.3156,-32.1581,-115.636,425.117,28.2381,623.802
54,0,33.6581,-16.9726,4.27069,17.0367,-19.6534,-10.3344,3.54751,58.6381,-92.4893,-17.1879,-32.5427,-115.566,424.738,28.5866,623.76
55,0,32.9809,-14.3372,0.0200517,16.3708,-17.4327,-7.24074,3.40782,58.2509,-92.3335,-17.0693,-33.0068,-115.613,424.511,28.723,623.563
56,0,33.6969,-13.6634,2.87307,15.915,-15.0036,-8.90141,3.29881,59.1729,-92.9741,-16.8375,-32.8296,-115.726,424.242,28.8529,624.06
57,0,20.0945,-28.5294,5.85455,18.092,-13.0093,-8.23422,4.92874,58.2263,-89.0882,-16.9114,-33.6696,-114.622,423.813,29.401,622.926
58,0,19.9377,-27.2947,6.96772,17.9961,-12.6003,-8.44391,4.6602,58.4198,-89.8633,-16.9405,-34.1052,-114.26,423.536,29.5963,623.031
59,0,20.1003,-25.7021,9.16677,17.9071,-12.1377,-8.6821,3.96263,58.3842,-90.9825,-16.9374,-34.557,-114.198,423.306,29.9435,623.003
60,0,14.247,-16.0852,-6.0788,20.2503,-10.5428,-3.82999,4.21322,58.4303,-90.6019,-16.9103,-34.8579,-113.89,423.041,30.144,622.998
61,0,13.9353,-16.7068,-6.42095,20.0078,-11.1868,-3.43705,5.05823,58.2611,-88.959,-16.8828,-35.0889,-113.614,422.657,30.444,622.856
62,0,27.0001,-10.3205,16.0862,14.8319,-11.043,1.46183,5.17329,58.3074,-90.3285,-16.7847,-35.3657,-113.483,422.34,30.4822,622.99
63,0,26.934,-9.56364,17.6796,14.9875,-11.8318,0.655768,5.03704,58.2265,-90.3697,-16.7453,-35.5716,-113.504,421.831,30.7489,622.979
64,0,28.417,-4.95273,-0.0659674,14.3019,-10.9512,-0.473964,4.2119,58.2437,-91.0439,-16.5402,-35.7259,-113.879,421.505,31.0869,622.944
65,0,28.5187,-4.54195,1.11255,14.3724,-11.0309,-1.24344,4.12622,58.2798,-91.2023,-16.3611,-35.8884,-113.88,421.113,31.3659,623.051
66,0,34.1425,-7.20834,-4.80159,15.1398,-18.4071,-10.74,4.13542,58.3428,-91.6093,-16.2955,-36.1923,-113.524,420.709,31.7591,622.848
67,0,33.632,-6.76434,-3.55577,14.5303,-18.52,-10.2361,4.23978,58.1618,-91.4154,-16.2496,-36.5176,-113.314,420.278,32.0925,622.784
68,0,27.7777,-2.72807,6.17974,13.2299,-8.58004,2.89294,4.78677,58.0217,-90.8759,-16.3324,-36.924,-112.926,419.928,32.2626,622.883
69,0,27.6402,-1.97008,8.10258,13.6814,-9.50665,1.90342,4.73814,58.0008,-91.023,-16.2622,-37.1315,-112.88,419.557,32.6189,623.08
70,0,28.7456,-2.08321,7.72478,12.9947,-8.05623,0.983015,4.55075,58.6596,-91.2869,-16.3395,-36.9472,-112.848,419.303,32.588,623.749
71,0,27.6099,-2.51581,6.34513,12.8706,-8.02981,1.50594,4.38441,58.3999,-91.5528,-16.1981,-37.422,-112.528,418.724,33.2666,622.531
72,0,27.8786,-2.33445,6.63546,12.1716,-7.39881,2.04368,4.32632,58.2348,-91.7425,-16.1172,-37.8233,-112.33,418.45,33.5057,622.393
73,0,29.4708,-2.05126,7.25677,11.5872,-6.73925,2.46421,4.32058,58.0697,-92.0577,-16.001,-38.2053,-112.256,418.15,33.6661,622.438
74,0,29.1722,-1.29631,9.19341,11.996,-7.54697,2.01259,4.25193,57.8086,-92.372,-15.8916,-38.5747,-112.28,417.809,33.877,622.357
75,0,28.592,-0.584062,10.9537,12.0664,-8.11576,1.55293,4.22299,57.6822,-92.3493,-15.8001,-38.7598,-112.3,417.454,34.1378,622.439
76,0,22.563,11.8533,11.9607,9.2509,12.8783,25.3014,4.59055,57.6848,-91.1115,-15.643,-38.727,-112.288,417.144,34.6349,622.416
77,0,7.0909,6.9307,-4.62523,11.9292,13.7509,20.6042,4.83294,57.9561,-88.1497,-15.9718,-38.0564,-112.196,416.635,34.9443,623.175
78,0,23.3276,12.2953,-6.42676,7.71866,15.9338,20.0749,2.70258,59.4946,-93.6568,-15.8812,-38.3497,-112.048,416.315,35.2579,623.257
79,0,23.4969,31.4462,1.93778,4.41745,37.7117,55.7338,6.07631,56.7653,-89.7066,-15.304,-39.561,-111.668,416.074,35.6579,622.236
80,0,21.8246,27.4918,-4.24864,6.06504,27.1353,44.0326,5.84923,56.9364,-90.6184,-15.5249,-39.943,-111.232,415.575,35.6717,622.074
