Joints
200
,,Mathew:HandOuter_Thumb,,,Mathew:LowerArm_HandOuter,,,Mathew:UpperArm_LowerArm,,,Mathew:World_UpperArm,,,,,,
Frame,Sub Frame,RX,RY,RZ,RX,RY,RZ,RX,RY,RZ,RX,RY,RZ,TX,TY,TZ
,,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,mm,mm,mm
37,0,46.7884,-26.0589,3.45255,10.2193,-24.1038,-48.9518,-4.57578,66.2312,-105.353,-17.0231,-30.4152,-111.676,414.21,43.571,632.559
38,0,62.354,-34.3341,13.3345,-24.9251,-27.3229,-66.4354,-8.00675,75.0327,-92.6836,-16.5323,-30.7916,-113.285,415.217,42.4067,631.174
39,0,65.4956,-35.6381,8.05209,-31.6279,-23.6634,-56.6589,-8.47302,77.7391,-86.7463,-19.4371,-28.3274,-109.689,411.253,45.2141,628.814
40,0,66.0826,-35.7863,8.01687,-32.6022,-22.7709,-56.2813,-9.10511,77.3073,-86.801,-18.9333,-28.7206,-110.119,410.837,45.8635,628.699
41,0,65.8378,-35.5677,6.57077,-32.2884,-22.2835,-54.4362,-8.68787,76.5372,-85.8955,-18.815,-29.269,-109.94,410.351,46.2592,628.703
42,0,65.7661,-35.4327,7.56812,-33.1148,-22.6799,-54.096,-8.7043,76.5431,-85.8712,-18.8012,-29.7434,-109.5,409.869,46.6962,628.458
43,0,65.0726,-34.932,9.70753,-34.022,-22.3343,-54.1116,-9.09601,77.0062,-86.8678,-18.9041,-30.3389,-108.874,409.37,46.9892,628.497
44,0,64.4765,-34.5824,9.60199,-33.2701,-22.1298,-52.7298,-8.65935,76.5129,-86.7033,-18.9682,-30.8997,-108.474,408.849,47.3288,628.58
45,0,64.2681,-34.425,9.2938,-33.7259,-22.3929,-52.1863,-8.25371,76.2792,-85.9515,-18.7837,-31.2621,-108.174,408.349,48.0217,628.298
46,0,62.72,-33.6668,15.7961,-14.4018,-27.6624,-55.1732,-6.11712,72.9091,-96.5467,-18.2181,-30.8213,-108.569,406.606,48.9038,629.663
47,0,88.6065,-24.5325,50.8186,9.94143,-102.958,-124.162,2.78372,61.2515,-92.4112,-16.0641,-34.7658,-109.197,408.963,47.5655,632.457
48,0,86.1212,-24.1106,52.2718,10.602,-102.08,-123.624,3.25469,60.7127,-92.2116,-15.8733,-35.3609,-109.009,408.407,47.9802,631.998
49,0,83.2524,-11.7072,26.7357,17.2702,-96.0564,-114.564,6.02915,59.5793,-88.4498,-15.6182,-36.1408,-108.486,408.205,48.1613,631.881
50,0,87.5988,-3.45274,36.2734,13.3207,-108.48,-131.845,5.94792,60.2085,-88.9506,-15.825,-36.4546,-107.818,407.628,48.4438,632.115
51,0,87.4684,-3.35238,36.416,12.1532,-108.949,-131.284,5.83388,60.4437,-89.1263,-15.8593,-36.534,-107.61,406.968,48.9898,631.92
52,0,87.2856,-3.24169,37.3644,11.7451,-108.701,-129.791,5.81231,60.0698,-89.8068,-15.6596,-37.1609,-107.32,406.416,49.454,631.704
53,0,87.3028,-3.11956,37.8309,11.3617,-108.836,-129.329,5.80562,59.8438,-89.8583,-15.5857,-37.6078,-107.211,405.925,49.8192,631.678
54,0,86.9389,-3.05818,35.0798,11.5174,-108.859,-130.286,5.60819,59.7996,-90.1207,-15.5557,-37.8207,-107.196,405.392,50.1296,631.557
55,0,86.5821,-2.99235,33.3623,11.3657,-108.756,-130.67,5.61149,59.7847,-90.4618,-15.451,-38.1138,-107.042,404.862,50.474,631.477
56,0,86.1006,-2.91224,33.6855,10.9818,-109.013,-129.97,5.73362,59.5541,-90.6602,-15.1838,-38.5562,-106.91,404.539,50.8102,631.497
57,0,86.6891,-2.75657,34.6742,10.4154,-108.743,-128.995,5.88344,59.4607,-90.8158,-15.0413,-38.924,-106.61,404.157,51.3303,631.316
58,0,86.6106,-2.64142,35.8584,9.96005,-108.65,-127.988,6.04056,59.4547,-90.9268,-15.0047,-39.1366,-106.308,403.631,51.8152,631.174
59,0,85.2279,-2.62605,35.8186,9.98875,-108.728,-127.678,6.15167,59.3995,-91.0871,-15.0076,-39.3147,-106.096,403.039,52.2279,631.15
60,0,84.5291,6.96136,28.6233,9.69314,-111.571,-131.783,6.21671,59.288,-91.3213,-15.0855,-39.62,-105.89,402.482,52.4241,631.209
61,0,83.8482,14.9672,30.6252,8.66295,-119.776,-143.295,6.13866,58.7156,-90.8349,-14.9852,-39.8157,-106.271,402.108,52.6614,631.323
62,0,84.5571,15.2298,28.7227,9.08532,-119.872,-143.654,5.98048,58.5434,-90.929,-14.9953,-40.0145,-106.267,401.754,53.0224,631.267
63,0,84.753,15.3476,26.7347,9.13018,-119.878,-144.015,5.89452,58.5189,-91.1748,-14.9454,-40.1817,-106.212,401.446,53.3019,631.202
64,0,19.1656,19.3911,-3.52305,9.76087,14.6611,19.7106,3.22711,59.9712,-96.5191,-15.1268,-40.0398,-106.12,400.967,53.5499,631.55
65,0,19.4824,18.0628,-1.36401,9.46041,12.8096,19.3585,4.54599,59.536,-94.5257,-15.0328,-40.1687,-105.826,400.552,53.9294,631.372
66,0,19.4881,17.6947,-2.48239,9.20176,12.4396,19.2371,5.03598,59.5495,-94.3519,-15.0997,-40.4524,-105.329,400.278,54.1735,631.356
67,0,19.8506,17.8733,-1.56569,9.0528,12.4334,19.4293,5.18644,59.5873,-94.6918,-15.2341,-40.7209,-104.922,399.99,54.3671,631.455
68,0,20.0572,18.3533,1.05655,9.2652,12.6224,19.9526,5.12312,59.2846,-95.0152,-15.0269,-40.8332,-105.079,399.663,54.5787,631.509
69,0,20.2282,19.3666,4.28565,9.47106,11.8875,20.3508,5.39387,58.991,-94.8143,-15.0347,-41.0238,-105.015,399.311,54.7297,631.43
70,0,19.9863,19.2586,1.4683,9.13506,11.4641,20.1555,5.74483,58.5287,-94.2044,-14.857,-41.2528,-105.164,399.06,54.8136,631.341
71,0,19.6025,19.068,1.43843,8.81954,11.8849,20.1224,5.74367,58.3669,-94.3518,-14.8068,-41.4503,-105.123,398.785,54.8953,631.267
