Joints
200
,,Mathew:HandOuter_Thumb,,,Mathew:LowerArm_HandOuter,,,Mathew:UpperArm_LowerArm,,,Mathew:World_UpperArm,,,,,,
Frame,Sub Frame,RX,RY,RZ,RX,RY,RZ,RX,RY,RZ,RX,RY,RZ,TX,TY,TZ
,,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,mm,mm,mm
1,0,8.11744,-5.25945,-0.0141777,-32.6854,-29.2756,39.6282,20.5207,36.4323,-46.6334,-19.3692,-23.1619,-123.274,427.354,16.7852,629.873
2,0,8.60301,-5.65894,-0.406681,-32.4642,-29.0706,39.818,20.878,36.7069,-46.4985,-19.3523,-23.2926,-122.772,427.236,16.72,629.788
3,0,9.43674,-6.20594,1.17361,-32.3874,-29.213,40.2321,20.8818,36.8189,-46.3863,-19.2837,-23.4531,-122.671,427.163,16.6198,629.724
4,0,9.37887,-6.07715,1.97724,-32.1101,-28.6737,40.0294,20.6889,37.0646,-45.8705,-19.2087,-23.5458,-122.711,427.018,16.6409,629.692
5,0,15.902,-24.331,-10.7542,-6.8688,17.1725,31.0244,5.36994,54.1735,-91.8724,-19.6493,-22.71,-122.43,426.611,16.5597,630.802
6,0,6.6716,-31.8258,-0.875676,-6.58432,16.0247,30.5816,5.80554,53.9287,-91.0066,-19.4929,-23.0413,-122.235,426.529,16.5277,630.656
7,0,6.62553,-31.886,-2.29979,-6.28788,17.0426,30.1846,5.38806,54.3028,-91.0785,-19.444,-23.1855,-122.203,426.374,16.4276,630.873
8,0,6.70693,-31.9269,-0.738355,-6.07958,17.5145,30.0201,5.09138,54.5168,-90.8017,-19.4667,-23.3518,-122.185,426.191,16.3615,630.958
9,0,-4.56539,-0.820148,-3.08614,11.8775,5.43257,33.2838,4.6257,54.5376,-94.0692,-19.3221,-23.6797,-122.144,426.227,16.0762,631.876
10,0,2.83781,-14.0005,1.6161,13.8111,-4.35777,20.647,4.52182,54.572,-93.7327,-19.2103,-23.9509,-121.951,426.149,16.1241,631.754
11,0,3.17807,-15.5821,-1.03437,18.1853,27.117,13.5516,-6.12443,61.5904,-118.918,-18.6563,-25.0295,-121.523,426.233,16.3024,629.801
12,0,1.48775,-11.6258,-1.09831,14.919,2.63699,21.0158,1.98622,56.7141,-98.4891,-19.2129,-24.1743,-121.199,425.728,16.0805,631.536
13,0,2.06769,-11.9066,2.92714,15.1884,1.23115,20.5591,2.29868,56.6809,-97.8693,-19.0932,-24.4553,-120.906,425.62,16.0864,631.385
14,0,2.84341,-12.6187,3.49104,14.7582,0.75138,20.1479,2.58876,56.7238,-96.763,-19.098,-24.7682,-120.624,425.526,16.0093,631.497
15,0,2.84929,-12.4863,3.60459,15.2797,-0.492748,19.142,2.63752,56.6953,-96.0383,-19.1589,-25.0866,-120.474,425.375,15.936,631.634
16,0,3.81852,-13.5796,3.38521,15.5568,-1.3981,18.8403,2.67577,56.4149,-95.7005,-19.0621,-25.5759,-120.272,425.25,16.0094,631.46
