Joints
200
,,Mathew:HandOuter_Thumb,,,Mathew:LowerArm_HandOuter,,,Mathew:UpperArm_LowerArm,,,Mathew:World_UpperArm,,,,,,
Frame,Sub Frame,RX,RY,RZ,RX,RY,RZ,RX,RY,RZ,RX,RY,RZ,TX,TY,TZ
,,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,mm,mm,mm
1,0,0.495142,-13.1193,-0.00724711,17.2335,-11.7185,25.3192,10.1052,52.6351,-87.3248,-13.5966,-23.7482,-122.007,427.149,27.3259,623.688
2,0,0.926378,-12.8069,1.10457,18.1358,-10.216,24.7585,9.16955,53.31,-89.2393,-13.7369,-24.1054,-121.562,426.981,27.0867,623.757
3,0,0.42927,-12.3399,-0.87409,18.8366,-8.63823,23.954,8.26906,54.1696,-91.1338,-14.2232,-24.7639,-120.85,426.827,25.7964,623.913
4,0,0.425532,-11.4378,0.612143,19.1087,-7.73045,23.3639,7.80095,54.7538,-91.7359,-14.2821,-24.9916,-120.584,426.655,25.6286,624.103
5,0,14.1749,-15.4329,-0.47711,18.1543,-4.15783,21.0896,7.19763,55.3767,-95.5855,-14.2614,-25.1539,-120.429,426.51,25.4095,625.156
6,0,11.3402,-8.69317,-0.689872,17.5827,2.21591,28.0355,6.24293,55.5676,-97.1532,-14.2281,-25.6084,-120.456,426.309,25.3575,625.332
7,0,5.83485,1.14237,-3.09713,16.6208,7.37085,36.4996,6.52475,55.8457,-95.9898,-14.2624,-25.7313,-120.221,426.112,25.3302,625.529
8,0,3.42878,7.07389,-1.59185,14.8809,14.3269,44.7005,6.21431,55.9076,-95.9644,-14.2483,-26.0986,-120.19,425.88,25.2395,625.495
9,0,0.362741,22.0222,-3.25566,12.2346,25.5402,60.286,5.66541,55.705,-96.1551,-14.19,-26.4559,-120.435,425.67,25.2983,625.308
10,0,3.01006,13.9066,-1.9144,14.4166,18.9948,49.2769,4.94894,55.872,-96.1753,-14.1884,-26.725,-120.541,425.459,25.2847,625.534
11,0,5.53941,10.5146,-20.1139,19.5169,25.1267,45.6071,3.82906,57.1031,-102.635,-13.3556,-27.7791,-120.595,425.64,25.4673,624.619
12,0,4.22526,8.95056,-20.4742,19.5229,27.4002,45.154,3.32576,57.6439,-102.808,-13.2842,-28.0644,-120.415,425.411,25.578,624.467
13,0,6.24524,12.1104,-4.36154,21.4913,31.6751,45.1056,1.3459,59.0316,-106.94,-13.3164,-28.4607,-119.968,425.226,25.5795,624.435
14,0,6.52176,12.4515,-2.70189,21.3338,33.1611,45.218,0.986236,59.4099,-107.032,-13.3165,-28.7523,-119.68,424.937,25.6645,624.458
15,0,6.17157,11.9024,-3.87554,20.9934,34.5054,45.0193,0.764929,59.6901,-106.951,-13.3211,-29.1229,-119.353,424.621,25.7457,624.629
16,0,6.63686,12.6128,-1.01095,20.8762,35.8601,45.3175,0.550931,59.9359,-106.906,-13.2318,-29.489,-119.163,424.404,25.8963,624.758
17,0,7.96476,13.6956,-0.956377,20.8036,36.9326,45.0823,0.042203,60.1208,-107.522,-13.2224,-29.9472,-118.896,424.103,25.9419,624.932
18,0,6.68658,9.469,2.85375,15.3535,19.7374,42.1699,4.1077,56.6943,-95.1839,-13.4504,-29.7104,-119.239,423.589,25.8586,625.858
19,0,9.582,6.77643,-1.61004,15.5053,12.4105,36.4325,5.57705,56.3078,-92.4543,-13.3066,-30.041,-118.847,423.225,25.8565,625.645
20,0,10.693,4.50134,1.28225,14.5422,13.6288,35.0454,5.32672,56.7955,-92.363,-13.4829,-30.3593,-118.412,422.754,25.7801,625.744
21,0,6.59552,20.2122,-3.13444,12.6321,25.7227,51.8711,5.26016,56.7334,-92.8168,-13.467,-31.0521,-118.076,422.486,25.7386,625.701
22,0,7.52864,18.5675,-0.673687,13.5129,21.5013,48.0884,5.48498,56.6067,-92.7981,-13.464,-31.6875,-117.581,422.186,25.7814,625.616
23,0,10.7493,8.3018,-1.49251,13.9426,16.6073,37.7216,5.20883,57.1453,-93.1314,-13.5366,-32.1007,-117.028,421.897,25.8294,625.709
24,0,10.2582,9.3245,3.21281,14.1895,15.8638,38.0143,5.83749,57.0074,-92.2711,-13.447,-32.6831,-116.653,421.689,25.8454,625.769
25,0,13.5017,2.19487,-0.705398,16.2367,5.61534,25.2059,6.14949,57.0656,-91.5951,-13.4801,-33.0796,-116.382,421.322,25.8838,625.727
26,0,17.1742,3.44681,4.97653,19.205,7.6988,24.793,6.55948,57.1957,-94.3157,-12.7456,-33.8514,-116.451,420.962,26.1555,625.232
27,0,24.7577,-9.48511,-3.03307,18.383,-9.13618,2.60355,5.7946,57.3083,-92.4649,-13.2465,-34.0163,-115.96,420.617,25.9831,625.774
28,0,25.7186,-9.96566,-1.28605,17.6086,-8.95732,2.88019,5.99205,57.1896,-91.7488,-13.1584,-34.4564,-115.857,420.261,26.1535,625.74
29,0,21.9291,-5.87239,-1.4849,16.0637,-1.45068,10.5411,5.14722,57.4021,-92.5114,-13.0223,-34.7129,-116.029,419.86,26.3788,625.694
30,0,32.8704,-16.6199,4.33519,18.2587,-17.7618,-12.3048,5.27132,57.513,-92.7597,-12.8667,-35.1984,-115.792,419.556,26.4895,625.884
31,0,35.455,-15.674,3.25533,18.2583,-20.6889,-15.333,5.52841,57.4644,-92.4552,-12.8795,-35.6745,-115.476,419.119,26.5981,625.952
32,0,29.6148,-11.4403,1.58749,16.7642,-12.8011,-3.55488,6.25275,57.3271,-91.3036,-12.7025,-36.129,-115.146,418.843,26.7838,625.877
33,0,37.1709,-15.1121,0.783897,18.0951,-23.973,-18.2415,6.54516,57.4785,-90.8509,-12.574,-36.4619,-114.85,418.592,26.9987,625.739
34,0,40.6606,-14.467,-4.34057,18.4696,-28.3921,-24.1218,6.47204,57.3733,-91.205,-12.4617,-36.9675,-114.655,418.283,27.1028,625.639
35,0,37.3044,-13.2353,-0.179508,17.5162,-24.5122,-18.6744,6.6492,57.2587,-91.229,-12.2505,-37.5772,-114.443,418.045,27.2434,625.573
36,0,40.7979,-13.5254,-0.399261,18.2015,-30.5241,-25.4113,7.28953,57.0415,-89.8876,-12.2063,-37.8997,-114.371,417.582,27.3574,625.619
37,0,57.7013,-17.9474,4.12955,18.2456,-49.4218,-53.3167,6.68128,57.2046,-89.9685,-12.1716,-38.0879,-114.601,417.128,27.4957,625.646
38,0,52.5582,-13.4693,-4.29396,17.0515,-41.5687,-42.9413,6.21686,56.7645,-90.7705,-11.912,-38.6625,-114.897,416.706,27.6022,625.773
39,0,66.191,-13.8659,6.44427,17.4077,-60.1736,-67.9162,6.3008,56.4223,-90.4676,-11.6419,-39.113,-114.955,416.37,27.7484,625.741
40,0,65.0356,-13.3772,5.34146,17.833,-60.8545,-67.6595,6.80959,56.2992,-89.7401,-11.5745,-39.5093,-114.671,415.995,27.8937,625.565
41,0,68.9143,-4.48884,-4.81558,16.8368,-65.1271,-74.9573,6.67195,56.7162,-90.5456,-11.4094,-39.8682,-114.403,415.781,28.0547,625.569
42,0,65.8342,-6.36749,-3.23932,16.3008,-62.7477,-70.6043,6.92193,56.5045,-90.1647,-11.105,-40.362,-114.435,415.654,28.2831,625.604
43,0,59.0658,-6.4794,-5.2907,16.6177,-56.0356,-58.9764,7.50482,55.8198,-89.211,-10.8584,-40.91,-114.403,415.384,28.4836,625.517
44,0,36.4199,-6.82759,2.94517,14.3728,-27.4588,-21.3419,7.38713,55.9003,-89.905,-10.6776,-41.3907,-114.209,415.117,28.6652,625.431
45,0,35.5248,-6.27675,3.33241,13.8154,-26.8945,-21.8195,7.05972,55.9869,-90.562,-10.4953,-41.7109,-114.265,414.657,28.7808,625.468
46,0,22.6438,15.5127,0.29507,9.59976,7.01092,18.9363,6.07712,56.1424,-91.7946,-10.4963,-41.9386,-114.425,414.174,29.0035,625.48
47,0,27.8818,17.7473,-1.79085,7.85637,12.0792,23.6922,5.74926,56.0993,-93.0484,-10.4109,-42.3622,-114.487,413.766,29.1116,625.531
