Joints
200
,,Mathew:HandOuter_Thumb,,,Mathew:LowerArm_HandOuter,,,Mathew:LowerArm_HandOuter,,,Mathew:World_UpperArm,,,,,,
Frame,Sub Frame,RX,RY,RZ,RX,RY,RZ,RX,RY,RZ,RX,RY,RZ,TX,TY,TZ
,,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,mm,mm,mm
1,0,26.7957,-2.17092,-0.00140178,-1.59935,11.4765,22.1762,-1.59935,11.4765,22.1762,-13.3322,-35.4932,256.296,400.995,79.7482,646.228
2,0,24.2483,9.85406,2.58186,0.694831,11.5729,25.5024,0.694831,11.5729,25.5024,-13.427,-36.4354,256.575,400.444,79.8616,646.152
3,0,23.0301,14.6099,0.639912,1.0558,10.3628,26.7915,1.0558,10.3628,26.7915,-13.1141,-37.0675,256.615,399.943,80.2403,645.953
4,0,23.0868,12.9756,-2.66299,-0.0751137,10.3673,26.3706,-0.0751137,10.3673,26.3706,-12.9067,-37.5927,257.046,399.528,80.6225,645.785
5,0,23.7553,12.59,-2.50226,-0.826479,10.6158,26.3484,-0.826479,10.6158,26.3484,-12.6661,-38.0657,257.387,399.219,80.9136,645.695
6,0,23.8677,13.2423,-0.330364,-1.27263,11.2693,25.9848,-1.27263,11.2693,25.9848,-12.6298,-38.4933,257.478,398.797,81.029,645.739
7,0,23.5141,14.0786,1.38546,-1.17879,11.3088,25.5761,-1.17879,11.3088,25.5761,-12.3812,-39.1228,257.476,398.562,81.2554,645.526
8,0,23.2927,14.0317,0.719205,-1.38796,9.96241,25.1699,-1.38796,9.96241,25.1699,-12.0501,-39.7268,257.585,398.249,81.6232,645.063
9,0,22.5925,14.8907,2.1368,-1.69727,9.17881,25.2051,-1.69727,9.17881,25.2051,-11.8095,-40.0023,257.635,397.801,82.0207,644.844
10,0,22.8752,15.9036,3.23993,-2.65775,9.65435,25.6777,-2.65775,9.65435,25.6777,-11.7836,-40.0985,257.767,397.387,82.3088,644.941
11,0,22.9195,15.6219,0.57039,-3.66203,10.6245,24.8634,-3.66203,10.6245,24.8634,-11.6624,-40.2739,257.863,396.895,82.7183,644.875
12,0,21.8041,15.3132,0.920856,-3.75861,10.8254,23.5938,-3.75861,10.8254,23.5938,-11.6312,-40.5482,258.094,396.442,82.9233,644.641
13,0,20.6848,15.522,1.83529,-3.6574,11.2043,23.2753,-3.6574,11.2043,23.2753,-11.618,-40.7838,258.209,396.086,83.2168,644.606
14,0,19.4342,17.9916,-0.0769758,-3.57636,10.8061,24.1839,-3.57636,10.8061,24.1839,-11.4857,-41.2402,258.121,395.858,83.3937,644.445
15,0,18.932,19.2224,1.81816,-4.04836,10.0447,24.5839,-4.04836,10.0447,24.5839,-11.2689,-41.5582,258.06,395.625,83.5973,644.223
16,0,18.2316,20.2148,2.46111,-4.55075,9.82835,24.4721,-4.55075,9.82835,24.4721,-11.3154,-41.7012,258.164,395.408,83.7232,644.231
17,0,17.6145,20.7873,2.554,-4.9409,9.5721,24.4832,-4.9409,9.5721,24.4832,-11.342,-41.8386,258.323,395.185,83.7658,644.213
18,0,16.6237,20.6958,2.43859,-5.51188,9.2159,24.3079,-5.51188,9.2159,24.3079,-11.3927,-41.9776,258.522,394.94,83.8544,644.061
19,0,15.9771,20.832,2.53759,-5.90376,9.10564,24.3161,-5.90376,9.10564,24.3161,-11.3547,-42.0423,258.543,394.851,83.975,643.843
20,0,15.2532,21.066,1.9517,-6.15251,9.14384,24.4026,-6.15251,9.14384,24.4026,-11.4384,-42.014,258.587,394.6,84.1255,643.849
21,0,14.6396,21.0586,1.4768,-6.30104,9.1427,24.5988,-6.30104,9.1427,24.5988,-11.4634,-41.9417,258.54,394.39,84.264,643.869
22,0,14.6749,21.1908,0.763964,-6.38614,9.20312,24.8941,-6.38614,9.20312,24.8941,-11.4899,-41.9081,258.462,394.221,84.3819,643.847
23,0,15.1654,21.366,-0.166874,-6.52748,9.21634,25.3148,-6.52748,9.21634,25.3148,-11.6402,-41.8464,258.556,394.048,84.4435,643.969
24,0,15.569,21.98,-0.3039,-6.78415,9.24048,25.639,-6.78415,9.24048,25.639,-11.7319,-41.7959,258.522,393.892,84.5556,643.972
25,0,15.9852,22.0045,-0.989173,-6.98454,8.63272,25.4155,-6.98454,8.63272,25.4155,-11.8158,-41.6428,258.584,393.736,84.6475,643.945
26,0,16.5892,22.5843,-0.843424,-7.18913,8.03268,25.3766,-7.18913,8.03268,25.3766,-12.0345,-41.3795,258.722,393.639,84.6787,644.094
27,0,17.0677,22.7439,-1.17366,-7.28304,8.88389,24.9674,-7.28304,8.88389,24.9674,-12.3424,-40.9373,258.677,393.547,84.5999,644.49
28,0,17.5089,23.3671,-0.918808,-7.3062,8.82078,24.8886,-7.3062,8.82078,24.8886,-12.6199,-40.4403,258.733,393.4,84.6576,644.767
29,0,17.9164,23.9693,-0.58668,-7.30078,8.1997,24.9788,-7.30078,8.1997,24.9788,-12.761,-40.1717,258.717,393.39,84.635,644.835
30,0,17.5799,23.8519,0.300383,-7.14607,8.35383,25.3219,-7.14607,8.35383,25.3219,-12.8756,-39.7706,258.562,393.387,84.6865,644.899
31,0,17.1681,23.9041,0.903088,-7.08879,8.37059,25.8431,-7.08879,8.37059,25.8431,-12.9759,-39.4922,258.458,393.375,84.6478,644.993
32,0,17.3541,23.9365,0.0520251,-7.18177,7.90878,26.1376,-7.18177,7.90878,26.1376,-13.0301,-39.302,258.454,393.519,84.5243,645.143
33,0,17.7317,24.5197,-0.155714,-7.34857,7.80776,26.2172,-7.34857,7.80776,26.2172,-13.2288,-38.9188,258.499,393.581,84.4212,645.37
34,0,17.8154,25.1645,0.422693,-7.33613,8.83291,26.1475,-7.33613,8.83291,26.1475,-13.6703,-38.1692,258.54,393.61,84.3358,645.779
35,0,17.7898,25.2612,0.217228,-7.57461,9.48776,25.5477,-7.57461,9.48776,25.5477,-14.1431,-37.6026,258.52,393.631,84.1268,646.025
36,0,17.833,25.2165,-0.0197073,-7.41676,9.36421,26.0471,-7.41676,9.36421,26.0471,-14.3081,-37.2393,258.441,393.838,83.983,646.167
37,0,18.1663,24.9742,-1.05585,-7.50995,8.04464,26.4995,-7.50995,8.04464,26.4995,-14.3942,-36.8324,258.275,393.994,83.8533,646.297
38,0,17.9474,24.3883,-0.988107,-7.51002,8.46147,26.0832,-7.51002,8.46147,26.0832,-14.7412,-35.9631,258.17,394.022,83.6753,646.517
39,0,17.2925,25.0289,1.91003,-6.89268,9.6494,26.4836,-6.89268,9.6494,26.4836,-14.9542,-35.177,257.968,394.118,83.5618,646.691
40,0,17.5948,25.0862,0.158892,-7.28799,10.9895,26.83,-7.28799,10.9895,26.83,-14.9533,-34.4771,257.279,394.255,83.4243,647.057
41,0,17.8962,25.904,0.156043,-7.60494,10.2818,26.918,-7.60494,10.2818,26.918,-15.273,-33.6516,256.801,394.416,83.2995,647.24
42,0,18.0892,25.812,-0.305708,-7.30493,8.16045,26.9754,-7.30493,8.16045,26.9754,-15.5658,-32.8622,257.096,394.562,83.0863,647.492
43,0,18.2471,26.1349,-0.265073,-7.55881,7.88048,27.7036,-7.55881,7.88048,27.7036,-16.0072,-32.1746,257.224,394.716,82.9022,647.891
44,0,17.6681,25.0239,-0.522784,-7.28204,9.22475,27.0505,-7.28204,9.22475,27.0505,-16.4709,-31.3314,257.071,394.913,82.7004,648.304
45,0,18.122,26.4908,0.295062,-7.40129,9.20738,27.9252,-7.40129,9.20738,27.9252,-16.7102,-30.4867,256.699,395.216,82.5074,648.704
46,0,17.8073,27.3516,1.54143,-6.95182,8.5721,28.5453,-6.95182,8.5721,28.5453,-16.756,-29.729,256.322,395.492,82.3084,648.758
47,0,17.568,26.5441,0.362959,-7.1391,8.87503,28.124,-7.1391,8.87503,28.124,-16.943,-28.5764,255.602,395.617,82.1051,648.977
48,0,17.8766,25.803,-1.5522,-7.30237,9.22859,27.7952,-7.30237,9.22859,27.7952,-17.2817,-27.6079,255.381,395.881,81.8535,649.446
49,0,17.7708,25.9801,-0.603956,-7.26888,9.25549,27.9782,-7.26888,9.25549,27.9782,-17.7441,-26.8875,255.208,396.264,81.6397,649.726
50,0,17.9101,27.564,0.854687,-6.92694,8.02493,28.8647,-6.92694,8.02493,28.8647,-18.209,-25.9711,255.376,396.529,81.3998,650.118
51,0,17.7975,26.2799,-1.11322,-7.38517,8.62894,28.5972,-7.38517,8.62894,28.5972,-18.4468,-24.985,254.816,396.891,81.1574,650.362
52,0,18.0893,26.6424,-1.07778,-7.25947,8.36994,29.2262,-7.25947,8.36994,29.2262,-18.4567,-24.0921,254.077,397.284,80.9168,650.799
53,0,18.4972,29.0269,0.893168,-7.26162,6.94042,29.7361,-7.26162,6.94042,29.7361,-18.6284,-22.9784,253.168,397.467,80.7529,651.029
54,0,17.8312,27.3341,-0.409858,-6.8501,7.77517,29.1382,-6.8501,7.77517,29.1382,-18.9667,-21.8935,252.674,397.816,80.6077,651.308
55,0,18.0904,26.1774,-2.32049,-7.36446,8.37208,29.3046,-7.36446,8.37208,29.3046,-19.2355,-21.0487,252.531,398.279,80.4267,651.668
56,0,18.4041,28.1368,-0.0082694,-7.09955,7.35145,30.1281,-7.09955,7.35145,30.1281,-19.5984,-20.0834,252.195,398.667,80.1198,652.214
57,0,19.0457,28.4529,-1.67849,-7.51416,6.5122,29.9444,-7.51416,6.5122,29.9444,-19.801,-19.0068,251.681,399.052,79.9259,652.355
58,0,18.8087,4.97674,-2.66372,0.0658503,-18.1767,2.0207,0.0658503,-18.1767,2.0207,-19.6566,-18.4888,250.529,399.585,79.6516,652.118
59,0,15.6875,10.0123,-0.553869,-0.910556,-10.4766,10.5046,-0.910556,-10.4766,10.5046,-19.8753,-17.6431,249.844,400.05,79.4618,652.428
60,0,14.5822,15.5669,2.622,-2.18315,-3.52419,18.0437,-2.18315,-3.52419,18.0437,-20.2266,-16.7532,249.708,400.518,79.2163,652.73
61,0,12.7586,30.1395,-0.418525,-5.24256,13.6003,34.7793,-5.24256,13.6003,34.7793,-20.4904,-15.7518,249.552,400.975,79.0235,652.989
62,0,17.5208,51.1144,-8.24385,-10.223,41.924,59.9722,-10.223,41.924,59.9722,-20.8229,-14.8938,248.693,401.386,78.8622,653.521
63,0,15.8624,39.9461,1.58698,-7.53176,28.1391,47.824,-7.53176,28.1391,47.824,-20.7752,-13.8689,247.768,401.91,79.0002,653.503
64,0,22.352,65.3586,-19.6101,-13.091,62.6993,78.2184,-13.091,62.6993,78.2184,-20.9058,-12.9856,246.814,402.394,78.8833,653.835
65,0,14.9426,44.81,-3.22856,-8.10074,35.6121,53.7012,-8.10074,35.6121,53.7012,-21.1301,-12.1796,246.053,402.915,78.7146,654.395
66,0,19.583,58.1424,-11.7585,-11.248,54.1726,69.8506,-11.248,54.1726,69.8506,-21.4998,-11.2057,245.611,403.371,78.6267,654.67
67,0,26.6928,68.1656,-20.6012,-13.6124,73.0165,85.3669,-13.6124,73.0165,85.3669,-21.9422,-10.2955,245.269,403.777,78.4336,655.08
68,0,35.6589,73.314,-26.0799,-16.5801,86.1452,96.601,-16.5801,86.1452,96.601,-22.291,-9.46975,244.405,404.126,78.313,655.227
69,0,17.16,28.0135,-2.72847,-6.20441,6.71558,32.347,-6.20441,6.71558,32.347,-22.8565,-8.40765,243.108,404.269,77.9977,656.435
70,0,17.5354,28.7908,-1.83067,-6.24559,4.59691,31.9298,-6.24559,4.59691,31.9298,-23.1611,-7.51247,242.369,404.701,77.9672,656.653
71,0,17.4919,28.9029,-0.752679,-6.36736,3.1633,32.2904,-6.36736,3.1633,32.2904,-23.4254,-6.81681,241.759,405.276,77.9114,656.874
72,0,17.771,28.1104,-2.49273,-6.88522,1.51987,31.7297,-6.88522,1.51987,31.7297,-23.7016,-5.90195,241.104,405.856,77.949,657.374
73,0,17.5129,30.9633,-0.408097,-6.42899,0.133841,32.6048,-6.42899,0.133841,32.6048,-23.7913,-4.66955,241.397,406.443,78.0213,657.408
74,0,13.1132,27.5071,13.932,-1.94112,3.65179,31.988,-1.94112,3.65179,31.988,-23.2785,-4.38999,241.143,407.394,78.0746,657.005
75,0,9.69497,17.7662,2.01862,1.03774,-4.87803,21.4832,1.03774,-4.87803,21.4832,-23.9061,-3.39503,241.117,407.714,77.9597,657.126
76,0,9.58392,20.9417,2.25404,1.4512,-5.41622,22.6153,1.4512,-5.41622,22.6153,-24.2328,-2.70721,240.779,408.219,77.8702,657.775
77,0,11.8359,8.26351,-2.09956,4.3207,-20.134,7.58985,4.3207,-20.134,7.58985,-24.672,-1.94419,239.59,408.588,78.201,658.241
78,0,10.0989,13.8247,2.20902,2.7237,-11.9766,14.6907,2.7237,-11.9766,14.6907,-24.9795,-1.35392,238.512,409.111,78.4319,658.484
79,0,6.73953,34.2786,-4.94513,-1.82058,10.9957,37.5795,-1.82058,10.9957,37.5795,-25.2715,-0.971557,237.289,409.84,78.6075,659.044
80,0,12.5398,5.24735,2.65819,4.91095,-18.7878,5.95757,4.91095,-18.7878,5.95757,-25.682,-0.396904,236.504,410.464,78.8495,659.367
81,0,13.4203,6.6918,1.39139,5.05561,-19.2203,6.79604,5.05561,-19.2203,6.79604,-26.0741,0.235139,235.977,411.082,78.9731,659.796
82,0,11.8917,8.09033,2.39983,5.61498,-19.2033,7.69698,5.61498,-19.2033,7.69698,-26.4447,0.876727,235.568,411.676,79.1281,660.225
83,0,13.2603,2.22009,-1.9766,7.14262,-26.4046,-0.0311881,7.14262,-26.4046,-0.0311881,-26.5214,1.88225,234.705,412.254,79.8858,660.15
84,0,24.9694,-12.6303,0.870975,11.2028,-44.2675,-20.9147,11.2028,-44.2675,-20.9147,-26.8104,2.80466,234.671,412.887,80.2551,660.405
85,0,4.96966,17.9663,-8.73264,2.99225,-10.1151,18.7777,2.99225,-10.1151,18.7777,-27.4987,2.78352,233.35,413.36,80.284,660.838
86,0,6.79008,18.0094,-10.8402,2.72547,-9.56168,18.2594,2.72547,-9.56168,18.2594,-27.9487,3.31132,232.518,413.858,80.6152,661.386
87,0,4.73911,44.313,-14.7716,-3.95645,23.2761,47.5858,-3.95645,23.2761,47.5858,-28.5471,3.39225,230.761,414.518,81.1677,661.747
88,0,6.46758,44.7018,-15.4672,-4.77085,22.3442,48.6632,-4.77085,22.3442,48.6632,-28.9104,3.91198,230.367,415.144,81.6009,662.041
89,0,12.7228,71.2195,-28.5492,-12.47,55.0843,78.8494,-12.47,55.0843,78.8494,-29.0426,4.32578,228.973,416.043,82.4497,662.394
90,0,25.8411,90.3508,-53.0165,-21.3688,89.4973,107.795,-21.3688,89.4973,107.795,-29.2169,5.43333,229.561,416.758,83.0343,662.192
91,0,37.2977,86.0359,-48.2867,-23.3689,95.8236,112.02,-23.3689,95.8236,112.02,-29.7723,5.6333,228.8,417.338,83.4518,662.869
92,0,31.7952,61.2367,2.76853,-11.303,58.1058,78.6391,-11.303,58.1058,78.6391,-30.2109,5.78448,227.167,417.983,84.1996,663.174
93,0,41.7567,81.626,-39.8077,-18.6929,101.213,113.34,-18.6929,101.213,113.34,-30.7822,6.08083,226.283,418.555,84.7386,663.508
94,0,43.1022,82.5707,-40.953,-20.1219,99.3204,114.372,-20.1219,99.3204,114.372,-31.023,6.18615,225.656,419.532,85.2681,663.885
95,0,54.8184,81.123,-66.622,-30.5081,127.76,133.201,-30.5081,127.76,133.201,-31.2286,6.60547,225.025,420.366,85.9189,664.04
96,0,66.0798,63.4935,-77.2795,-36.2069,156.337,149.263,-36.2069,156.337,149.263,-31.5769,6.82298,224.479,421.171,86.4405,664.374
97,0,64.6209,62.2502,-79.4809,-37.2006,157.362,148.966,-37.2006,157.362,148.966,-31.9762,7.18877,224.226,421.831,86.7516,664.715
98,0,65.5172,62.4748,-80.637,-38.2572,158.003,149.04,-38.2572,158.003,149.04,-32.387,7.52281,223.973,422.582,87.2947,664.788
99,0,62.896,29.2657,-87.2902,-49.3364,200.32,162.659,-49.3364,200.32,162.659,-32.5621,7.57419,222.95,423.414,88.2008,664.989
100,0,76.7151,7.91561,-32.539,-41.6752,173.113,154.376,-41.6752,173.113,154.376,-32.7156,7.89161,222.663,424.329,89.0171,665.005
101,0,81.0102,4.28172,-28.6294,-45.9071,171.616,152.379,-45.9071,171.616,152.379,-32.8339,7.8118,222.242,425.453,89.5598,665.237
102,0,80.1994,4.21994,-29.2203,-47.3138,172.449,152.017,-47.3138,172.449,152.017,-33.21,8.03385,222.138,426.397,90.1833,665.68
103,0,79.5799,4.12811,-30.0027,-47.4312,173.014,152.612,-47.4312,173.014,152.612,-33.4721,8.22531,221.796,427.116,90.7802,665.787
104,0,78.7961,4.07984,-30.3694,-47.869,173.535,152.529,-47.869,173.535,152.529,-33.6935,8.27486,221.523,427.964,91.3482,665.904
105,0,14.8815,4.48011,24.0926,-6.74196,-10.6321,24.4622,-6.74196,-10.6321,24.4622,-34.2231,11.4141,224.952,428.414,92.2471,665.995
106,0,15.7562,28.9958,0.404747,-6.32312,-9.29594,33.2041,-6.32312,-9.29594,33.2041,-34.4406,8.70987,219.45,429.592,92.9521,667.082
107,0,15.2967,29.1316,-1.90073,-6.14331,-8.61496,33.5103,-6.14331,-8.61496,33.5103,-34.7328,8.42966,218.982,430.607,93.4417,667.159
108,0,15.8222,29.9949,-2.22542,-6.13059,-8.52511,33.102,-6.13059,-8.52511,33.102,-34.9059,8.22792,218.744,431.694,94.0857,667.532
109,0,15.8888,31.4596,-2.43544,-5.74397,-7.14654,32.3618,-5.74397,-7.14654,32.3618,-35.1463,7.59977,217.574,432.699,94.7008,667.557
110,0,16.6633,31.8074,-2.79432,-5.91366,-7.72636,32.3008,-5.91366,-7.72636,32.3008,-35.2218,7.33129,217.101,433.904,95.378,667.403
111,0,16.8586,30.7744,-2.08391,-6.23393,-8.39907,32.4851,-6.23393,-8.39907,32.4851,-35.1884,7.15607,216.782,435.265,96.1345,667.47
112,0,16.2326,31.3817,-2.23174,-5.61063,-7.28619,32.3898,-5.61063,-7.28619,32.3898,-35.3966,6.68705,216.203,436.157,96.6733,667.735
113,0,15.6519,31.1213,-1.27997,-5.48116,-10.3136,31.4129,-5.48116,-10.3136,31.4129,-35.4521,6.34245,216.241,437.511,97.2846,667.521
114,0,15.6646,28.6289,-2.1022,-5.71325,-9.32025,30.6341,-5.71325,-9.32025,30.6341,-35.4266,5.90063,215.659,438.926,97.9886,667.396
115,0,15.9401,28.0854,-1.73659,-6.19614,-11.1561,30.7526,-6.19614,-11.1561,30.7526,-35.6822,5.47886,215.429,439.762,98.4128,667.274
116,0,15.4113,30.7848,-1.45249,-5.74261,-10.8919,31.781,-5.74261,-10.8919,31.781,-35.6652,5.02063,215.034,441.162,99.2535,667.271
117,0,15.8139,31.6688,-2.3554,-6.14543,-10.5779,31.4897,-6.14543,-10.5779,31.4897,-35.5473,4.40831,213.803,442.448,100.37,667.107
118,0,16.1113,32.0337,-1.76032,-6.62161,-12.8528,32.0524,-6.62161,-12.8528,32.0524,-35.5905,3.88699,213.918,443.727,100.841,666.776
119,0,15.5224,30.3611,-1.75058,-6.03781,-12.9876,30.5782,-6.03781,-12.9876,30.5782,-35.6081,3.39338,213.549,445.052,101.554,666.549
120,0,14.677,31.4816,-1.25694,-5.2708,-14.513,30.5145,-5.2708,-14.513,30.5145,-35.6908,2.64712,212.702,446.104,102.3,666.162
121,0,15.2689,30.788,-1.97936,-5.99839,-14.6284,30.5854,-5.99839,-14.6284,30.5854,-35.9006,2.1953,212.795,447.101,103.11,665.996
