Joints
200
,,Mathew:HandOuter_Thumb,,,Mathew:LowerArm_HandOuter,,,Mathew:LowerArm_HandOuter,,,Mathew:World_UpperArm,,,,,,
Frame,Sub Frame,RX,RY,RZ,RX,RY,RZ,RX,RY,RZ,RX,RY,RZ,TX,TY,TZ
,,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,mm,mm,mm
1,0,14.8371,0.455717,-0.00445499,3.85213,0.911355,32.286,3.85213,0.911355,32.286,-19.0652,-15.001,247.313,418.003,73.152,636.856
2,0,15.7831,2.81669,3.01814,3.98337,3.38708,33.3721,3.98337,3.38708,33.3721,-19.2579,-16.0461,248.581,417.769,73.3537,636.36
3,0,17.3092,3.36723,0.223487,3.46601,3.10808,30.9799,3.46601,3.10808,30.9799,-19.2337,-16.9992,248.993,417.439,73.6786,636.092
4,0,19.0629,3.55306,-1.41887,2.59062,3.48026,29.6509,2.59062,3.48026,29.6509,-19.1047,-17.8985,249.684,417.208,74.3164,635.526
5,0,20.0969,4.34014,2.2216,2.65461,3.39466,28.5962,2.65461,3.39466,28.5962,-18.8753,-19.1351,250.235,417.014,74.8346,635.409
6,0,20.9397,5.22134,0.818212,2.26182,3.78146,26.9892,2.26182,3.78146,26.9892,-18.5921,-20.1832,250.928,416.74,75.6093,634.961
7,0,22.0887,5.85281,1.95569,2.19156,3.70869,26.3847,2.19156,3.70869,26.3847,-18.3288,-21.4741,251.564,416.479,76.1256,634.513
8,0,22.3638,6.78958,-0.0711454,1.88945,6.10529,24.6554,1.88945,6.10529,24.6554,-17.8682,-22.5615,251.543,416.305,77.0581,634.404
9,0,23.2251,7.03179,-0.0291298,1.42213,6.53118,23.7157,1.42213,6.53118,23.7157,-17.5775,-23.7523,252.097,416.078,77.9564,633.996
10,0,23.7401,7.77993,0.0413059,1.24284,6.93169,22.1341,1.24284,6.93169,22.1341,-17.4217,-24.8885,252.828,415.703,78.6496,633.867
11,0,24.9341,8.88254,0.46581,1.00206,6.92719,20.5907,1.00206,6.92719,20.5907,-17.0406,-26.0418,253.283,415.389,79.5296,633.487
12,0,24.9563,8.74071,-0.0737236,0.624613,6.40358,19.4855,0.624613,6.40358,19.4855,-16.5085,-27.1279,253.629,415.017,80.6128,633.012
13,0,25.4299,10.6341,1.32585,0.391324,6.69214,19.2488,0.391324,6.69214,19.2488,-16.3401,-28.2846,254.402,414.704,81.4509,632.875
14,0,26.5079,12.0526,0.846941,-0.180437,5.49698,18.9559,-0.180437,5.49698,18.9559,-16.0041,-29.4691,255.043,414.434,82.523,632.673
15,0,26.8612,12.0699,-0.102855,-1.13493,6.49855,17.548,-1.13493,6.49855,17.548,-15.5456,-30.4641,255.12,414.152,83.6317,632.407
