Joints
200
,,Mathew:HandOuter_Thumb,,,Mathew:LowerArm_HandOuter,,,Mathew:UpperArm_LowerArm,,,Mathew:World_UpperArm,,,,,,
Frame,Sub Frame,RX,RY,RZ,RX,RY,RZ,RX,RY,RZ,RX,RY,RZ,TX,TY,TZ
,,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,mm,mm,mm

Segments
200
,,Mathew:HandOuter,,,,,,Mathew:LowerArm,,,,,,Mathew:Thumb,,,,,,Mathew:UpperArm,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,deg,deg,deg,mm,mm,mm,deg,deg,deg,mm,mm,mm,deg,deg,deg,mm,mm,mm,deg,deg,deg,mm,mm,mm

Trajectories
200
,,Mathew:shoulder,,,Mathew:shoulderElbowSupport,,,Mathew:elbow,,,Mathew:wrist,,,Mathew:elbowWrist,,,Mathew:Triangle1,,,Mathew:Triangle2,,,Mathew:ThumbTip,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
251,0,-324.593,669.468,557.904,-297.565,695.539,468.973,-238.676,719.555,359.038,-181.337,913.041,158.287,-191.525,816.992,231.451,-127.579,935.336,105.445,-224.864,952.99,81.8716,-206.971,989.512,24.0884
252,0,-325.529,668.125,557.444,-298.124,694.148,468.591,-239.231,717.497,359.056,-180.688,911.022,159.037,-191.458,814.701,231.989,-127.041,933.064,105.792,-224.356,951.689,83.7015,-206.255,988.054,25.7318
253,0,-326.544,667.091,557.63,-299.094,692.727,468.588,-239.795,715.191,359.187,-180.14,909.087,160.021,-191.565,812.391,231.697,-126.53,930.739,106.453,-223.741,950.585,85.588,-204.966,987.357,26.9063
254,0,-327.115,666.172,557.79,-299.951,690.958,468.428,-240.443,712.602,358.797,-179.567,906.942,160.282,-191.632,810.25,231.829,-126.065,928.368,107.26,-222.732,950.157,86.6326,-203.508,986.613,28.4113
255,0,-327.472,665.038,558.008,-300.657,689.398,468.417,-241.023,710.142,358.678,-178.959,904.738,161.282,-191.9,807.733,232.102,-125.384,926.197,107.857,-221.679,949.761,87.4893,-202.22,985.835,30.1027
256,0,-328.25,663.546,558.128,-301.254,687.697,468.39,-241.719,707.791,358.384,-178.314,902.612,162.201,-192.177,805.328,232.098,-124.643,923.811,108.766,-221.057,948.702,89.6808,-201.229,985.367,31.1881
257,0,-328.909,662.46,558.324,-302.036,685.646,468.553,-242.429,704.993,358.469,-177.683,900.281,162.922,-192.137,802.905,232.394,-124.098,921.416,109.612,-220.851,948.019,92.7977,,,
258,0,-329.757,661.305,558.437,-302.809,683.579,468.485,-243.629,702.412,358.27,-177.106,898.131,163.922,-192.174,800.216,232.788,-123.38,918.922,110.46,-220.766,948.266,94.6086,-199.604,984.693,34.9811
259,0,-330.681,659.833,558.353,-303.22,681.889,468.807,-244.357,699.958,357.944,-176.555,895.586,164.725,-192.663,797.422,232.64,-122.616,916.505,111.539,-219.658,947.255,96.5281,-199.305,990.062,40.3208
260,0,-331.692,658.638,558.365,-304.362,680.036,468.451,-244.94,697.192,358.027,-175.91,893.172,165.695,-192.877,794.789,232.699,-121.933,913.991,112.643,-217.769,945.15,97.9232,-199.988,993.181,45.7424
261,0,-332.519,656.962,558.396,-305.861,678.165,468.253,-245.789,694.278,357.873,-175.354,890.757,166.736,-192.869,792.115,233.411,-121.291,911.213,113.54,-217.337,943.37,99.3259,-200.578,994.107,49.9056
262,0,-333.147,655.644,558.723,-306.469,676.318,468.866,-246.808,691.501,357.543,-174.594,887.966,167.863,-193.178,789.173,233.335,-120.808,908.687,114.662,-216.36,941.9,101.431,-199.585,994.58,52.7746
263,0,-334.248,654.111,558.849,-307.231,674.116,469.024,-247.795,688.784,357.312,-173.904,885.488,168.923,-193.27,786.443,233.778,-120.238,905.794,115.845,-215.576,940.594,103.334,-197.535,995.294,54.8455
264,0,-335.147,652.535,558.893,-308.035,672.184,468.541,-248.802,685.868,357.324,-173.511,883.069,170.225,-193.422,783.539,234.29,-119.57,903.048,117.141,-214.776,938.936,105.411,-194.007,991.714,55.0218
265,0,-335.941,651.135,558.946,-309.531,669.977,468.16,-249.723,682.802,357.618,-172.813,880.031,171.402,-194.008,780.83,234.718,-119.049,900.333,118.456,-213.819,937.593,107.521,-192.719,986.186,55.2379
266,0,-337.126,649.411,559.143,-310.267,667.777,468.697,-250.793,679.745,357.611,-172.059,877.057,172.907,-194.299,777.77,235.202,-118.266,897.402,119.741,-212.708,935.8,109.945,-191.185,979.79,56.1652
267,0,-338.257,648.096,559.325,-310.864,665.715,469.301,-251.944,676.484,357.267,-171.847,874.662,173.996,-194.553,774.667,235.893,-117.462,894.665,121.128,-211.598,934.451,111.784,-188.485,974.587,56.7928
268,0,-339.415,646.235,559.274,-312.058,663.356,469.118,-252.931,673.341,357.242,-171.148,871.669,175.548,-194.783,771.4,236.103,-116.682,891.815,122.757,-210.581,932.253,114.203,-187.21,973.049,59.3411
269,0,-340.733,644.718,559.206,-313.114,661.35,468.807,-254.06,670.324,357.079,-170.794,868.579,176.631,-194.964,768.366,236.805,-116.061,888.916,124.045,-209.721,930.599,116.423,,,
270,0,-341.59,643.015,559.421,-314.283,658.604,468.662,-255.46,667.058,357.112,-169.963,865.591,178.298,-195.407,765.448,237.203,-115.538,885.473,126.205,-208.559,929.159,118.795,,,
271,0,-342.729,641.369,559.672,-315.138,656.467,469.219,-256.858,663.587,357.156,-169.607,862.853,179.414,-195.882,762.298,237.944,-115.237,882.412,127.696,-207.642,927.244,121.4,,,
272,0,-343.919,639.444,560.007,-316.567,654.117,469.283,-257.974,660.529,357.141,-169.148,859.856,181.144,-196.535,759.213,238.787,-114.565,879.225,129.25,-206.552,925.057,124.101,,,
273,0,-345.205,637.979,560.268,-317.761,651.872,469.346,-259.28,657.142,356.988,-168.52,856.591,182.971,-197.097,756.135,239.089,-114.007,876.188,131.125,-205.485,923.559,126.37,,,
274,0,-346.598,636.087,560.373,-318.849,649.136,469.466,-260.87,653.616,357.021,-168.068,853.296,184.857,-197.778,752.778,240.271,-113.275,872.99,132.903,-204.292,921.295,129.31,,,
275,0,-347.507,634.567,560.386,-320.104,646.761,469.667,-262.283,650.298,357.002,-167.883,850.242,186.277,-198.16,749.748,240.949,-112.428,869.69,134.698,-202.968,918.973,132.526,-177.346,966.86,82.8389
276,0,-348.886,632.33,560.614,-321.525,644.406,469.691,-263.784,646.881,357.035,-167.38,847.068,187.952,-199.245,746.617,241.333,-112.106,866.458,136.761,-201.823,917.349,135.058,-177.1,967.382,89.187
277,0,-350.04,630.717,560.983,-322.869,641.773,469.796,-265.227,643.372,357.03,-167.144,844.034,189.622,-199.798,743.392,242.442,-111.515,863.003,138.491,-200.652,915.376,137.489,-176.237,967.895,94.0624
278,0,-351.578,628.74,560.999,-323.916,639.165,470.41,-266.882,640.097,357.014,-166.542,840.743,191.83,-200.513,739.958,243.181,-111.137,859.921,140.581,-199.711,913.099,140.936,-173.635,967.414,98.1881
279,0,-352.771,627.114,560.915,-325.011,636.94,470.755,-268.462,636.692,357.46,-166.302,837.369,193.773,-201.018,736.494,244.187,-110.327,856.588,142.983,-198.519,910.987,144.561,-171.014,966.284,101.909
280,0,-353.977,625.134,561.221,-326.909,634.334,470.622,-269.945,633.658,357.725,-165.93,833.998,195.386,-201.694,733.289,245.132,-109.608,853.134,145.428,-197.581,908.884,148.174,-169.561,962.106,104.895
281,0,-355.311,623.381,561.861,-328.34,631.814,470.666,-271.826,630.389,357.748,-165.358,830.282,197.333,-202.382,729.759,245.996,-108.953,849.735,147.785,-196.902,906.584,150.951,-167.708,956.935,107.509
282,0,-356.548,621.379,561.981,-329.691,629.453,470.942,-273.485,626.969,357.734,-165.227,826.783,199.156,-202.743,726.531,246.835,-108.71,846.218,149.679,-195.957,903.74,153.411,-165.657,953.602,110.871
283,0,-358.077,619.686,562.044,-331.141,626.98,471.452,-275.199,623.919,357.927,-164.909,823.301,201.155,-203.89,723.035,247.768,-108.268,842.747,151.764,-194.905,900.829,155.653,-163.876,951.296,114.103
284,0,-359.408,617.647,562.236,-332.739,624.433,471.691,-276.983,620.763,358.395,-164.606,819.974,202.91,-204.663,719.788,248.793,-107.85,839.099,153.832,-194.017,898.212,158.345,-161.913,949.131,117.265
285,0,-360.917,615.631,562.546,-333.835,622.246,471.818,-278.864,617.348,358.397,-164.649,816.658,205.156,-205.392,716.195,249.822,-107.323,835.405,156.305,-192.668,895.227,161.335,-160.695,946.549,121.368
286,0,-362.111,613.832,562.906,-335.326,619.556,472.566,-280.578,613.944,358.905,-164.396,813.137,207.281,-205.653,712.988,251.087,-106.761,832.038,159.265,-191.044,892.6,164.358,-158.4,945.428,127.062
287,0,-363.855,612.026,563.082,-336.931,617.175,473.342,-282.494,610.673,359.203,-164.221,809.632,209.142,-206.912,709.631,252.194,-106.076,828.297,162.019,-189.867,889.867,167.366,-156.345,945.171,132.667
288,0,-365.216,610.211,563.255,-338.255,614.85,473.219,-284.413,607.294,359.07,-164.669,806.806,211.688,-207.838,706.337,253.361,-105.938,824.636,164.031,-188.919,887.078,170.084,-154.495,945.406,137.793
289,0,-366.782,608.184,563.585,-339.946,612.219,473.636,-286.28,604.061,359.536,-164.624,803.426,213.76,-208.909,703.117,254.342,-105.56,820.984,166.411,-187.467,884.24,173.266,-152.852,943.963,142.413
290,0,-368.323,606.471,563.755,-341.696,609.923,473.8,-288.149,600.899,359.975,-164.425,799.882,216.006,-209.566,699.496,255.708,-104.834,817.302,168.926,-186.87,881.57,175.997,-151.042,941.013,145.93
291,0,-370.484,604.433,563.708,-343.527,607.692,473.424,-290.226,597.861,359.922,-164.292,796.368,218.529,-210.164,696.252,257.19,-104.931,813.709,171.379,-185.137,878.633,179.476,-149.592,937.658,148.567
292,0,-371.712,602.663,563.85,-345.366,605.116,473.867,-292.246,594.573,360.207,-164.167,792.815,220.682,-211.112,693.027,258.417,-105.286,810.148,173.348,-184.022,875.537,183.151,-147.496,933.464,151.933
293,0,-373.256,600.663,564.244,-347.02,602.75,474.396,-294.145,591.522,360.5,-164.151,789.065,222.879,-212.294,689.595,259.803,-104.242,806.262,176.561,-182.838,872.756,186.229,-146.073,929.108,155.46
294,0,-374.456,598.971,564.796,-348.417,600.547,474.508,-295.914,588.27,361.253,-164.215,785.491,225.116,-213.232,686.223,260.857,-104.074,802.689,179.097,-182.092,870.157,189.489,-144.832,924.715,158.977
295,0,-376.239,597.052,564.903,-350.174,598.064,474.93,-298.069,585.011,361.401,-163.878,781.804,227.636,-214.374,682.674,262.119,-103.658,798.651,181.805,-181.011,866.896,192.966,-143.208,921.044,162.733
296,0,-377.689,595.35,564.745,-351.909,595.63,475.357,-300.172,581.981,361.704,-164.078,778.294,230.08,-215.424,679.451,263.025,-103.873,795.154,184.221,-179.488,863.779,196.421,-140.751,917.504,166.783
297,0,-379.607,593.341,565.412,-353.761,593.59,474.962,-302.036,578.976,362.33,-164.013,774.596,232.397,-216.622,675.946,264.407,-103.655,791.557,187.078,-178.199,860.739,200.006,-138.766,914.137,170.482
298,0,-381.342,591.746,565.491,-355.985,591.279,475.155,-304.099,576.068,362.498,-163.991,771.002,235.097,-217.435,672.602,265.756,-103.036,787.746,190.073,-177.274,857.815,203.297,-137.183,910.707,174.4
299,0,-382.988,589.964,565.587,-357.613,589.016,475.715,-306.595,572.893,362.469,-164.095,767.501,237.393,-218.702,668.999,266.545,-103.192,783.899,192.509,-176.446,854.733,206.464,-135.363,907.159,178.585
300,0,-384.345,588.25,565.765,-358.942,586.742,476.241,-308.715,569.222,362.861,-164.228,763.698,239.9,-219.507,665.735,268.288,-103.459,780.143,194.816,-176.036,851.266,209.741,-132.893,905.931,185.846
301,0,-385.801,586.342,566.436,-360.856,584.114,476.406,-310.706,566.026,363.452,-164.281,760.007,242.423,-220.688,662.343,269.842,-102.971,776.651,198.517,-174.943,847.778,213.226,-131.671,904.811,191.209
302,0,-387.272,584.661,566.557,-362.325,581.952,476.848,-313.279,562.866,363.605,-164.379,756.501,245.172,-221.656,659.213,271.09,-102.562,772.682,201.527,-173.164,844.452,217.994,-131.398,901.661,193.84
303,0,-389.187,582.94,566.493,-364.172,579.669,477.038,-315.406,560.049,363.867,-164.686,752.764,247.534,-222.753,655.91,272.652,-102.646,768.772,204.163,-171.786,841.128,221.41,-130.949,896.627,196.13
304,0,-390.838,581.357,566.592,-366.458,577.783,477.136,-317.638,557.182,364.028,-164.665,749.08,250.197,-223.876,652.61,274.409,-102.503,764.972,207.142,-171.745,837.745,223.858,-127.231,890.491,200.317
305,0,-392.647,579.83,566.989,-368.329,575.517,477.073,-319.902,554.389,364.477,-164.927,745.431,252.941,-225.09,649.322,275.677,-102.045,761.072,210.424,-171.803,834.09,225.61,-124.673,885.241,204.596
306,0,-394.069,577.986,567.394,-370.16,573.278,477.619,-322.254,551.339,364.809,-164.957,741.802,255.524,-226.14,645.859,277.159,-101.885,756.994,213.613,-172.358,830.62,228.112,-123.138,881.102,208.525
307,0,-395.524,576.552,567.616,-372.099,571.379,477.854,-324.507,548.748,365.086,-165.123,737.98,258.223,-227.231,642.682,278.5,-101.923,752.959,216.582,-171.398,826.963,231.719,-121.747,877.693,212.341
308,0,-397.106,574.904,567.836,-374.08,569.388,478.002,-326.863,546.175,365.457,-165.299,734.17,260.705,-228.353,639.35,280.39,-101.815,749.056,220.051,-169.738,823.874,236.714,-120.608,874.72,216.397
309,0,-398.618,572.979,568.123,-376.151,567.613,478.483,-329.143,543.576,365.821,-165.669,730.504,263.385,-229.482,635.999,281.871,-101.636,744.908,223.228,-168.52,820.397,240.648,-119.081,871.511,221.111
310,0,-400.183,571.745,568.196,-377.684,565.271,478.475,-331.806,540.89,366.112,-165.888,726.88,266.28,-230.765,632.709,283.236,-101.649,740.867,226.377,-168.049,816.852,244.252,-117.389,867.707,226.133
311,0,-401.857,570.109,568.445,-379.366,563.381,478.654,-334.172,538.399,366.564,-166.18,722.734,268.885,-231.832,629.453,284.882,-101.564,737.062,230.03,-167.41,813.199,247.477,-116.388,864.013,230.732
312,0,-403.438,569.045,568.571,-381.439,561.386,478.992,-336.369,535.809,367.169,-166.668,719.081,271.446,-233.265,626.098,286.833,-101.375,733.017,233.228,-166.9,809.664,251.177,-114.971,860.052,235.168
313,0,-405.203,567.459,568.709,-383.21,559.728,479.537,-338.945,533.27,367.531,-166.991,715.259,274.129,-234.315,623.014,288.09,-101.506,728.802,236.213,-166.111,805.771,254.316,-113.416,855.775,239.16
314,0,-406.238,565.631,569.121,-385.094,557.809,479.644,-341.283,530.701,367.792,-167.129,711.225,276.966,-235.597,619.531,289.679,-101.049,724.541,239.835,-165.498,802.093,257.884,-112.1,851.045,243.396
315,0,-408.081,564.679,569.224,-387.659,556.189,479.589,-343.832,528.192,368.312,-167.236,707.192,279.37,-236.548,616.251,291.054,-100.692,719.956,243.168,-164.797,798.203,261.072,-110.857,846.985,247.708
316,0,-409.496,562.757,569.332,-389.4,554.056,479.498,-346.152,525.63,368.663,-167.942,703.377,281.974,-238.141,612.978,292.416,-101.122,715.725,245.679,-164.471,794.435,264.78,-109.537,844.586,252.429
317,0,-410.767,561.645,569.757,-391.242,552.216,480.112,-348.916,523.16,368.931,-168.066,699.396,284.21,-239.222,609.816,293.962,-101.207,711.824,248.953,-163.533,790.53,268.44,-108.091,840.883,257.217
318,0,-412.335,560.342,569.894,-393.063,550.412,480.214,-351.338,520.563,369,-168.54,695.684,287.258,-240.525,606.702,295.845,-101.012,707.417,252.315,-162.795,787.182,272.287,-106.824,836.25,261.801
319,0,-414.143,558.75,569.989,-395.108,548.914,480.489,-353.738,518.11,369.199,-168.859,691.839,289.499,-241.893,603.685,297.427,-101.174,702.799,255.031,-161.817,783.265,275.789,-105.571,831.284,265.84
320,0,-415.997,557.931,570.113,-397.276,547.379,481.088,-356.219,515.746,369.602,-169.358,688.008,291.808,-243.055,600.415,298.955,-101.422,698.279,257.419,-161.398,779.316,278.754,-104.253,826.314,269.555
321,0,-416.856,556.212,570.656,-399.088,545.338,480.847,-358.694,513.372,370.039,-169.492,683.878,294.094,-244.646,597.156,299.985,-101.596,694.042,260.614,-160.723,775.292,281.844,-103.16,821.713,273.564
322,0,-418.158,554.638,570.843,-401.283,543.82,481.054,-361.425,511.169,369.998,-169.953,679.888,296.509,-245.763,594.023,301.526,-101.649,689.505,263.587,-160.178,771.105,284.794,-101.627,817.007,276.943
323,0,-420.271,553.938,570.591,-403.204,542.088,481.343,-363.722,509.045,370.678,-170.179,675.769,298.576,-247.224,590.595,302.997,-102.087,684.867,265.314,-159.416,767.005,287.623,-100.221,812.025,280.805
324,0,-421.573,552.233,570.963,-404.971,540.786,481.61,-366.186,506.918,370.779,-170.673,671.707,300.756,-248.249,587.756,304.16,-102.117,680.266,268.116,-158.593,762.688,290.287,-99.1599,807.149,284.058
325,0,-422.922,551.032,571.546,-406.81,539.258,482.419,-368.692,504.808,371.194,-170.968,667.631,302.718,-249.734,584.227,305.218,-102.323,675.494,270.375,-157.802,758.72,293.194,-97.9934,802.188,286.637
326,0,-424.769,550.353,571.348,-408.787,537.585,481.974,-371.012,503.049,371.471,-171.419,663.71,304.764,-251.34,580.99,305.85,-102.452,670.89,272.318,-157.18,754.574,295.6,-97.3539,797.356,289.448
327,0,-426.507,548.711,571.415,-410.643,536.268,481.918,-373.376,500.931,371.968,-171.761,659.548,306.598,-252.225,577.729,307.336,-102.95,666.309,274.28,-156.438,750.331,297.887,-95.8861,792.119,292.38
328,0,-427.509,547.591,571.922,-412.828,534.6,482.261,-375.528,499.235,372.347,-172.123,655.575,308.339,-253.725,574.57,308.818,-102.633,661.079,277.339,-155.758,745.87,300.705,-94.4644,787.248,295.266
329,0,-428.86,546.583,572.052,-414.13,533.502,482.679,-378.076,497.232,372.541,-172.636,651.185,310.262,-254.912,571.45,309.921,-103.171,656.4,278.889,-154.927,741.552,303.089,-93.3592,781.858,297.639
330,0,-431.16,545.322,571.601,-415.583,532.274,483.251,-380.292,495.583,372.965,-172.847,646.902,311.613,-256.311,568.397,310.588,-103.087,651.414,281.571,-154.145,736.988,305.158,-91.7129,776.58,300.329
331,0,-432.627,544.148,571.847,-417.27,530.638,483.648,-382.614,493.587,373.076,-173.484,642.823,313.243,-257.453,565.261,312.008,-103.014,646.294,283.699,-153.3,732.709,307.159,-90.2046,771.187,303.146
332,0,-434.086,543.173,572.09,-418.715,529.421,482.963,-384.939,491.98,373.439,-173.855,638.738,314.866,-258.798,562.138,312.843,-103.187,641.473,285.616,-152.71,728.505,308.709,-89.2607,766.019,305.105
333,0,-435.223,542.041,572.371,-421.035,528.27,483.114,-387.079,490.12,373.639,-174.086,634.611,316.092,-260.307,559.171,313.73,-103.778,636.511,286.753,-152.253,723.931,310.724,-88.128,760.872,307.224
334,0,-436.868,540.96,572.431,-423.255,526.934,483.557,-389.512,488.382,373.619,-174.677,630.333,317.452,-261.352,556.051,314.577,-103.933,631.373,288.761,-151.372,719.2,312.798,-86.5705,755.23,309.495
335,0,-438.43,539.957,572.506,-424.623,525.887,483.586,-391.534,486.618,373.96,-175.011,625.875,318.613,-262.976,552.494,315.132,-104.326,626.179,289.88,-150.519,715.023,313.928,-85.367,750.068,311.039
336,0,-439.662,539.103,572.571,-426.277,524.753,483.844,-394.113,484.935,373.934,-175.292,621.649,319.71,-264.064,549.477,315.767,-104.702,621.282,290.776,-149.841,710.301,315.324,-84.2809,744.618,312.394
337,0,-440.89,537.856,572.795,-427.824,523.24,483.891,-395.995,483.373,374.292,-175.839,617.571,320.862,-265.2,546.339,316.667,-105.293,616.051,291.932,-148.862,705.465,316.867,-83.2251,739.229,313.891
338,0,-442.742,536.886,572.612,-429.818,521.964,483.558,-398.312,481.545,374.166,-176.217,613.483,321.899,-266.502,543.354,317.372,-105.658,610.843,293.197,-148.13,701.075,318.016,-81.8298,733.56,315.467
339,0,-444.192,536.148,572.694,-431.552,520.707,483.434,-400.411,480.301,374.363,-176.834,609.142,322.604,-267.771,540.403,317.904,-106.157,605.586,294.262,-147.43,696.537,319.359,-80.39,728.09,316.977
340,0,-445.104,535.223,572.94,-432.996,519.586,483.792,-402.44,478.678,374.696,-177.144,604.751,323.381,-269.153,537.2,318.04,-106.561,600.394,295.091,-146.716,691.671,320.513,-79.4516,722.624,317.623
341,0,-446.16,534.047,573.216,-434.452,518.322,484.504,-404.545,477.216,374.579,-177.626,600.442,323.835,-270.376,534.068,318.748,-107.192,595.226,295.706,-145.97,686.926,321.693,-78.3545,716.732,318.823
342,0,-448.206,533.131,572.83,-435.893,517.318,483.843,-406.497,475.915,374.884,-178.269,596.187,324.324,-271.805,530.848,318.886,-107.957,590.088,296.162,-145.34,682.317,322.327,-76.973,711.147,319.991
343,0,-449.505,532.416,572.852,-437.776,516.566,483.614,-408.815,474.298,374.734,-178.852,592.144,324.819,-272.981,527.966,319.13,-108.498,584.658,296.586,-144.77,677.418,323.193,-75.6352,705.572,320.839
344,0,-450.653,531.703,573.119,-439.605,515.7,483.561,-410.597,472.998,375.254,-179.397,587.692,325.505,-274.646,524.948,319.567,-109.033,579.548,297.221,-144.034,672.714,323.644,-74.7876,699.793,321.178
345,0,-452.033,530.552,572.935,-441.348,514.888,483.65,-412.325,471.565,375.426,-179.838,583.353,325.557,-275.699,521.938,319.945,-109.789,574.228,297.534,-143.479,667.927,324.318,-73.6358,694.063,322.105
346,0,-453.605,529.776,572.83,-442.658,514.052,483.531,-414.646,470.298,375.078,-180.446,578.825,325.571,-276.847,518.869,320.067,-110.625,569.067,297.34,-142.883,663.093,324.595,-72.6982,688.315,322.183
347,0,-454.469,529.003,573.079,-444.185,513.075,483.375,-416.549,468.969,375.259,-180.964,574.798,325.83,-278.169,515.324,320.313,-111.48,563.65,297.479,-142.405,658.323,324.794,-71.7805,682.514,322.74
348,0,-455.469,528.289,573.545,-445.565,511.891,483.351,-418.474,467.636,375.28,-181.545,570.628,325.916,-279.835,512.325,320.025,-112.518,558.771,297.844,-141.754,653.424,325.165,-71.0931,676.863,322.476
349,0,-456.782,527.369,573.306,-446.992,511.039,483.647,-420.434,466.443,375.471,-182.206,566.232,325.924,-281.441,510.096,319.792,-113.154,553.042,297.582,-141.576,648.541,325.101,-70.1075,670.839,322.931
350,0,-458.062,526.578,573.019,-448.641,510.317,483.043,-421.953,465.105,375.613,-182.854,561.83,325.863,-282.156,506.779,319.839,-113.829,548.092,297.424,-141.16,643.833,325.017,-69.3405,665.05,322.385
351,0,-459.417,525.803,573.125,-449.874,509.837,483.314,-424.27,463.797,375.32,-183.404,557.429,325.686,-283.945,503.998,319.264,-114.611,542.425,297.653,-140.636,638.813,324.757,-68.5703,659.208,322.324
352,0,-460.435,525.042,573.13,-450.663,508.35,483.803,-425.77,462.689,375.25,-184.283,553.351,325.311,-285.559,501.271,319.362,-116.065,537.208,296.921,-140.151,633.887,324.299,-68.1553,653.492,321.83
353,0,-460.998,524.383,573.495,-452.294,508.125,483.487,-427.572,461.45,375.535,-185.126,549.099,324.926,-286.602,498.369,319.745,-116.798,531.696,296.881,-139.862,628.931,324.002,-67.3716,647.571,320.999
354,0,-462.918,523.841,572.65,-453.777,507.078,483.435,-429.522,460.156,375.263,-185.764,544.705,324.785,-288.382,495.251,318.85,-117.813,526.244,296.333,-139.356,623.964,323.653,-66.6403,641.483,320.74
355,0,-461.341,521.639,574.988,-454.841,506.464,483.392,-431.07,459.306,375.618,-186.466,540.264,324.158,-289.439,492.338,318.414,-121.296,522.832,293.116,-139.281,619.208,323.201,-66.1516,635.677,319.737
356,0,-463.672,521.596,573.485,-455.823,505.887,483.106,-433.243,458.186,375.18,-187.36,536.064,323.543,-290.733,489.26,318.329,-120.844,516.617,294.118,-139,614.209,322.418,-65.6869,629.753,319.252
357,0,-464.958,520.976,573.539,-457.209,505.123,483.277,-434.771,456.866,375.432,-188.24,531.854,322.834,-292.403,486.34,318.078,-121.313,511.477,294.894,-138.711,609.43,321.697,-65.3148,623.774,317.956
358,0,-466.203,520.584,573.519,-458.672,504.257,483.263,-436.225,455.92,375.704,-189.098,527.798,322.461,-293.761,483.522,317.815,-122.988,506.185,293.582,-138.283,604.418,320.985,-64.9665,617.813,317.092
359,0,-467.293,519.873,573.398,-459.768,503.622,483.356,-438.178,455.168,375.37,-190,523.068,321.523,-295.195,480.829,317.211,-124.024,500.887,292.697,-138.133,599.356,320.361,-64.5052,612.039,316.32
360,0,-468.4,519.79,572.735,-460.857,502.851,483.295,-439.718,453.922,375.48,-191.008,519.042,320.483,-296.535,477.878,316.861,-125.493,496.007,291.459,-138.218,594.656,319.453,-64.205,606.152,314.784
361,0,-468.886,517.936,573.068,-461.73,502.02,482.886,-441.15,452.672,375.516,-191.86,514.993,319.778,-297.853,474.94,316.403,-126.815,490.955,290.454,-138.044,589.813,318.502,-63.7791,600.242,313.943
362,0,-469.895,517.467,573.279,-462.972,501.124,482.884,-442.986,451.874,375.368,-192.675,511.16,319.221,-299.703,472.177,315.801,-128.889,485.952,289.326,-138.023,584.944,317.583,-63.6601,594.45,312.695
363,0,-470.646,516.948,573.469,-464.082,500.517,482.907,-444.478,450.89,375.55,-193.873,507.079,318.037,-301.012,469.644,315.586,-131.05,481.079,288.903,-137.723,580.014,316.691,-63.6021,588.52,311.308
364,0,-471.601,516.238,573.213,-465.527,499.756,483.273,-445.795,449.646,375.772,-194.838,503.113,317.24,-302.518,466.818,314.791,-132.228,475.979,287.021,-137.769,575.319,315.484,-63.6492,582.608,309.954
365,0,-472.327,515.638,573.059,-466.533,498.959,483.036,-447.693,448.584,375.394,-196.091,499.088,315.921,-304.051,464.162,313.989,-133.421,471.412,285.335,-138.374,570.451,314.356,-63.8513,577.018,308.542
366,0,-473.373,514.89,573.016,-467.255,498.233,482.86,-449.149,447.825,375.31,-196.918,495.017,314.999,-305.448,461.617,313.256,-134.734,466.785,283.842,-138.465,565.467,313.118,-64.0911,571.247,306.482
367,0,-474.195,514.25,573.109,-468.395,497.532,483.029,-450.428,446.74,375.462,-198.291,490.96,313.496,-307.142,458.918,312.739,-136.608,461.879,282.266,-138.625,560.642,311.792,-64.0072,565.488,304.937
368,0,-474.777,513.6,573.003,-469.417,496.77,482.947,-452.36,445.715,375.015,-199.184,487.084,312.46,-308.408,456.224,312.127,-138.331,457.02,280.264,-138.567,555.974,310.391,-63.9512,559.833,303.712
369,0,-475.441,512.867,573.047,-470.486,495.963,482.702,-453.701,444.836,375.126,-200.389,483.211,310.996,-310.202,453.657,310.938,-139.722,452.574,279.001,-138.799,551.182,309.578,-64.5324,554.291,302.068
370,0,-476.43,512.159,572.92,-471.589,495.195,482.779,-455.049,443.973,375.042,-201.52,479.252,309.459,-311.669,451.144,310.417,-141.805,447.774,277.102,-139.233,546.466,307.984,-64.8796,548.514,300.128
371,0,-477.44,511.586,572.972,-472.637,494.411,482.965,-456.77,442.996,374.593,-202.831,475.367,307.968,-313.295,448.533,309.631,-143.635,443.335,274.463,-139.843,541.733,306.101,-64.931,542.804,298.219
372,0,-478.373,511.021,572.748,-473.504,493.851,482.683,-458.097,442.099,374.613,-203.867,471.415,306.208,-314.611,445.912,308.589,-145.406,439.206,272.929,-140.345,536.838,304.023,-65.5965,537.467,296.041
373,0,-478.877,510.525,572.731,-474.176,493.389,482.43,-459.29,441.384,374.623,-205.12,467.609,304.548,-316.177,443.468,307.369,-146.786,434.793,270.808,-140.667,532.269,302.499,-66.2546,532.013,293.739
