Joints
200
,,Mathew:HandOuter_Thumb,,,Mathew:LowerArm_HandOuter,,,Mathew:LowerArm_HandOuter,,,Mathew:World_UpperArm,,,,,,
Frame,Sub Frame,RX,RY,RZ,RX,RY,RZ,RX,RY,RZ,RX,RY,RZ,TX,TY,TZ
,,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,mm,mm,mm
1,0,18.5526,2.70673,-0.00319723,0.625575,5.1802,30.9658,0.625575,5.1802,30.9658,-17.5847,-16.9972,252.518,412.003,87.4794,647.743
2,0,18.5717,3.65772,1.58597,0.794645,7.41767,31.5682,0.794645,7.41767,31.5682,-17.2073,-18.3952,253.645,411.801,88.0369,647.088
3,0,19.2438,3.9941,0.990512,0.340395,6.72259,30.3475,0.340395,6.72259,30.3475,-16.9577,-19.2471,253.694,411.329,88.8019,646.9
4,0,20.0873,4.01858,0.138528,-0.125549,7.84371,29.9258,-0.125549,7.84371,29.9258,-16.4357,-20.3185,254.094,411.033,89.5084,646.512
5,0,20.4312,5.67961,2.99192,0.0350383,6.85498,29.2783,0.0350383,6.85498,29.2783,-16.1584,-21.2536,254.763,410.678,90.2146,646.009
6,0,21.3204,6.78585,2.1234,-0.467543,7.49632,28.6569,-0.467543,7.49632,28.6569,-15.8386,-22.1836,255.625,410.224,91.0919,645.762
7,0,21.9639,8.38188,2.54119,-0.453933,7.09303,28.8221,-0.453933,7.09303,28.8221,-15.4034,-23.2514,256.373,409.919,91.8577,645.418
8,0,23.0356,7.50499,-2.01573,-1.59985,7.72228,26.8686,-1.59985,7.72228,26.8686,-15.0735,-24.1682,256.644,409.626,92.515,644.772
9,0,23.4931,8.22071,0.754785,-1.92375,7.02618,26.6267,-1.92375,7.02618,26.6267,-14.4284,-25.1974,256.643,409.356,93.4222,644.462
10,0,23.8559,9.03227,1.4962,-2.55023,8.19327,26.3452,-2.55023,8.19327,26.3452,-13.8135,-26.1137,256.76,409.118,94.4422,643.947
11,0,24.0076,10.892,3.77415,-2.7982,6.88974,26.2194,-2.7982,6.88974,26.2194,-13.3291,-27.1797,257.413,408.886,95.105,643.712
12,0,24.1693,10.8648,1.68565,-3.62131,7.21897,25.4315,-3.62131,7.21897,25.4315,-12.9692,-28.2223,258.071,408.61,95.9445,643.357
13,0,23.4059,12.0628,3.04765,-4.31075,7.63516,25.287,-4.31075,7.63516,25.287,-12.5119,-29.2724,258.148,408.313,96.8684,642.967
14,0,23.4723,13.5191,1.57526,-5.26566,7.5895,25.3485,-5.26566,7.5895,25.3485,-11.9434,-30.2555,258.232,408.109,97.6437,642.573
15,0,22.9185,13.1093,0.155338,-6.12444,7.35441,24.0206,-6.12444,7.35441,24.0206,-11.427,-31.1637,258.328,407.84,98.2619,642.065
16,0,22.6276,14.5305,2.65686,-6.57783,8.27036,24.1302,-6.57783,8.27036,24.1302,-10.9098,-32.1599,258.56,407.565,99.1704,641.87
17,0,22.8732,14.6717,1.06691,-7.74122,8.37753,23.5226,-7.74122,8.37753,23.5226,-10.5595,-33.22,259.183,407.244,99.983,641.372
18,0,22.1698,15.5373,2.22726,-8.45899,8.10522,23.5089,-8.45899,8.10522,23.5089,-10.1937,-34.3147,259.674,406.998,100.608,641.148
19,0,21.238,16.2278,1.78692,-8.95954,8.82562,22.8387,-8.95954,8.82562,22.8387,-9.72112,-35.2483,259.934,406.667,101.38,640.65
20,0,20.3629,16.4171,1.67636,-9.61367,9.73025,22.5349,-9.61367,9.73025,22.5349,-9.16956,-36.002,259.439,406.386,102.38,640.377
21,0,20.1678,17.6681,2.30484,-10.0688,8.8608,22.0897,-10.0688,8.8608,22.0897,-8.88016,-36.9623,259.924,406.163,102.961,640.075
22,0,19.4287,19.2312,4.03605,-10.0928,8.49157,22.3575,-10.0928,8.49157,22.3575,-8.4972,-37.7425,260.085,405.937,103.739,639.76
