Joints
200
,,Mathew:HandOuter_Thumb,,,Mathew:LowerArm_HandOuter,,,Mathew:LowerArm_HandOuter,,,Mathew:World_UpperArm,,,,,,
Frame,Sub Frame,RX,RY,RZ,RX,RY,RZ,RX,RY,RZ,RX,RY,RZ,TX,TY,TZ
,,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,mm,mm,mm
1,0,-12.6654,15.7486,0.00369552,-5.47498,-5.84312,43.3664,-5.47498,-5.84312,43.3664,-21.2916,-0.187419,239.278,441.533,84.7562,647.603
2,0,-11.0718,14.5554,0.0625341,-3.94168,-3.63039,45.3457,-3.94168,-3.63039,45.3457,-21.527,-0.238917,240.164,441.26,84.6094,647.746
3,0,-10.1554,11.9228,0.306853,-3.62496,-1.77718,44.6357,-3.62496,-1.77718,44.6357,-21.561,-0.121682,240.735,440.964,84.6553,647.828
4,0,-13.3262,7.42734,1.37852,1.20362,-1.48695,40.3713,1.20362,-1.48695,40.3713,-21.1909,0.167979,242.253,440.85,84.7891,647.489
5,0,-17.7228,23.0445,-4.55411,-3.54651,8.16273,50.6963,-3.54651,8.16273,50.6963,-21.0709,0.281346,242.893,440.622,84.8926,647.476
6,0,-0.361435,-0.257004,-6.24078e-005,6.9158,-18.8395,22.4324,6.9158,-18.8395,22.4324,-21.3872,-0.0326281,242.327,440.293,84.9487,647.995
7,0,-0.35619,-0.253308,-3.69288e-005,7.35384,-17.3449,22.0681,7.35384,-17.3449,22.0681,-21.8421,-0.569452,241.512,439.923,84.99,648.766
8,0,-0.350896,-0.249577,-2.15265e-005,7.10679,-15.4415,21.2817,7.10679,-15.4415,21.2817,-22.1628,-1.26217,240.537,439.685,85.0727,649.245
9,0,-0.345808,-0.24599,-1.27547e-005,7.2935,-14.7646,21.0935,7.2935,-14.7646,21.0935,-22.3565,-1.32139,240.726,439.268,85.2664,649.569
10,0,-0.340568,-0.242296,-7.33035e-006,6.64033,-14.3043,20.6981,6.64033,-14.3043,20.6981,-22.1924,-1.55679,241.161,439.171,85.433,649.907
11,0,-0.335506,-0.238727,-4.26711e-006,7.01426,-14.5119,20.8818,7.01426,-14.5119,20.8818,-22.0522,-1.49077,242.129,439.059,85.7454,649.847
12,0,-0.330596,-0.235264,-2.50878e-006,6.83377,-15.0764,21.0109,6.83377,-15.0764,21.0109,-21.9131,-1.36633,243.059,438.88,86.0283,649.896
13,0,-0.325632,-0.231763,-1.45007e-006,7.16819,-15.6877,21.3322,7.16819,-15.6877,21.3322,-22.0245,-1.79893,243.084,438.615,86.1883,650.052
14,0,-0.320848,-0.228389,-8.50735e-007,7.09478,-15.9333,21.3826,7.09478,-15.9333,21.3826,-22.1984,-2.27996,242.88,438.292,86.2884,650.263
15,0,-0.315958,-0.224939,-4.86503e-007,7.123,-15.5123,21.2298,7.123,-15.5123,21.2298,-22.3894,-2.51899,243.353,437.784,86.2865,650.442
16,0,-42.524,21.9672,-11.584,-5.75021,-13.1632,21.1356,-5.75021,-13.1632,21.1356,-22.3088,-2.78219,243.899,437.697,86.4792,650.3
17,0,-45.0643,23.7734,-13.5049,-5.04418,-10.9222,22.4518,-5.04418,-10.9222,22.4518,-22.348,-2.94388,244.34,437.177,86.5542,650.069
18,0,-46.9028,25.7572,-20.0028,-5.81468,-7.88985,24.6899,-5.81468,-7.88985,24.6899,-22.5282,-3.38567,244.947,436.779,86.6821,650.331
19,0,-49.1091,27.845,-25.3763,-7.10179,-4.65822,27.3393,-7.10179,-4.65822,27.3393,-22.9255,-4.01732,245.29,436.427,86.7549,650.639
20,0,-53.146,31.51,-32.5461,-8.65064,0.397521,31.3759,-8.65064,0.397521,31.3759,-23.2618,-4.59295,245.507,436.081,86.6707,650.752
21,0,-57.8122,36.1364,-40.0138,-10.0371,6.27031,36.2349,-10.0371,6.27031,36.2349,-23.3563,-5.20597,245.813,435.696,86.769,650.7
22,0,-25.6935,12.047,-78.425,-3.18302,5.23636,46.6708,-3.18302,5.23636,46.6708,-23.5179,-5.16814,246.099,437.205,85.8967,650.626
23,0,-6.81827,7.8712,-0.165928,4.53767,7.27108,36.7448,4.53767,7.27108,36.7448,-23.7005,-6.31962,246.416,435.011,86.9478,650.745
24,0,-5.52087,10.2179,0.112591,3.73839,7.65596,37.9606,3.73839,7.65596,37.9606,-23.7647,-6.82595,246.855,434.617,87.1296,650.927
25,0,-5.28949,9.55396,0.231863,3.59229,7.29,37.8116,3.59229,7.29,37.8116,-23.6813,-7.63489,247.178,434.309,87.3917,650.954
26,0,-5.1857,9.85612,0.498071,4.5263,5.6723,36.2578,4.5263,5.6723,36.2578,-23.8569,-8.13733,247.648,433.876,87.5868,650.922
27,0,-5.31807,9.11539,0.48937,5.38926,6.34317,34.7051,5.38926,6.34317,34.7051,-23.8156,-8.97831,247.891,433.675,87.8255,651.028
28,0,-4.7264,8.28682,-0.051161,5.46258,8.70264,33.826,5.46258,8.70264,33.826,-23.7979,-9.8062,247.982,433.417,88.0462,650.852
29,0,-3.82308,8.81758,0.0574822,6.17074,7.43014,33.3462,6.17074,7.43014,33.3462,-23.5629,-10.5917,248.798,433.25,88.2691,650.646
30,0,-3.0455,8.73472,-0.78978,6.78374,6.81097,32.7433,6.78374,6.81097,32.7433,-23.6827,-11.2148,249.812,432.993,88.3819,650.649
31,0,-1.42141,7.84188,-1.59174,5.95191,6.19837,31.6333,5.95191,6.19837,31.6333,-23.67,-12.0775,250.453,432.71,88.579,650.55
