Joints
200
,,Mathew:HandOuter_Thumb,,,Mathew:LowerArm_HandOuter,,,Mathew:LowerArm_HandOuter,,,Mathew:World_UpperArm,,,,,,
Frame,Sub Frame,RX,RY,RZ,RX,RY,RZ,RX,RY,RZ,RX,RY,RZ,TX,TY,TZ
,,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,mm,mm,mm
1,0,18.9976,-1.91509,-0.00304487,7.25414,5.75166,32.6305,7.25414,5.75166,32.6305,-18.0593,-19.397,245.977,416.629,63.0424,637.156
2,0,16.1721,-4.45796,-0.339791,8.56855,6.92367,28.3057,8.56855,6.92367,28.3057,-18.1547,-20.3694,246.459,416.293,63.2489,636.544
3,0,21.3142,-0.677969,1.02907,6.37278,9.18274,32.8298,6.37278,9.18274,32.8298,-17.9849,-21.0239,247.201,416.1,63.6222,636.716
4,0,22.7568,0.0779067,-0.0126977,5.24459,7.7642,32.3412,5.24459,7.7642,32.3412,-18.1683,-21.8411,248.028,415.647,63.7913,636.573
5,0,23.1202,1.11789,1.08896,5.48938,7.4015,31.2544,5.48938,7.4015,31.2544,-18.0813,-22.6211,248.616,415.31,64.1127,636.546
6,0,23.5485,2.05364,1.49712,5.26177,8.75854,30.5569,5.26177,8.75854,30.5569,-17.9943,-23.2846,248.843,414.844,64.5799,636.144
7,0,24.0563,3.77003,2.9489,5.69376,7.64917,29.9994,5.69376,7.64917,29.9994,-17.6264,-24.109,248.967,414.529,65.073,635.992
8,0,25.043,4.81784,1.80333,5.39089,8.35069,28.7498,5.39089,8.35069,28.7498,-17.5032,-24.7151,249.474,414.134,65.6839,635.955
9,0,24.9163,5.36305,0.841775,5.33229,8.12509,27.2642,5.33229,8.12509,27.2642,-17.3054,-25.5022,250.015,413.722,66.3067,635.929
10,0,26.4402,6.48579,1.21695,4.58653,9.33415,27.5952,4.58653,9.33415,27.5952,-17.1657,-26.4614,250.4,413.349,66.7635,635.671
11,0,26.2885,6.74076,0.573468,4.47481,7.92965,26.0346,4.47481,7.92965,26.0346,-16.9841,-27.0664,251.065,412.987,67.3548,635.311
12,0,27.3006,7.11059,-0.204867,4.03411,8.38319,25.0304,4.03411,8.38319,25.0304,-16.7076,-27.7711,251.085,412.576,68.0354,635.159
13,0,27.427,8.54975,2.61444,3.69843,8.7955,24.5571,3.69843,8.7955,24.5571,-16.7008,-28.4413,251.417,412.122,68.6408,634.882
