Joints
200
,,Mathew:HandOuter_Thumb,,,Mathew:LowerArm_HandOuter,,,Mathew:LowerArm_HandOuter,,,Mathew:World_UpperArm,,,,,,
Frame,Sub Frame,RX,RY,RZ,RX,RY,RZ,RX,RY,RZ,RX,RY,RZ,TX,TY,TZ
,,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,mm,mm,mm
1,0,-5.70948,-12.5575,0.0120274,-3.73793,-5.76991,49.2379,-3.73793,-5.76991,49.2379,-14.7251,-6.52521,235.361,467.504,68.1946,637.123
2,0,-6.22547,-13.123,-0.0475679,-2.80063,-0.981224,49.7822,-2.80063,-0.981224,49.7822,-15.0937,-6.40536,235.733,467.08,68.1636,637.079
3,0,-6.59065,-12.6919,-1.50374,-2.65981,-1.10407,49.6345,-2.65981,-1.10407,49.6345,-15.114,-6.24458,235.542,466.958,68.4103,637.185
4,0,-6.53672,-12.3137,-0.868291,-2.7008,-1.44972,49.5224,-2.7008,-1.44972,49.5224,-15.1958,-6.02877,235.367,466.739,68.6983,637.273
5,0,-6.58317,-10.382,0.724923,-3.00758,-1.49433,49.3058,-3.00758,-1.49433,49.3058,-15.2921,-5.80932,235.255,466.497,68.9103,637.381
6,0,-6.79501,-9.25092,0.244243,-2.98431,-1.67901,49.3313,-2.98431,-1.67901,49.3313,-15.4273,-5.54436,235.062,466.167,69.2199,637.529
7,0,-7.4874,-9.64147,0.0265039,-2.98195,-1.5222,48.8279,-2.98195,-1.5222,48.8279,-15.6366,-5.25824,234.941,465.823,69.3598,637.865
8,0,-7.81541,-11.8417,-0.209909,-2.7611,-2.17252,48.5457,-2.7611,-2.17252,48.5457,-15.7115,-5.02952,234.875,465.585,69.611,637.989
9,0,-8.17307,-11.1569,0.05652,-2.42435,-2.12544,48.202,-2.42435,-2.12544,48.202,-15.8324,-4.85277,234.673,465.333,69.8263,638.348
10,0,-7.65132,-12.5006,-0.329266,-2.13178,-1.54348,47.1877,-2.13178,-1.54348,47.1877,-15.9315,-4.53041,234.515,464.994,70.1312,638.745
11,0,-7.99157,-14.9474,-0.159312,-2.03542,-1.16099,46.5448,-2.03542,-1.16099,46.5448,-16.0672,-4.18184,234.512,464.611,70.4962,639.183
12,0,-8.77769,-11.7984,-0.564948,-1.12123,-2.03953,47.0449,-1.12123,-2.03953,47.0449,-16.1361,-4.00524,234.348,464.361,70.7811,639.499
13,0,-9.07072,-8.34569,0.106063,-0.527414,-3.68453,47.978,-0.527414,-3.68453,47.978,-16.097,-3.83079,234.195,464.22,71.1736,639.706
14,0,-7.9489,-9.30935,-1.34035,-0.526531,-3.72963,47.8684,-0.526531,-3.72963,47.8684,-16.2472,-3.64403,234.3,463.869,71.4932,639.995
15,0,-7.7424,-12.8993,-1.01667,-0.908842,-2.40346,46.7549,-0.908842,-2.40346,46.7549,-16.4088,-3.46696,234.39,463.587,71.7205,640.401
16,0,-7.43558,-14.0773,-0.871696,-0.915247,-1.75421,46.3796,-0.915247,-1.75421,46.3796,-16.6058,-3.35593,234.373,463.248,71.9155,640.802
17,0,-7.56832,-11.9756,-1.35955,-0.477908,-2.52755,47.7905,-0.477908,-2.52755,47.7905,-16.7546,-3.21838,234.665,462.963,72.07,641.323
18,0,-7.37336,-8.97217,-0.156905,-1.30041,-6.36524,48.1167,-1.30041,-6.36524,48.1167,-16.6977,-2.72082,235.561,462.706,72.4288,641.699
19,0,-6.45768,-11.7507,-1.31758,-1.27295,-4.70073,48.1513,-1.27295,-4.70073,48.1513,-16.6033,-2.42287,236.009,462.488,72.9146,642.139
20,0,-7.07152,-12.7435,-1.01517,-1.61679,-4.61104,48.0949,-1.61679,-4.61104,48.0949,-16.5885,-2.22247,236.272,462.267,73.2729,642.418
21,0,-6.43045,-8.94424,-1.94228,-1.77062,-6.28397,48.7376,-1.77062,-6.28397,48.7376,-16.4873,-2.12172,236.427,462.219,73.6587,642.71
22,0,-6.57428,-8.19995,-0.709027,-1.90172,-5.66331,49.4367,-1.90172,-5.66331,49.4367,-16.5626,-2.03762,236.53,462.007,74.0212,643.137
23,0,-5.02357,-10.3487,-1.52399,-2.69013,-3.94856,48.6606,-2.69013,-3.94856,48.6606,-16.8807,-1.89621,236.569,461.607,74.2683,643.698
24,0,-5.37699,-6.60568,-1.94997,-2.37144,-3.20456,48.7916,-2.37144,-3.20456,48.7916,-17.1034,-1.842,236.503,461.266,74.6205,644.209
25,0,-5.07326,-7.71162,-0.198369,-2.39845,-2.54777,47.9674,-2.39845,-2.54777,47.9674,-17.3201,-1.93516,236.796,460.886,74.733,644.493
26,0,-5.1569,-6.33246,-1.27524,-2.35001,-3.07958,48.4115,-2.35001,-3.07958,48.4115,-17.5371,-1.93801,237.283,460.413,74.7283,644.707
27,0,-3.906,-4.83479,0.246189,-4.25066,-7.74616,47.8783,-4.25066,-7.74616,47.8783,-17.5604,-1.78472,237.865,460.156,74.9209,644.946
28,0,-2.45453,-1.67385,0.122871,-4.40189,-8.20655,48.6657,-4.40189,-8.20655,48.6657,-17.678,-1.96786,238.051,459.91,75.003,645.099
29,0,-1.48434,-5.03013,0.152625,-4.48519,-6.0126,47.916,-4.48519,-6.0126,47.916,-17.8571,-2.03248,237.88,459.671,75.2449,645.532
30,0,-1.09298,-4.77782,0.0467842,-4.57199,-5.81292,47.8109,-4.57199,-5.81292,47.8109,-18.0249,-2.16548,238.272,459.366,75.428,645.837
31,0,0.281217,-2.95801,0.0242092,-4.48231,-5.78139,47.1246,-4.48231,-5.78139,47.1246,-18.1426,-2.36666,238.66,459.121,75.5793,646.158
32,0,1.95911,-3.18764,0.675342,-3.57831,-3.51968,46.6664,-3.57831,-3.51968,46.6664,-18.3541,-2.47739,239.047,458.719,75.8017,646.49
33,0,1.46068,-4.13786,-0.171389,-2.62388,-0.871259,47.1436,-2.62388,-0.871259,47.1436,-18.283,-2.64734,239.461,458.434,76.1375,646.226
34,0,3.31825,-3.70819,-0.250179,-4.04699,-9.36487,44.9285,-4.04699,-9.36487,44.9285,-17.9527,-2.22775,241.301,458.203,76.4306,645.903
35,0,5.88156,-0.689452,-0.87098,-4.30634,-8.50676,44.4745,-4.30634,-8.50676,44.4745,-18.0186,-2.36988,241.72,457.877,76.6252,646.163
36,0,7.52433,2.62437,2.3347,-3.13316,-6.08769,45.0646,-3.13316,-6.08769,45.0646,-18.3812,-3.16193,240.867,457.588,76.7067,646.73
37,0,9.13502,2.24155,-0.167424,-2.36964,-1.91721,44.2247,-2.36964,-1.91721,44.2247,-18.7847,-3.81201,240.333,457.277,76.8022,647.217
38,0,9.2356,0.882747,-0.12346,-1.63595,0.906359,44.2424,-1.63595,0.906359,44.2424,-18.974,-4.26717,240.507,457.042,76.9517,647.284
39,0,10.2663,1.42689,0.342836,-1.31036,2.34462,43.6145,-1.31036,2.34462,43.6145,-19.0493,-4.51644,241.555,456.75,76.9909,646.975
40,0,12.2404,2.52089,-0.68335,-1.37587,-2.02641,41.6032,-1.37587,-2.02641,41.6032,-18.9259,-4.44633,243.078,456.403,77.1787,646.978
41,0,13.7079,3.7565,0.854099,-1.31192,-1.10947,41.9192,-1.31192,-1.10947,41.9192,-18.991,-5.24282,243.03,456.187,77.3912,646.963
42,0,14.4389,4.47825,0.647455,-0.173639,0.24311,41.2233,-0.173639,0.24311,41.2233,-19.1865,-5.90442,242.93,455.915,77.543,647.035
43,0,14.5319,3.47588,-0.220213,0.118623,3.01888,40.5063,0.118623,3.01888,40.5063,-19.2231,-6.60093,243.188,455.677,77.7867,646.947
