Joints
200
,,Mathew:HandOuter_Thumb,,,Mathew:LowerArm_HandOuter,,,Mathew:LowerArm_HandOuter,,,Mathew:World_UpperArm,,,,,,
Frame,Sub Frame,RX,RY,RZ,RX,RY,RZ,RX,RY,RZ,RX,RY,RZ,TX,TY,TZ
,,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,mm,mm,mm
1,0,5.78888,-7.96446,-0.00392701,1.6909,-3.84176,43.9283,1.6909,-3.84176,43.9283,-19.5983,-10.8947,236.562,454.334,66.4619,635.746
2,0,6.80663,-8.77549,0.46126,1.59981,0.930591,44.365,1.59981,0.930591,44.365,-20.0084,-10.7625,236.807,453.845,66.5368,636.133
3,0,7.53436,-7.76485,0.109831,1.52713,2.56417,45.2818,1.52713,2.56417,45.2818,-20.1801,-10.6882,236.684,453.487,66.6006,636.52
4,0,7.97354,-7.25012,0.000352581,1.30005,3.16132,45.346,1.30005,3.16132,45.346,-20.4647,-10.5335,236.404,452.996,66.6785,637.242
5,0,8.0659,-5.03996,0.0672888,1.51596,3.22169,46.1283,1.51596,3.22169,46.1283,-20.6151,-10.322,236.393,452.532,66.8644,637.847
6,0,8.9659,-5.75525,-0.268175,0.436396,4.34664,46.5243,0.436396,4.34664,46.5243,-20.658,-10.1046,236.494,452.043,67.1419,638.078
7,0,9.3766,-6.95219,-0.668169,-0.391094,3.99918,46.2555,-0.391094,3.99918,46.2555,-20.6098,-9.73955,237.012,451.636,67.3979,638.414
8,0,9.24314,-6.56868,-0.0452262,-1.44863,-2.85978,44.8139,-1.44863,-2.85978,44.8139,-20.5083,-8.92731,238.406,451.188,67.7605,638.821
9,0,9.47144,-5.69338,0.219171,-1.19971,-1.63466,45.9097,-1.19971,-1.63466,45.9097,-20.359,-8.70446,239.441,450.775,68.0075,638.918
10,0,9.92424,-3.09181,-0.163709,-1.93524,-9.07638,44.7481,-1.93524,-9.07638,44.7481,-20.2892,-7.79351,241.661,450.176,68.3236,639.419
11,0,10.1956,-1.75811,0.883671,-1.55629,-7.21682,45.5971,-1.55629,-7.21682,45.5971,-20.2087,-7.43183,242.615,449.644,68.6645,639.72
12,0,11.4089,-1.7051,-0.211644,-2.49292,-9.47771,44.6982,-2.49292,-9.47771,44.6982,-20.4017,-7.28047,242.806,449.117,68.8293,640.269
13,0,11.4334,-3.1389,-0.548883,-2.38261,-5.53159,44.09,-2.38261,-5.53159,44.09,-20.8438,-7.8399,241.623,448.653,68.6912,640.911
14,0,12.137,-3.49614,1.47156,-1.47648,-1.04087,43.3306,-1.47648,-1.04087,43.3306,-21.261,-8.23087,240.666,448.039,68.7435,641.807
15,0,12.9593,-1.51695,-0.543351,-1.18182,1.48041,44.0924,-1.18182,1.48041,44.0924,-21.4782,-8.67936,239.938,447.518,68.849,642.361
16,0,13.2773,-1.09999,-0.253061,-1.37596,3.10776,44.0839,-1.37596,3.10776,44.0839,-21.7604,-8.84564,240.099,447.092,69.0138,642.993
17,0,12.8352,-0.628699,0.629007,-0.476227,6.1088,45.2881,-0.476227,6.1088,45.2881,-21.7072,-9.06238,240.836,446.725,69.2357,643.401
18,0,13.6503,-1.13274,-0.613002,-0.282389,8.03058,44.0788,-0.282389,8.03058,44.0788,-21.7522,-9.17884,241.37,446.189,69.3862,643.675
19,0,13.5,1.1835,1.78741,-0.0172788,8.23734,44.1554,-0.0172788,8.23734,44.1554,-21.8203,-9.34067,241.692,445.627,69.5228,643.822
20,0,14.9718,2.84699,1.77332,-0.334449,8.62178,44.2751,-0.334449,8.62178,44.2751,-21.8957,-9.50067,242.123,444.864,69.595,643.926
21,0,15.4834,2.80597,0.999038,0.0743874,8.19439,43.541,0.0743874,8.19439,43.541,-21.9749,-9.59146,242.945,444.33,69.7399,643.887
22,0,15.595,2.53511,0.188001,-0.276719,9.83709,43.4483,-0.276719,9.83709,43.4483,-22.0313,-9.88115,243.658,443.772,69.8939,644.145
23,0,16.4427,3.30082,1.19395,-0.595523,11.4132,43.3986,-0.595523,11.4132,43.3986,-22.1313,-10.2699,243.982,443.152,70.0229,644.584
24,0,16.7593,3.39416,1.0564,-0.224214,8.84517,41.9487,-0.224214,8.84517,41.9487,-22.0962,-10.4997,244.298,442.493,70.3622,644.543
25,0,17.7758,4.03043,1.73977,-0.0358526,8.08307,41.5034,-0.0358526,8.08307,41.5034,-21.8614,-10.7752,244.859,441.98,70.6506,644.642
26,0,17.7072,3.98257,0.613993,0.0416257,8.12829,40.9976,0.0416257,8.12829,40.9976,-21.6992,-11.3113,245.329,441.468,70.7308,644.479
27,0,17.6923,3.66491,-0.0512196,-0.141304,8.9526,39.5336,-0.141304,8.9526,39.5336,-21.9071,-11.6301,246.004,440.774,70.9049,644.52
28,0,18.0053,4.47682,1.76375,0.26941,9.60888,39.6844,0.26941,9.60888,39.6844,-22.0663,-12.1622,246.694,439.991,70.9508,644.766
