Joints
200
,,Mathew:HandOuter_Thumb,,,Mathew:LowerArm_HandOuter,,,Mathew:UpperArm_LowerArm,,,Mathew:World_UpperArm,,,,,,
Frame,Sub Frame,RX,RY,RZ,RX,RY,RZ,RX,RY,RZ,RX,RY,RZ,TX,TY,TZ
,,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,mm,mm,mm
1,0,24.3779,15.2857,0.0113836,6.10478,5.48209,26.1531,5.95441,60.563,-84.34,-17.9974,-28.432,-111.886,419.255,42.0533,638.118
2,0,23.4731,15.5919,0.422404,6.56455,10.0089,23.7072,3.47487,62.3958,-89.1677,-18.2153,-29.0664,-111.022,418.582,42.2336,637.992
3,0,20.7296,12.1571,-2.74276,7.5481,7.39593,18.4795,2.89654,61.8549,-89.2068,-17.7381,-30.0161,-111.385,418.159,42.5617,637.422
4,0,20.4488,10.709,-1.50675,7.31929,5.70348,16.1058,3.01311,61.6752,-88.8745,-17.5214,-30.7584,-111.213,417.805,42.8094,637.358
5,0,22.0994,12.449,-1.28576,7.22302,2.49258,15.7336,4.41381,61.1282,-86.887,-17.472,-31.5333,-110.736,417.265,43.1231,637.361
6,0,22.5892,12.2899,-1.17212,6.45237,2.73491,15.5374,4.3637,60.9507,-87.209,-17.4787,-32.4251,-110.268,416.692,43.4021,637.517
7,0,22.873,23.7715,4.96082,4.32975,17.893,31.6012,4.15322,61.4936,-87.5928,-17.6064,-32.8974,-109.833,415.907,43.6196,637.636
8,0,22.548,26.2396,0.22575,3.93208,19.943,34.247,4.19983,60.8343,-87.5831,-17.3626,-33.8175,-109.954,415.224,43.8186,637.286
9,0,24.8518,31.2995,3.88235,2.43116,28.6152,42.8578,4.20087,60.8576,-87.0381,-17.393,-34.3793,-109.875,414.536,43.9645,637.257
10,0,26.5281,34.1459,1.63442,1.64218,34.1709,47.6028,3.82297,60.9101,-88.2753,-17.376,-35.2569,-109.461,414.027,44.117,637.27
11,0,26.8594,35.5476,0.75874,1.14018,36.4521,49.7551,4.19366,60.6629,-87.9734,-17.2041,-36.0963,-109.217,413.53,44.4153,637.008
12,0,29.5368,40.1952,0.965674,-0.00937068,43.2345,57.951,4.80779,60.3484,-87.1161,-17.045,-36.6883,-109.035,412.937,44.7081,637.055
13,0,34.2451,44.2343,-0.965924,-1.45372,51.5471,65.9509,4.81516,60.2547,-87.4518,-16.9419,-37.3827,-108.751,412.22,45.1097,636.951
14,0,36.6517,45.0441,-0.843842,-2.52886,54.9574,69.6042,5.03164,59.5478,-86.9925,-16.6422,-38.0986,-108.955,411.541,45.4485,636.992
15,0,39.4266,47.1932,-1.79212,-3.42909,60.9098,75.3423,5.1879,59.4099,-86.684,-16.4798,-38.5656,-108.851,410.841,45.8696,636.963
16,0,42.0807,47.1343,-1.42695,-3.6414,64.8531,77.0082,4.49324,59.4447,-87.4799,-16.4037,-39.0894,-108.888,410.159,46.1941,636.665
17,0,40.6217,43.4966,1.66513,-3.25962,60.3954,70.6059,4.54018,59.5042,-88.1853,-16.4326,-39.9064,-108.417,409.57,46.3837,636.688
18,0,45.7408,48.4506,-5.75359,-5.25897,73.0054,83.6389,5.19698,59.3016,-87.7878,-16.5892,-40.6698,-107.82,408.879,46.7305,636.731
19,0,53.0869,49.6512,-11.3767,-7.18679,88.1064,97.7082,5.3468,58.8822,-87.3985,-16.3933,-41.1772,-107.869,408.309,47.1623,636.883
20,0,53.4746,43.9657,0.309235,-5.78917,81.3805,88.9948,4.96645,58.7609,-87.9503,-15.9187,-41.5304,-108.125,407.761,47.7301,636.7
21,0,53.1695,43.8197,0.440959,-5.84081,81.5396,88.4532,5.36837,58.3063,-87.5784,-15.3854,-42.0788,-108.285,407.353,48.1707,636.537
22,0,54.824,44.6084,-2.28618,-7.65676,83.7564,91.1769,6.25931,57.7707,-86.2854,-15.3537,-42.6241,-107.972,406.741,48.5925,636.342
23,0,22.4837,23.7934,3.03879,0.612738,10.5518,16.6463,5.47437,58.2219,-90.1859,-15.1883,-44.0216,-107.468,406.029,48.9783,635.363
24,0,22.267,25.537,3.20001,0.288755,10.8044,16.9154,5.20943,57.8855,-90.9621,-15.1286,-44.6978,-107.48,405.407,49.1577,635.543
25,0,21.9614,25.018,1.42562,-0.229436,10.8868,16.2632,5.42638,57.8089,-90.7644,-15.0628,-45.0051,-107.374,404.666,49.4932,635.22
26,0,21.2731,24.4115,0.603448,-0.948249,10.953,16.1958,5.69408,57.0522,-89.6449,-14.6066,-45.3555,-107.894,404.166,49.8162,635.019
27,0,20.723,24.9139,1.28127,-1.17806,10.2902,16.2253,6.18659,56.551,-89.104,-14.3848,-45.8663,-107.911,403.609,50.0677,634.949
28,0,25.7313,29.1886,-5.19758,-5.83673,8.76186,17.428,6.39311,56.655,-86.9319,-15.1702,-45.2648,-107.399,402.848,50.151,636.147
29,0,20.0093,26.1481,3.06315,-1.91174,9.66607,16.0119,6.77128,56.5727,-88.9285,-14.5539,-46.4709,-107.114,402.25,50.9142,634.916
30,0,19.7234,25.6605,1.07957,-2.35357,10.5778,15.5082,6.58371,56.4759,-89.5139,-14.4777,-46.9853,-107.023,401.726,51.1502,635.034
31,0,19.3373,26.3734,2.00501,-2.0311,9.79421,15.911,6.87563,55.922,-89.161,-14.4169,-47.386,-107.114,401.164,51.3669,635.001
32,0,18.8956,26.7439,2.67096,-1.71128,9.3684,16.0836,6.92464,55.7056,-89.1258,-14.5126,-47.6545,-107.12,400.611,51.4964,634.681
33,0,18.4723,27.0131,3.35879,-1.45262,9.26699,16.2895,7.10115,55.7391,-89.3548,-14.6254,-47.9551,-106.835,400.076,51.6096,634.424
34,0,18.4859,27.1045,2.34254,-1.88807,9.44411,16.4442,7.09744,55.6993,-89.4676,-14.7632,-48.2417,-106.683,399.475,51.5946,634.526
35,0,18.4002,27.0919,1.69729,-2.30159,9.76858,16.6507,6.96625,55.771,-89.7464,-14.9723,-48.4302,-106.489,398.859,51.6298,634.726
36,0,18.3911,27.2736,1.51241,-2.43391,9.66017,16.8406,7.04629,55.8793,-89.8867,-15.2473,-48.627,-106.164,398.355,51.7396,634.88
37,0,18.3362,27.1893,0.961024,-2.56088,9.95375,16.7525,6.81038,55.9803,-90.2868,-15.3994,-48.7426,-106.095,397.9,51.838,634.968
38,0,18.206,27.0679,0.802866,-2.49357,9.89265,16.5135,6.68309,55.9243,-90.3949,-15.3611,-48.8005,-106.203,397.618,52.0055,635.029
39,0,18.2735,27.3083,0.794435,-2.31491,9.90312,16.6189,6.62913,55.8999,-90.6597,-15.3372,-48.8645,-106.204,397.348,52.2199,635.116
40,0,18.0432,27.2171,0.978226,-2.17322,9.87903,16.4655,6.64098,55.8854,-90.5573,-15.3169,-48.8921,-106.233,397.152,52.3228,635.163
41,0,18.163,27.5414,0.915759,-2.05967,9.46057,16.5184,6.8277,55.8338,-90.1563,-15.384,-48.8252,-106.204,396.807,52.446,635.286
42,0,18.3539,27.1691,-0.835023,-2.092,9.74567,16.45,6.84171,55.8144,-90.1394,-15.3967,-48.822,-106.195,396.74,52.4396,635.31
43,0,18.6096,26.7426,-2.96024,-2.07383,9.97533,16.4904,6.85051,55.8132,-90.1076,-15.4119,-48.8249,-106.194,396.671,52.4147,635.419
44,0,19.353,28.6866,0.412773,-1.77525,8.44914,17.3662,7.1155,55.7635,-89.1162,-15.9179,-48.5503,-106.182,395.717,52.1046,635.788
45,0,19.3183,27.7268,-1.26142,-1.69864,8.79821,16.9016,7.04694,56.0367,-89.1198,-16.13,-48.4019,-106.117,395.436,51.9953,635.923
46,0,19.5585,27.7286,-1.13106,-1.47918,8.58683,17.122,7.03366,56.0585,-88.9801,-16.2215,-48.2387,-106.199,395.249,51.8076,636.128
47,0,19.4719,27.5166,-0.616164,-1.23301,9.11704,16.9304,6.61704,56.5288,-89.6048,-16.4144,-47.975,-106.184,395.071,51.5704,636.423
48,0,19.7814,28.1195,0.246326,-1.11835,9.019,17.2817,6.36934,56.8567,-89.8211,-16.6988,-47.6816,-106.138,394.901,51.3241,636.711
49,0,24.8385,30.0014,-9.98717,-5.83739,4.94843,16.1209,6.03342,57.0217,-87.2909,-17.737,-46.4672,-106.099,394.755,50.6531,638.421
50,0,20.5532,27.7702,-0.678991,-1.51807,9.1435,18.1158,6.03564,56.8792,-89.1262,-16.8837,-47.0765,-106.606,394.766,50.868,637.259
51,0,20.6672,27.5948,-0.922754,-1.44719,9.23886,17.909,5.99624,57.4028,-89.2037,-17.1739,-46.799,-106.392,394.686,50.6809,637.375
52,0,20.3069,27.5383,0.345689,-1.10196,9.25386,18.2926,5.71533,57.3644,-89.0099,-17.2358,-46.5015,-106.799,394.807,50.3175,637.873
53,0,20.8937,28.0039,0.0768318,-1.34486,9.06046,18.7984,5.7357,57.8477,-88.6211,-17.5838,-45.9634,-106.691,394.781,49.8587,638.543
54,0,21.3919,28.2255,-0.172442,-1.65149,8.13329,19.2617,6.16323,58.1367,-87.8297,-17.8977,-45.5973,-106.417,394.761,49.4045,638.818
55,0,20.9067,28.0504,0.841242,-1.31109,8.41549,18.9485,5.64938,58.7784,-88.3534,-18.1393,-45.1297,-106.499,394.724,48.9478,639.02
56,0,34.6041,31.7923,-36.5872,-9.78009,8.04407,17.7737,5.69603,59.0159,-88.0935,-18.4387,-44.5462,-106.518,395.579,47.8533,640.535
57,0,23.1386,27.7749,-10.8546,-4.7129,2.46823,15.2732,5.23084,59.7148,-85.9544,-19.3748,-43.2649,-106.593,394.741,47.7396,640.896
58,0,24.1054,27.9372,-10.1965,-4.22434,0.468078,14.6406,5.58801,59.8103,-85.087,-19.3844,-42.6988,-106.86,394.827,47.2746,641.254
59,0,24.3101,28.6084,-8.01099,-4.25707,1.14318,16.0372,5.53716,60.0604,-84.7247,-19.5652,-42.3194,-107.007,395.091,46.8074,641.436
60,0,24.9394,29.4566,-6.81044,-4.70804,2.36515,17.2077,5.37526,60.6044,-84.3561,-19.755,-41.7594,-107.161,395.341,46.239,641.695
61,0,24.9116,29.3966,-6.45433,-4.56809,3.20096,18.1702,5.41423,60.9932,-84.0454,-19.9234,-41.2298,-107.313,395.575,45.6356,642.169
62,0,25.0688,30.4506,-3.19908,-4.3998,4.29415,20.1901,5.46763,61.3948,-83.7134,-20.1669,-40.7046,-107.427,395.777,45.0837,642.572
63,0,24.6158,29.3861,-3.59097,-4.10971,3.00135,18.5132,5.17482,62.4597,-83.8815,-20.5632,-39.752,-107.28,395.737,44.6866,642.889
64,0,25.4588,30.3974,-3.01818,-4.50502,4.24523,19.8958,5.12934,62.9304,-83.5735,-20.6628,-39.1968,-107.443,396.171,44.1802,643.434
65,0,25.438,30.6614,-1.91087,-4.31375,5.40566,20.9905,5.11803,63.3158,-83.3516,-20.7851,-38.7208,-107.691,396.432,43.4527,643.957
66,0,25.3531,30.3011,-2.56404,-4.28236,6.25491,21.6847,5.17201,63.8425,-82.9279,-20.831,-37.9973,-107.93,396.738,42.7844,643.978
67,0,25.9172,31.8867,0.405999,-4.57396,7.52017,23.7912,5.07854,64.3024,-82.3879,-21.0336,-37.2334,-108.232,397.01,42.0511,644.565
68,0,26.3197,32.6684,1.28603,-4.57045,8.89525,25.163,4.90367,64.8253,-82.0605,-21.2517,-36.4683,-108.576,397.232,41.4135,645.085
69,0,26.083,32.0378,0.222289,-4.59966,9.4515,25.8036,4.75818,65.1096,-81.7883,-21.459,-35.8835,-108.89,397.44,40.8276,645.334
70,0,26.162,31.8994,-0.489016,-4.77661,10.9489,26.409,4.65241,65.7588,-81.3657,-21.5193,-35.0938,-109.259,397.785,40.166,645.725
71,0,26.2722,32.7226,1.49686,-4.83788,12.1371,27.8655,4.52985,66.2626,-80.8819,-21.6687,-34.3533,-109.633,398.113,39.4101,645.883
72,0,27.041,34.5699,3.63323,-4.90664,13.562,30.0745,4.4598,66.7383,-80.3818,-21.835,-33.5443,-110.049,398.435,38.7579,646.273
73,0,27.6836,35.2977,2.81409,-5.2081,14.6842,31.4362,4.25609,67.0909,-80.1434,-21.9503,-32.8446,-110.484,398.869,38.0347,646.925
74,0,28.2584,36.0842,2.39613,-5.54388,16.0031,32.7909,4.09317,67.6927,-79.8725,-22.1874,-32.0487,-110.823,399.109,37.1344,647.202
75,0,28.7962,37.9365,5.23879,-5.4037,17.4268,34.9984,4.08071,68.1905,-79.5444,-22.3355,-31.3725,-111.152,399.491,36.4177,647.505
76,0,26.6327,38.2093,-0.318419,-5.49068,21.9608,37.1443,2.88556,68.5347,-79.7243,-22.0907,-30.3465,-112.357,399.656,35.9494,647.69
77,0,27.1382,38.5509,-1.88259,-5.96751,23.3335,37.991,2.63506,69.0238,-79.3686,-22.4101,-29.7551,-112.758,400.162,35.0045,648.191
78,0,28.4478,41.5168,-0.398523,-6.2901,24.6053,40.7626,2.67788,69.5146,-78.9901,-22.6254,-29.0093,-113.09,400.407,34.1044,648.412
79,0,29.0733,42.0088,-2.41764,-6.68702,26.1549,42.0179,2.62333,70.1757,-78.6131,-22.8488,-28.128,-113.443,400.733,33.4062,648.926
80,0,29.4812,43.549,-0.105978,-6.36208,27.1586,43.8384,2.63127,70.6227,-78.2506,-23.051,-27.3699,-113.866,400.953,32.6628,649.124
81,0,28.8591,42.128,-0.798461,-6.52416,27.9597,44.0426,2.55388,70.944,-77.8767,-23.2199,-26.7154,-114.371,401.172,31.684,649.597
82,0,30.2269,44.6382,-1.69012,-6.94679,29.8763,46.0463,2.50014,71.5647,-77.2345,-23.334,-25.8384,-114.941,401.595,30.9026,649.918
83,0,30.9423,45.9828,-2.11027,-7.25173,30.8517,47.8931,2.49025,71.9456,-76.8642,-23.4992,-25.0224,-115.404,401.765,30.3423,650.18
84,0,30.5854,45.7006,-0.319168,-7.28209,35.2448,49.9317,1.22558,72.4786,-76.6415,-23.6644,-24.0021,-116.582,401.882,29.8415,650.457
85,0,30.5829,45.0243,-2.59924,-7.55005,35.9693,50.6012,1.26718,72.8091,-76.6726,-23.8439,-23.4656,-116.906,402.389,28.8525,651.08
86,0,29.9042,45.5493,-0.0945974,-6.78537,34.2633,48.8869,0.679072,73.6188,-76.7357,-23.9982,-22.4767,-117.479,402.629,28.3325,651.176
87,0,31.027,46.95,-3.51064,-7.57229,35.3362,50.7318,0.797593,73.9574,-76.6031,-24.2335,-21.9551,-117.8,403.11,27.2639,651.627
88,0,30.8719,47.3303,-1.26523,-7.2683,34.6705,52.4155,1.10475,73.8136,-76.7159,-24.3993,-21.6271,-118.105,403.42,26.3156,651.953
