Joints
200
,,Mathew:HandOuter_Thumb,,,Mathew:LowerArm_HandOuter,,,Mathew:UpperArm_LowerArm,,,Mathew:World_UpperArm,,,,,,
Frame,Sub Frame,RX,RY,RZ,RX,RY,RZ,RX,RY,RZ,RX,RY,RZ,TX,TY,TZ
,,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,mm,mm,mm
1,0,-1.0914,17.9507,0.0195925,-52.6752,-47.9575,41.4581,12.0164,32.7633,-37.0797,-20.7075,-22.652,-123.465,446.493,32.1855,627.243
2,0,-0.695541,21.1834,5.34595,-51.3041,-48.4597,43.3572,11.7443,33.0392,-37.4609,-20.6,-22.8445,-123.483,446.331,32.212,627.4
3,0,-0.904291,18.8558,0.993941,-50.7289,-47.1226,42.1388,10.9771,33.4046,-37.6335,-20.7074,-23.1356,-123.72,446.115,32.1418,627.688
4,0,-0.601023,23.4514,6.93555,-50.828,-48.2493,45.1254,10.6308,33.5601,-37.2317,-20.7699,-23.3711,-123.744,445.801,32.0984,627.764
5,0,17.345,14.2976,-12.7608,-57.7919,-47.2801,36.9959,11.8741,33.7401,-36.6475,-20.5394,-23.5123,-123.33,445.566,32.1005,627.793
6,0,20.0106,16.9176,0.456348,-58.9158,-47.718,38.4165,12.8709,33.5396,-35.4535,-20.3729,-23.8342,-122.459,445.339,32.0449,627.892
7,0,19.8635,16.3086,-2.08475,-58.4681,-47.3311,38.3423,13.0259,33.8001,-35.2274,-20.3956,-24.0849,-122.058,444.989,32.0392,627.976
8,0,18.536,14.2581,-7.80864,-58.3343,-46.9013,37.3805,13.0344,33.7325,-33.9777,-20.3038,-24.4934,-122.104,444.78,32.1113,628.117
9,0,19.1777,13.6303,-7.37029,-59.0164,-45.3181,36.928,13.0911,33.9279,-33.6389,-20.3081,-24.8759,-121.672,444.515,32.092,628.278
10,0,21.3517,14.5317,-3.83839,-57.0685,-46.4153,38.4386,12.2699,34.6091,-35.495,-20.3737,-25.2944,-121.435,444.227,31.9893,628.635
11,0,23.0856,16.7595,6.27093,-58.583,-47.4854,38.35,13.1624,34.3003,-32.6454,-20.2844,-25.584,-121.073,443.951,32.0963,628.51
12,0,10.6394,14.8691,55.0447,-51.9838,-45.9183,40.8942,12.6839,34.2738,-31.0444,-20.3721,-26,-120.557,443.688,32.4362,628.434
13,0,22.8927,19.6988,17.1676,-37.0887,-56.2028,48.9002,24.4477,32.1716,-32.9126,-19.487,-25.9642,-117.035,443.54,31.9556,629.584
14,0,11.6294,21.4715,72.1318,-13.6933,-28.3713,55.0658,27.774,40.6213,-45.5678,-18.4432,-25.2341,-115.876,443.314,32.6269,629.199
15,0,6.93223,32.2815,43.942,-4.90063,27.7528,74.1172,11.116,52.1057,-85.7039,-18.807,-26.729,-116.522,443.214,32.3879,629.711
16,0,-0.513461,29.1763,29.941,4.30121,36.7825,72.0552,5.98952,54.4066,-95.7785,-18.9782,-27.7426,-116.128,442.885,32.3238,629.611
17,0,-1.89479,26.804,25.8929,5.69781,37.3861,69.66,5.17338,55.1019,-96.729,-19.0606,-28.2385,-115.639,442.564,32.5213,629.735
18,0,10.1032,-9.14184,-0.924372,9.88957,14.4156,35.5035,2.79897,56.2832,-100.733,-19.623,-28.4258,-114.859,442.059,32.4185,630.78
19,0,9.10523,-6.24047,3.87138,11.4185,12.2937,34.8881,3.32132,56.14,-99.6236,-19.4054,-29.1212,-114.582,441.798,32.5962,630.558
20,0,9.89832,-6.21252,0.928775,11.0259,10.3933,34.8304,4.46357,55.6781,-97.1667,-19.1586,-29.8007,-114.28,441.53,32.7138,630.255
21,0,11.9966,-6.78236,0.0620371,10.3988,9.31277,33.5456,5.12973,55.8571,-95.3973,-19.0332,-30.1949,-113.881,441.016,32.8692,630.244
22,0,12.5134,-7.16012,-0.941462,10.2575,10.6174,32.8352,4.37144,56.0305,-96.0167,-18.9398,-30.894,-113.776,440.648,32.8882,630.289
23,0,13.1786,-2.96028,6.01409,13.795,22.9597,32.0949,-0.626908,58.9602,-106.953,-19.2342,-31.2648,-113.324,440.244,32.8514,630.902
24,0,12.6213,-3.25309,3.17683,15.0501,25.0578,29.0855,-0.825785,59.8624,-107.29,-18.7489,-31.9726,-113.264,439.805,33.3708,630.128
25,0,13.4748,-3.65379,0.768358,14.8194,25.5967,27.0674,-1.27712,60.1738,-107.672,-18.4339,-32.6427,-112.977,439.507,33.7149,630.168
26,0,14.781,-4.02991,-0.707451,14.6877,25.5767,24.6272,-1.73779,60.6597,-107.947,-18.2008,-33.192,-112.691,439.146,34.0041,630.08
27,0,18.3601,-7.81308,-8.47947,13.5603,24.4122,16.0933,-3.63829,62.1083,-111.002,-18.5445,-33.9795,-111.735,438.627,34.0974,629.72
28,0,19.1868,-13.6617,0.658944,13.61,1.44605,10.2218,2.13832,58.1609,-98.9378,-18.4172,-35.2289,-111.061,438.029,34.4378,628.773
29,0,20.2969,-13.6806,0.894697,11.4075,3.188,12.6742,2.54917,57.8788,-97.1719,-18.3749,-35.8337,-110.875,437.528,34.5478,628.987
30,0,21.8445,-13.5336,5.1925,12.3566,-0.707392,9.38824,2.74084,57.3821,-96.7493,-18.048,-36.6814,-110.865,437.129,34.7708,628.924
31,0,23.5612,-13.8937,7.22432,11.5374,-1.04824,8.54222,2.90902,57.4831,-96.0983,-17.7684,-37.1891,-110.621,436.598,35.183,628.777
32,0,24.2335,-13.747,10.3399,11.5858,-2.83363,6.17391,3.0083,57.6066,-95.9379,-17.4245,-37.7599,-110.339,436.19,35.5257,628.636
33,0,26.8211,-13.8711,15.6541,10.9559,3.28712,3.82177,1.26089,59.9557,-100.822,-17.4164,-37.7999,-109.814,435.91,35.8489,629.299
34,0,26.6526,-13.7073,9.19972,10.5929,-3.99533,1.30846,1.92491,58.4725,-98.0905,-17.3592,-39.3654,-109.31,435.368,36.1595,628.354
35,0,27.768,-13.8196,11.3104,9.90701,-4.53556,1.04852,2.19513,58.2925,-97.4576,-17.1372,-39.9519,-109.135,434.673,36.5285,628.271
36,0,28.7625,-13.8418,13.8663,9.82573,-6.48975,-0.220568,2.54447,58.1164,-96.8311,-16.75,-40.513,-108.928,434.12,36.9957,627.936
37,0,28.5898,-13.605,14.8686,9.27195,-7.49517,-1.37852,2.81412,58.0251,-96.2413,-16.3727,-41.1009,-108.789,433.674,37.3228,627.984
38,0,29.7266,-13.6808,17.2869,9.13327,-9.52792,-3.03769,2.8521,57.894,-95.8916,-16.2297,-41.6907,-108.661,433.152,37.7141,627.892
39,0,29.9799,-13.6742,17.1623,8.77926,-10.9233,-4.01451,3.05681,57.7186,-95.5201,-16.0242,-42.3891,-108.404,432.595,38.0535,627.771
