Joints
200
,,Mathew:HandOuter_Thumb,,,Mathew:LowerArm_HandOuter,,,Mathew:UpperArm_LowerArm,,,Mathew:World_UpperArm,,,,,,
Frame,Sub Frame,RX,RY,RZ,RX,RY,RZ,RX,RY,RZ,RX,RY,RZ,TX,TY,TZ
,,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,mm,mm,mm
1,0,7.50147,-7.11959,0.0305814,-29.2552,-29.9096,41.3321,20.9128,39.448,-50.1107,-12.7233,-19.1059,-123.983,437.153,25.1605,615.268
2,0,8.68442,-7.70789,5.3927,-29.275,-30.3117,41.9482,20.7869,39.5511,-50.0367,-12.6616,-19.3272,-123.83,436.992,24.9514,615.384
3,0,9.25322,-7.52263,12.0849,-29.4192,-30.6083,42.1022,20.8532,39.6997,-50.0394,-13.0286,-20.1369,-123.067,436.934,23.3764,615.526
4,0,-3.8808,22.1328,-3.3066,-4.59361,-2.64334,56.3124,19.2804,49.9298,-69.9225,-12.0323,-19.8019,-122.805,437.061,23.5529,615.781
5,0,-6.42043,18.1429,2.99261,7.77465,19.1572,55.2748,8.39405,56.5257,-93.7301,-12.4468,-20.8086,-122.554,436.937,23.1161,615.929
6,0,-6.44644,16.1214,0.293693,7.92245,22.946,54.3945,7.46865,57.5349,-94.6686,-12.4688,-21.0052,-122.165,436.815,23.0172,615.979
7,0,-5.56093,14.5528,-5.1444,9.29958,20.5788,51.3361,6.92272,57.6772,-94.9969,-12.4323,-21.4578,-122.061,436.613,22.8974,616.069
8,0,-4.75127,12.4595,-7.20582,9.03145,21.6201,50.044,6.25385,58.0799,-95.0883,-12.4068,-21.6893,-121.962,436.44,22.8613,616.174
9,0,-1.50345,11.6701,-2.89825,18.3188,40.7924,43.1226,-1.57997,64.0875,-111.2,-12.3781,-21.982,-121.921,436.213,22.8968,616.042
10,0,-0.5716,10.5378,-6.60331,18.0999,40.82,42.0472,-1.66435,64.3116,-110.643,-12.2972,-22.3388,-121.686,436.011,22.8708,615.955
11,0,0.514433,10.1025,-7.75611,18.2428,39.2502,40.0727,-1.54998,64.48,-109.876,-12.1875,-22.7038,-121.497,435.827,22.9114,616.004
12,0,1.10454,9.8751,-13.9157,17.0864,39.417,39.6403,-1.63016,64.4537,-109.005,-12.1355,-23.0623,-121.236,435.545,22.9099,616.099
13,0,1.88933,10.3482,-14.5922,17.2969,37.6423,37.834,-1.74753,64.4936,-108.56,-12.0389,-23.4567,-121.031,435.284,22.9602,616.139
14,0,3.49034,10.1141,-14.271,17.0193,37.4701,36.5699,-1.93416,64.4648,-107.846,-11.9448,-23.9161,-121.099,435.041,22.9994,616.142
15,0,5.13804,6.37176,0.0697983,13.0458,14.4685,35.1304,4.41246,59.1277,-94.344,-11.662,-24.7422,-121.073,434.889,22.9773,616.102
16,0,6.32463,6.60973,-5.0717,12.2687,14.6718,34.1256,4.58577,59.3386,-93.2101,-11.5857,-25.0318,-120.884,434.537,23.0914,616.187
17,0,6.39823,5.04895,-8.97854,12.4682,15.0183,32.7366,4.38342,59.4742,-93.1338,-11.4045,-25.5609,-120.668,434.275,23.2527,615.938
18,0,7.93187,5.25391,-4.68808,13.3395,11.7388,29.2441,4.49689,59.6817,-92.5592,-11.2922,-26.0391,-120.355,433.974,23.3608,615.885
19,0,9.18679,5.2764,-9.86293,12.9244,11.6599,28.3934,4.66182,59.7988,-92.1395,-11.2246,-26.5267,-119.94,433.599,23.6547,615.972
