Frame,Sub Frame,Tasch:shoulder:X (mm),Tasch:shoulder:Y (mm),Tasch:shoulder:Z (mm),Tasch:shoulderElbowSupport:X (mm),Tasch:shoulderElbowSupport:Y (mm),Tasch:shoulderElbowSupport:Z (mm),Tasch:elbow:X (mm),Tasch:elbow:Y (mm),Tasch:elbow:Z (mm),Tasch:wrist:X (mm),Tasch:wrist:Y (mm),Tasch:wrist:Z (mm),Tasch:elbowWrist:X (mm),Tasch:elbowWrist:Y (mm),Tasch:elbowWrist:Z (mm),Tasch:outerKnuckle:X (mm),Tasch:outerKnuckle:Y (mm),Tasch:outerKnuckle:Z (mm),Tasch:thumbKnuckle:X (mm),Tasch:thumbKnuckle:Y (mm),Tasch:thumbKnuckle:Z (mm),Tasch:thumbTip:X (mm),Tasch:thumbTip:Y (mm),Tasch:thumbTip:Z (mm)
23,0,452.37677,-71.420296,509.629,438.99765,0.46755078,348.27243,436.08917,59.484707,206.04492,366.71497,218.10634,78.4066,393.8957,162.06673,123.869804,388.78677,249.7557,37.646378,284.3041,249.93108,56.4123,267.52716,285.68195,40.544445
24,0,454.96237,-70.60529,511.0075,444.01895,0.66024804,349.21927,443.18112,59.392952,206.85176,375.10834,218.05988,80.092735,401.62692,161.95178,125.17654,396.7758,249.34543,38.247925,292.53937,250.18593,58.529186,275.44815,285.45908,42.505356
25,0,457.45355,-69.765434,512.3861,448.96954,0.8890369,350.14206,450.15314,59.351685,207.67871,383.25488,218.03616,81.87795,409.1649,161.87802,126.54808,404.5963,248.98639,38.896465,300.48038,250.47368,60.72743,282.92194,285.25842,44.518215
26,0,459.84198,-68.89001,513.76105,453.81985,1.1519544,351.0439,456.991,59.364357,208.5098,391.1661,218.04094,83.73864,416.49695,161.84499,127.96633,412.1672,248.68352,39.58556,308.13852,250.79245,62.99792,290.0521,285.0683,46.571243
27,0,462.11707,-67.97499,515.1309,458.5578,1.4496084,351.9244,463.68326,59.426655,209.33662,398.83557,218.07663,85.66227,423.62094,161.8534,129.41995,419.47668,248.43936,40.30957,315.5301,251.14186,65.3308,296.89157,284.88348,48.655903
28,0,464.2709,-67.01852,516.4947,463.1756,1.7817435,352.78256,470.22427,59.53387,210.15233,406.2649,218.14526,87.6404,430.5398,161.90453,130.90004,426.52594,248.25507,41.063705,322.66852,251.52267,67.71641,303.46805,284.70248,50.76551
29,0,466.29742,-66.019455,517.85156,467.66742,2.1473753,353.61707,476.6117,59.682102,210.9511,413.45844,218.24872,89.666504,437.25787,161.99994,132.39888,433.3212,248.13126,41.844078,329.5652,251.93616,70.145546,309.8,284.52563,52.894436
30,0,468.08804,-65.09867,519.2677,472.10498,2.5126061,354.41537,482.94385,59.940033,211.68874,420.05792,218.41292,91.791,443.79288,162.1162,133.96175,439.42007,248.07169,42.701656,336.06192,252.4657,72.54057,316.03934,284.46527,55.028294
31,0,469.71463,-64.22467,520.7318,476.45782,2.876026,355.18143,489.14172,60.253616,212.39267,426.26245,218.63371,93.990845,450.07257,162.27113,135.55939,445.09933,248.0667,43.61828,342.23865,253.0954,74.926956,322.0422,284.4778,57.165848
32,0,471.21796,-63.366932,522.22925,480.68918,3.2375376,355.92206,495.1707,60.595318,213.07008,432.16992,218.90677,96.239395,456.1031,162.47504,137.16594,450.4898,248.11418,44.576946,348.1324,253.81055,77.31735,327.77682,284.53265,59.30528
33,0,472.6112,-62.50777,523.75104,484.78064,3.5987332,356.64227,501.01852,60.95418,213.72002,437.8205,219.22983,98.51942,461.89862,162.73233,138.76599,455.63666,248.21451,45.566475,353.7682,254.60088,79.71337,333.25824,284.61542,61.444725
34,0,473.8303,-61.54085,525.36694,488.62024,3.9911222,357.47226,506.5753,61.314137,214.40193,442.97943,219.58414,100.77625,467.2977,163.03015,140.34926,460.63583,248.40462,46.590042,359.14807,255.44534,82.07959,338.486,284.84647,63.572002
35,0,474.8814,-60.473633,527.06683,492.22476,4.423845,358.38477,511.84415,61.675453,215.10939,447.8923,219.97525,103.00267,472.44342,163.37402,141.91426,465.39798,248.67064,47.646935,364.2719,256.3424,84.41742,343.42752,285.19955,65.67905
36,0,475.77475,-59.29309,528.839,495.57422,4.8871837,359.3532,516.79846,62.04842,215.85115,452.6595,220.41635,105.197845,477.3702,163.75798,143.454,470.02472,248.98767,48.738102,369.25998,257.27255,86.71145,348.26074,285.6234,67.7387
37,0,476.45828,-58.0431,530.6744,498.7141,5.3977895,360.34583,521.4526,62.40699,216.63542,457.3079,220.88875,107.35507,482.15817,164.19446,144.96179,474.4568,249.37231,49.87891,374.26382,258.23624,88.90014,352.9593,286.10886,69.73726
38,0,476.94232,-56.72948,532.5504,501.64905,5.9417343,361.3648,525.9006,62.794025,217.44934,461.84235,221.38757,109.471275,486.78674,164.69008,146.4418,478.8368,249.82341,51.082188,379.26428,259.22855,90.94805,357.5862,286.6513,71.66453
39,0,477.24127,-55.354664,534.44836,504.38187,6.5288744,362.40726,530.1732,63.21205,218.28488,466.34497,221.92264,111.535934,491.30396,165.24225,147.88753,483.24814,250.33072,52.33954,384.24402,260.2543,92.87104,362.1784,287.21918,73.508606
40,0,477.37048,-53.925495,536.3564,506.93048,7.1592712,363.46396,534.2895,63.65652,219.13512,470.86325,222.49586,113.54564,495.75586,165.84795,149.2919,487.71796,250.88339,53.642612,389.2376,261.31174,94.67604,366.79382,287.79495,75.26492
41,0,477.346,-52.449017,538.2659,509.31384,7.8292603,364.52734,538.2741,64.124,219.99449,475.42712,223.107,115.500496,500.17197,166.50475,150.6522,492.27524,251.4718,54.984154,394.28433,262.3981,96.36515,371.48996,288.36893,76.93114
42,0,477.18478,-50.93241,540.17017,511.5511,8.534702,365.59195,542.15076,64.61214,220.85841,480.06082,223.75522,117.402504,504.57883,167.21054,151.96762,496.94617,252.08766,56.35826,399.42,263.51093,97.93929,376.31436,288.936,78.506485
43,0,476.9326,-49.3556,542.07104,513.5611,9.310535,366.67563,545.8502,65.166626,221.75847,484.64954,224.47366,119.289795,508.84406,167.98708,153.26688,501.57602,252.76889,57.798557,404.55423,264.64835,99.48023,381.11047,289.51544,80.05732
44,0,476.56894,-47.722366,543.9614,515.3993,10.157111,367.7745,549.38617,65.78733,222.69037,489.17773,225.26059,121.166916,512.9866,168.83913,154.56563,506.16376,253.51839,59.302776,409.6308,265.815,100.99749,385.8838,290.112,81.594284
45,0,476.09354,-46.040398,545.83636,517.09424,11.069933,368.88367,552.78723,66.47057,223.64673,493.66092,226.1132,123.036934,517.035,169.76567,155.86597,510.72476,254.33195,60.86426,414.66046,267.01163,102.48814,390.65097,290.7259,83.11877
46,0,475.51273,-44.315098,547.69275,518.66327,12.04468,369.99963,556.0751,67.213715,224.62228,498.1165,227.0298,124.90222,521.01196,170.76488,157.1673,515.2777,255.2053,62.477253,419.6651,268.23767,103.949486,395.4295,291.3565,84.6313
47,0,474.82956,-42.661083,549.4927,520.1057,13.040142,371.13544,559.25183,68.021614,225.6442,502.49402,228.0554,126.75115,524.9034,171.88416,158.46689,519.8695,256.23007,64.14953,424.63437,269.4702,105.35583,400.19415,291.99713,86.02838
48,0,474.07202,-41.051483,551.2436,521.4298,14.060157,372.28568,562.3293,68.89645,226.69455,506.90408,229.17877,128.59499,528.77014,173.10086,159.76595,524.4725,257.37183,65.86877,429.59216,270.71347,106.70464,405.01218,292.6502,87.33709
49,0,473.24557,-39.43371,552.9618,522.66034,15.1175585,373.44092,565.3325,69.82858,227.75856,511.38416,230.37383,130.43948,532.6433,174.38513,161.06865,529.1108,258.57504,67.62277,434.5911,271.9781,108.00475,409.9415,293.31717,88.60622
50,0,472.3505,-37.783096,554.6554,523.81915,16.218458,374.59592,568.2874,70.806946,228.83157,515.9349,231.62436,132.28468,536.53595,175.72237,162.37625,533.8212,259.81006,69.40463,439.6701,273.27048,109.26273,415.00742,293.99857,89.860504
51,0,471.3907,-36.08904,556.32837,524.9224,17.365234,375.74808,571.2142,71.82409,229.91092,520.5631,232.92091,134.12947,540.46094,177.10512,163.68768,538.6292,261.06097,71.20994,444.8542,274.59418,110.48201,420.22272,294.69525,91.11224
52,0,470.37234,-34.347416,557.9829,525.9822,18.558142,376.8963,574.12787,72.87551,230.99498,525.2783,234.25768,135.9722,544.43085,178.52924,165.00099,543.55304,262.3191,73.03552,450.16064,275.95078,111.66385,425.59824,295.40817,92.36717
53,0,469.30222,-32.557404,559.62054,527.0086,19.796347,378.0402,577.0408,73.95842,232.0826,530.09094,235.6309,137.8109,548.45715,179.9922,166.31406,548.6081,263.57913,74.87909,455.6043,277.34082,112.808365,431.1442,296.138,93.627464
54,0,468.18723,-30.719835,561.24225,528.01074,21.078623,379.17975,579.96356,75.070984,233.173,535.01196,237.03784,139.64351,552.5509,181.49226,167.62477,553.80774,264.83752,76.73857,461.19748,278.76428,113.91491,436.8714,296.8854,94.89334
55,0,467.03494,-28.836533,562.8489,528.9971,22.403347,380.31506,582.90594,76.21181,234.26564,540.053,238.47626,141.46814,556.7232,183.02798,168.93118,559.1651,266.09158,78.61217,466.95288,280.22076,114.98251,442.7913,297.651,96.163864
56,0,465.85245,-26.909706,564.4412,529.97577,23.76886,381.44644,585.87744,77.37974,235.36024,545.2255,239.94421,143.28284,560.9844,184.59804,170.23152,564.69244,267.3388,80.49813,472.88184,281.70953,116.00992,448.91608,298.43503,97.4374
57,0,464.64716,-24.941778,566.0201,530.955,25.17337,382.57425,588.88715,78.57369,236.45667,550.54083,241.43988,145.08572,565.3455,186.2011,171.52423,570.4021,268.5768,82.39478,478.9967,283.22992,116.99568,455.25803,299.23773,98.7119
58,0,463.42578,-22.958403,567.5787,531.93964,26.60725,383.70212,591.9413,79.794106,237.56142,555.9975,242.9711,146.87248,569.81006,187.84595,172.80759,576.31256,269.82312,84.30308,485.3029,284.7764,117.93341,461.821,300.05792,99.9634
59,0,462.19928,-20.969946,569.1152,532.9349,28.065464,384.83185,595.0461,81.04179,238.67548,561.61804,244.53993,148.6421,574.3938,189.53304,174.08061,582.4306,271.0808,86.22135,491.80957,286.34622,118.81835,468.62265,300.8954,101.18182
60,0,460.97675,-18.978607,570.6301,533.949,29.545334,385.96408,598.21045,82.31561,239.79884,567.4223,246.1444,150.3939,579.1115,191.25891,175.34338,588.7682,272.34543,88.14691,498.5319,287.9383,119.64769,475.6843,301.74985,102.36409
61,0,459.76602,-16.986776,572.1243,534.991,31.044275,387.09937,601.44464,83.61345,240.93233,573.4247,247.78207,152.12685,583.97626,193.02026,176.59624,595.34143,273.61224,90.07717,505.48685,289.55164,120.419044,483.02582,302.62067,103.506935
62,0,458.57507,-14.996936,573.59845,536.0702,32.559776,388.2385,604.75903,84.93277,242.07693,579.6398,249.4503,153.83978,589.0011,194.81369,177.83939,602.1664,274.87634,92.00957,512.69086,291.1853,121.13008,490.6658,303.50717,104.607
63,0,457.4121,-13.0116825,575.0531,537.1957,34.08924,389.38235,608.1645,86.27097,243.23381,586.0823,251.14626,155.53162,594.19904,196.63574,179.07309,609.2589,276.13275,93.941536,520.1605,292.83826,121.77843,498.6226,304.4086,105.660736
64,0,456.2852,-11.0334635,576.4891,538.37665,35.630123,390.5319,611.67114,87.625465,244.40417,592.7665,252.86697,157.20122,599.5829,198.48279,180.29773,616.6343,277.3764,95.87057,527.9115,294.50946,122.36158,506.9138,305.324,106.66459
65,0,455.2025,-9.064798,577.9072,539.62195,37.179905,391.68817,615.28906,88.9936,245.5894,599.7064,254.60936,158.84738,605.1655,200.35118,181.51358,624.3084,278.60202,97.79415,535.95966,296.19757,122.87712,515.55695,306.25226,107.61478
66,0,454.32495,-7.123622,579.2788,540.9513,38.7178,392.85922,618.9661,90.407906,246.87445,606.83325,256.40393,160.42136,610.8145,202.2221,182.7606,632.25854,279.83472,99.632996,544.3081,297.91602,123.36055,524.65424,307.2128,108.51066
67,0,453.7585,-5.2326303,580.5777,542.46936,40.234333,394.02515,622.6187,91.92716,248.30624,614.15094,258.2354,161.91148,616.4507,204.05028,184.09575,640.53015,281.09366,101.26427,552.949,299.65186,123.82311,534.06384,308.27716,109.39015
68,0,453.436,-3.444467,581.7802,544.1519,41.773746,395.2015,626.3766,93.510056,249.8206,621.63306,260.08575,163.32397,622.186,205.83035,185.4751,649.00494,282.36148,102.71406,561.7001,301.42572,124.2729,543.448,309.41455,110.25181
69,0,453.35202,-1.7641181,582.8751,545.97955,43.34266,396.39365,630.24066,95.13924,251.39694,629.2157,261.9539,164.6473,628.0034,207.56227,186.87213,657.57904,283.62207,104.00037,570.45703,303.2343,124.71051,552.7088,310.57816,111.08617
70,0,453.4702,-0.1648608,583.8884,547.9444,44.930508,397.58377,634.20026,96.798355,253.0297,636.8631,263.8278,165.88562,633.884,209.26926,188.29913,666.1495,284.87738,105.14208,579.1992,305.06506,125.11775,561.91833,311.77112,111.89785
