Frame,Sub Frame,Tasch:shoulder:X (mm),Tasch:shoulder:Y (mm),Tasch:shoulder:Z (mm),Tasch:shoulderElbowSupport:X (mm),Tasch:shoulderElbowSupport:Y (mm),Tasch:shoulderElbowSupport:Z (mm),Tasch:elbow:X (mm),Tasch:elbow:Y (mm),Tasch:elbow:Z (mm),Tasch:wrist:X (mm),Tasch:wrist:Y (mm),Tasch:wrist:Z (mm),Tasch:elbowWrist:X (mm),Tasch:elbowWrist:Y (mm),Tasch:elbowWrist:Z (mm),Tasch:outerKnuckle:X (mm),Tasch:outerKnuckle:Y (mm),Tasch:outerKnuckle:Z (mm),Tasch:thumbKnuckle:X (mm),Tasch:thumbKnuckle:Y (mm),Tasch:thumbKnuckle:Z (mm),Tasch:thumbTip:X (mm),Tasch:thumbTip:Y (mm),Tasch:thumbTip:Z (mm)
84.0,0.0,244.739,-56.7594,557.272,256.172,-2.8892,383.755,253.546,46.97475,231.485,136.465,219.007,93.5774,186.399,153.963,148.673,158.343,263.946,49.31244166666667,48.9996,245.589,90.13418823529412,21.966,297.923,81.4757
85.0,0.0,245.032,-57.315,557.389,257.274,-4.08349,384.072,255.882,45.8092,231.927,138.731,219.495,95.43724285714283,188.934,153.614,149.992,160.46,264.516,51.39715555555556,51.2644,246.385,92.12582352941178,23.9878,298.579,83.55615
86.0,0.0,245.229,-57.8479,557.504,258.129,-5.11577,383.762,257.947,44.9995,231.817,141.12,219.875,97.29708571428571,191.416,153.434,151.252,163.117,265.614,53.48186944444445,53.7841,247.126,94.11745882352942,26.3412,298.978,85.6366
87.0,0.0,245.523,-58.5806,557.398,259.604,-6.02801,383.629,260.309,43.9646,232.857,143.892,220.554,99.15692857142857,194.509,153.436,152.46266666666668,165.127,266.201,55.56658333333334,55.7934,247.809,96.10909411764706,28.5916,299.762,87.71705
88.0,0.0,245.837,-59.3994,557.391,261.258,-6.95726,383.86,262.783,42.9875,233.523,146.413,220.971,101.01677142857142,196.85,153.467,153.67333333333332,168.004,267.237,57.65129722222223,58.9326,248.746,98.10072941176472,31.4599,300.51,89.7975
89.0,0.0,246.14,-60.0093,557.581,262.637,-7.83603,384.03,265.221,41.902,234.396,149.744,221.802,102.87661428571428,199.893,153.348,154.884,170.787,268.273,59.73601111111111,61.4837,249.458,100.09236470588236,33.5812,301.228,91.1719
90.0,0.0,246.58,-60.5801,557.711,263.675,-9.12992,384.506,267.27,41.1529,233.464,152.691,222.294,104.73645714285712,202.956,153.164,156.417,173.623,268.994,61.820725,64.0436,250.155,102.084,36.0662,301.408,92.624
91.0,0.0,246.955,-61.3673,557.798,264.958,-10.1782,384.884,269.683,40.1146,234.145,155.925,223.06,106.5963,207.412,153.588,157.95,176.632,270.0285,63.905438888888895,67.0029,250.871,103.533,39.2135,302.167,94.0132
92.0,0.0,247.273,-62.1081,557.971,266.41,-10.9281,384.92,272.187,39.3902,234.887,158.912,223.427,108.45614285714284,211.332,154.133,159.483,179.839,271.063,65.99015277777778,70.4208,251.454,105.424,42.0483,302.803,94.987
93.0,0.0,247.825,-62.7069,557.931,268.055,-11.8071,385.484,274.664,38.7193,235.203,162.074,223.871,110.31598571428572,214.809,153.989,161.016,183.338,272.077,68.07486666666668,73.3069,252.424,107.315,45.0179,303.315,96.1921
94.0,0.0,248.041,-63.3223,558.058,269.107,-12.868,386.013,277.50725,37.9035,236.13083333333333,166.015,224.68,112.17582857142855,217.717,153.77,162.549,186.67,273.201,70.15958055555556,76.4536,253.217,108.069,48.0462,303.887,96.7363
95.0,0.0,248.438,-64.0372,558.543,270.51,-14.0784,386.14,280.3505,37.0877,237.05866666666668,169.657,225.308,114.03567142857142,221.122,153.396,163.459,190.328,274.325,72.24429444444445,80.1745,253.973,108.686,51.1132,304.465,97.1896
96.0,0.0,249.015,-64.7064,558.88,271.888,-14.9872,386.433,283.19375,36.2719,237.9865,173.391,225.847,115.89551428571428,224.622,153.117,164.733,194.052,275.089,74.32900833333333,83.5549,254.708,110.189,54.728,305.147,97.65
97.0,0.0,249.304,-65.3403,559.082,273.408,-15.4141,387.255,286.037,35.4561,238.91433333333333,177.381,226.661,117.75535714285714,227.539,152.936,166.007,198.292,276.142,76.41372222222222,87.1757,255.343,111.692,58.5329,305.85,97.3912
98.0,0.0,249.644,-65.834,559.217,275.154,-16.3419,387.439,288.88025,34.6403,239.84216666666663,181.533,227.359,119.6152,230.983,152.537,167.281,202.684,277.31600000000003,78.49843611111112,91.3705,256.242,112.164,62.3741,306.327,97.9538
99.0,0.0,250.202,-66.3676,559.532,276.35,-17.1241,387.692,291.7235,33.8245,240.77,185.698,227.905,121.47504285714284,234.299,152.318,168.109,206.948,278.49,80.58315,95.2162,256.884,113.099,66.2384,306.986,98.3314
100.0,0.0,250.604,-66.9042,559.708,277.694,-17.9796,388.717,294.56675,33.0087,241.6978333333333,189.982,228.296,123.33488571428572,237.928,151.982,169.388,211.115,279.506,82.66786388888889,99.5651,257.654,114.185,70.5034,307.628,98.0026
101.0,0.0,251.23,-67.5384,560.075,279.592,-18.7948,389.782,297.41,32.1929,242.62566666666663,194.494,229.031,125.19472857142856,241.441,151.799,170.9425,215.746,280.419,84.75257777777779,103.693,258.368,115.358,75.1068,308.293,98.4967
102.0,0.0,251.591,-68.0542,560.375,281.156,-19.345,390.518,300.25325,31.3771,243.5535,199.229,229.684,127.05457142857142,244.883,151.051,172.497,220.584,281.49,86.83729166666667,108.079,259.055,115.71,79.9385,309.113,98.1251
103.0,0.0,251.911,-68.5055,560.592,282.613,-20.3303,391.262,303.0965,30.5613,244.4813333333333,203.905,230.32,128.9144142857143,248.555,150.666,173.32350000000002,225.241,282.352,88.92200555555556,112.747,259.859,116.035,85.0899,309.904,97.1482
104.0,0.0,252.469,-69.0115,560.912,284.273,-20.7732,391.596,305.93975,29.7455,245.40916666666664,208.78,230.909,130.77425714285715,252.48,150.432,174.15,230.335,283.429,91.00671944444446,117.816,260.81,116.274,89.8889,310.55,96.7345
105.0,0.0,252.793,-69.6321,561.413,286.033,-21.4772,392.82,308.783,28.9297,246.337,213.727,231.524,132.6341,258.159,151.2575,177.603,235.429,284.353,93.09143333333334,123.319,261.855,116.76,95.5053,311.308,96.3465
106.0,0.0,253.186,-70.044,561.909,287.54,-22.723,394.044,312.723,28.5255,247.8995,219.364,232.1,134.49394285714286,263.985,152.083,181.056,240.905,285.299,95.17614722222224,128.23,262.728,117.366,101.172,312.043,96.2466
107.0,0.0,253.768,-70.5918,562.676,289.254,-23.2333,394.502,315.316,27.34845,249.462,224.567,232.524,136.35378571428572,268.139,152.043,184.509,246.24,286.156,97.26086111111113,133.5,263.574,117.886,106.701,312.905,95.9506
108.0,0.0,254.318,-70.9606,562.774,291.23,-23.7655,395.566,318.305,26.1714,250.453,230.095,232.978,138.21362857142856,272.566,151.621,185.9873333333333,251.852,287.063,99.345575,139.005,264.447,118.37,112.703,313.69,95.324
109.0,0.0,254.989,-71.5378,563.089,292.876,-24.5514,396.22,321.911,25.4152,251.697,234.993,233.8995,140.07347142857142,277.095,151.467,187.46566666666664,257.45,287.882,101.4302888888889,144.623,265.322,118.954,119.01,314.517,95.0514
110.0,0.0,255.541,-72.046,563.349,294.537,-25.4769,397.139,324.992,24.788,252.941,240.457,234.821,141.9333142857143,281.678,151.475,188.944,263.059,288.573,103.51500277777778,150.502,266.271,119.246,125.71,315.182,94.7883
111.0,0.0,256.065,-72.4808,563.974,296.46,-26.304,398.004,328.265,23.799,254.2845,245.832,235.195,143.79315714285713,286.574,151.065,190.7228,269.089,289.35,105.59971666666668,156.502,267.219,119.52,132.085,316.046,95.0824
112.0,0.0,256.596,-72.7164,564.155,297.831,-26.911,398.955,331.62,23.1933,255.628,251.913,234.799,145.653,291.157,150.983,192.5016,275.156,289.931,107.68443055555556,162.483,268.132,119.939,138.39,316.779,95.2766
