Frame,Sub Frame,Tasch:shoulder:X (mm),Tasch:shoulder:Y (mm),Tasch:shoulder:Z (mm),Tasch:shoulderElbowSupport:X (mm),Tasch:shoulderElbowSupport:Y (mm),Tasch:shoulderElbowSupport:Z (mm),Tasch:elbow:X (mm),Tasch:elbow:Y (mm),Tasch:elbow:Z (mm),Tasch:wrist:X (mm),Tasch:wrist:Y (mm),Tasch:wrist:Z (mm),Tasch:elbowWrist:X (mm),Tasch:elbowWrist:Y (mm),Tasch:elbowWrist:Z (mm),Tasch:outerKnuckle:X (mm),Tasch:outerKnuckle:Y (mm),Tasch:outerKnuckle:Z (mm),Tasch:thumbKnuckle:X (mm),Tasch:thumbKnuckle:Y (mm),Tasch:thumbKnuckle:Z (mm),Tasch:thumbTip:X (mm),Tasch:thumbTip:Y (mm),Tasch:thumbTip:Z (mm)
8134.0,0.0,304.757,-38.9676,566.0,296.244,7.31772,388.186,281.004,52.113600000000005,234.416,171.052,210.863,92.5421,216.243,152.809,145.66,192.702,253.732,45.6598,80.6794,235.866,74.8349,50.0427,279.979,50.5556
8135.0,0.0,304.806,-39.7314,566.277,297.201,6.03764,388.18,282.988,50.9399,234.139,173.633,210.796,93.8519,218.519,152.086,146.741,195.732,254.304,46.445,83.3582,235.965,75.0927,53.2662,280.423,49.6189
8136.0,0.0,304.852,-40.4718,566.489,298.217,4.72801,388.274,284.626,49.9114,233.558,176.82,210.935,95.1617,221.266,151.877,146.893,198.057,254.275,47.551,85.9994,236.321,75.9421,56.3492,280.587,49.9935
8137.0,0.0,305.041,-41.2983,566.73,299.385,3.4471,388.078,286.743,48.77245,234.054,179.607,210.886,96.3659,224.04,151.225,147.965,201.188,254.989,48.657,88.9739,236.55,76.0552,59.3129,280.945,49.8601
8138.0,0.0,305.177,-42.127,566.822,300.367,2.12444,387.821,289.174,47.6335,234.993,182.916,211.015,97.0886,227.027,150.652,148.624,204.046,255.233,49.9647,92.2173,236.982,76.3947,62.6992,281.429,49.9615
8139.0,0.0,305.212,-42.807,566.956,301.2,1.19237,388.634,291.217,46.5101,234.968,185.734,210.922,97.5818,230.142,150.311,149.283,207.636,255.87,51.2724,95.2983,237.309,76.8768,66.1229,281.896,50.2118
8140.0,0.0,305.154,-43.5865,567.231,302.842,0.37512,389.37,292.997,45.638,234.693,189.173,211.186,98.5781,233.005,149.864,150.513,210.482,256.032,52.5801,98.8591,237.765,76.8636,70.3673,282.8,49.7082
8141.0,0.0,305.335,-44.3801,567.438,304.512,-0.22192,389.555,295.266,44.7667,235.125,192.784,211.419,99.2818,235.69,149.307,149.98,213.965,256.787,53.7807,102.21,237.954,77.8502,74.4053,283.702,49.2198
8142.0,0.0,305.563,-45.0405,567.736,305.601,-0.872593,389.582,297.433,43.8421,235.6,196.28,211.463,99.7862,239.37,148.873,151.017,217.919,257.491,54.9771,105.748,238.601,78.1094,78.3753,284.577,49.6143
8143.0,0.0,305.684,-45.67,567.951,306.388,-2.04026,389.639,299.608,43.0979,235.52,199.873,211.635,100.791,242.092,148.747,151.297,221.558,257.722,55.9147,109.549,239.223,78.1823,82.2894,285.237,49.8966
