Frame,Sub Frame,Tasch:shoulder:X (mm),Tasch:shoulder:Y (mm),Tasch:shoulder:Z (mm),Tasch:shoulderElbowSupport:X (mm),Tasch:shoulderElbowSupport:Y (mm),Tasch:shoulderElbowSupport:Z (mm),Tasch:elbow:X (mm),Tasch:elbow:Y (mm),Tasch:elbow:Z (mm),Tasch:wrist:X (mm),Tasch:wrist:Y (mm),Tasch:wrist:Z (mm),Tasch:elbowWrist:X (mm),Tasch:elbowWrist:Y (mm),Tasch:elbowWrist:Z (mm),Tasch:outerKnuckle:X (mm),Tasch:outerKnuckle:Y (mm),Tasch:outerKnuckle:Z (mm),Tasch:thumbKnuckle:X (mm),Tasch:thumbKnuckle:Y (mm),Tasch:thumbKnuckle:Z (mm),Tasch:thumbTip:X (mm),Tasch:thumbTip:Y (mm),Tasch:thumbTip:Z (mm)
9272.0,0.0,317.452,-31.9682,564.065,304.408,18.939,387.681,287.258,64.269,234.609,173.837,218.693,89.09585,220.817,162.145,145.683,193.673,266.0168333333333,47.8943,82.9198,237.08,61.3067,55.9649,282.404,31.8585
9273.0,0.0,317.524,-32.8942,564.106,305.733,18.3336,388.289,288.96,63.9736,234.689,176.916,219.29,90.2522,223.653,162.336,146.631,195.856,267.3616666666667,49.1214,85.321,237.534,61.8959,58.6566,283.158,31.249
9274.0,0.0,317.697,-33.6951,564.323,306.981,17.5418,388.577,290.899,63.7343,235.126,179.289,219.749,90.9047,225.644,162.355,146.824,198.459,268.7065,50.3485,88.5668,238.368,61.8571,61.8196,283.925,30.6076
9275.0,0.0,317.875,-34.4523,564.392,307.979,16.9456,388.656,292.956,63.3753,235.923,182.322,220.474,91.93185,228.552,162.373,147.82,200.868,270.05133333333333,51.5756,91.095,238.985,62.4947,65.5329,285.195,30.1497
9276.0,0.0,318.064,-35.3258,564.548,308.83,16.1313,388.911,294.891,63.0787,235.974,185.161,221.143,92.959,231.077,162.461,148.4645,203.707,271.39616666666666,52.223,94.6947,240.038,62.4001,69.0017,286.373,30.8253
9277.0,0.0,318.125,-36.2222,564.496,309.77,15.212,389.209,296.917,62.8095,236.128,188.305,221.791,94.127,234.178,162.639,149.109,206.722,272.741,53.3173,97.5177,240.884,63.261,72.8403,287.633,30.5232
9278.0,0.0,318.162,-36.96,564.808,310.83,14.4708,389.583,299.35,62.4934,236.951,191.504,222.449,95.0457,236.692,162.742,150.253,209.886,273.771,54.4116,100.775,241.57,63.4985,76.698,288.898,30.61
9279.0,0.0,318.291,-37.7371,565.035,312.007,13.7892,389.453,301.108,62.0737,236.397,194.981,223.286,95.9297,239.631,163.04,150.475,213.591,274.773,55.72455,104.529,242.623,63.8668,80.6118,290.329,31.5738
9280.0,0.0,318.496,-38.6453,565.272,313.185,12.9805,389.254,303.263,61.9354,236.662,198.294,224.123,96.749,242.879,163.376,151.363,217.018,275.581,57.0375,108.007,243.603,64.7179,84.5224,291.667,31.8013
9281.0,0.0,318.607,-39.4587,565.479,314.445,12.0938,389.538,305.74,61.4723,237.812,202.048,224.9255,97.4476,245.646,163.694,152.054,220.774,276.434,58.598600000000005,111.633,244.465,65.4026,88.8073,292.818,31.4826
