Frame,Sub Frame,Tasch:shoulder:X (mm),Tasch:shoulder:Y (mm),Tasch:shoulder:Z (mm),Tasch:shoulderElbowSupport:X (mm),Tasch:shoulderElbowSupport:Y (mm),Tasch:shoulderElbowSupport:Z (mm),Tasch:elbow:X (mm),Tasch:elbow:Y (mm),Tasch:elbow:Z (mm),Tasch:wrist:X (mm),Tasch:wrist:Y (mm),Tasch:wrist:Z (mm),Tasch:elbowWrist:X (mm),Tasch:elbowWrist:Y (mm),Tasch:elbowWrist:Z (mm),Tasch:outerKnuckle:X (mm),Tasch:outerKnuckle:Y (mm),Tasch:outerKnuckle:Z (mm),Tasch:thumbKnuckle:X (mm),Tasch:thumbKnuckle:Y (mm),Tasch:thumbKnuckle:Z (mm),Tasch:thumbTip:X (mm),Tasch:thumbTip:Y (mm),Tasch:thumbTip:Z (mm)
2623.0,0.0,294.985,-70.7022,551.062,289.609,-13.0607,378.402,280.212,40.4871,227.595,174.508,205.058,78.10159999999999,217.554,142.935,139.266,197.812,248.942,33.40865,90.7591,233.236,66.1565,72.2486,287.75,52.6954
2624.0,0.0,294.976,-71.2956,551.394,290.417,-13.5799,379.173,281.724,40.0807,227.987,176.733,205.373,79.3136,219.751,142.79,140.125,200.296,250.073,34.8996,92.703,232.658,66.9831,74.0894,287.17,54.40225
2625.0,0.0,294.903,-71.9213,551.782,291.314,-14.1484,379.463,283.537,39.5392,229.07,178.876,205.338,80.0885,221.704,142.652,140.8885,202.133,251.095,36.295433333333335,94.6844,232.243,68.1903,75.5715,286.804,56.1091
2626.0,0.0,294.825,-72.3575,552.193,292.231,-14.8435,379.92,285.346,39.2281,229.973,181.475,205.744,81.0297,223.963,142.671,141.652,204.428,252.141,37.69126666666666,96.9991,231.971,68.1927,76.6729,286.675,57.2554
2627.0,0.0,294.722,-72.7356,552.625,293.03,-15.5172,380.614,286.883,38.768,229.726,183.807,205.614,82.30590000000001,226.28,142.291,143.018,206.663,252.657,39.0871,98.9493,231.639,69.3815,78.5936,286.438,57.9314
2628.0,0.0,294.692,-73.2628,553.226,293.475,-16.0047,380.959,288.557,38.1107,230.32,186.892,206.054,83.5821,228.696,142.441,143.962,209.618,253.7015,40.6427,101.572,231.337,70.5703,80.8202,286.21,59.4261
2629.0,0.0,294.656,-73.7018,553.958,294.11,-16.6035,380.909,290.792,37.7913,231.424,189.42,206.213,85.08226666666667,231.242,142.436,144.486,211.989,254.746,42.1983,104.314,231.333,71.7245,83.0953,286.261,60.2598
2630.0,0.0,294.498,-74.2539,554.513,294.892,-17.2546,381.092,292.718,37.0145,231.571,192.578,206.542,86.58243333333333,233.796,142.523,145.604,215.148,255.944,43.7539,107.096,231.256,72.5642,85.2985,286.223,61.6891
2631.0,0.0,294.451,-74.7708,554.872,295.893,-17.6723,381.5,294.669,36.5967,231.972,195.377,206.83,88.0826,236.457,142.365,146.352,218.007,257.142,45.294250000000005,109.958,231.26,73.938,88.3331,286.412,63.1184
2632.0,0.0,294.325,-75.2564,555.292,296.983,-17.8763,382.429,296.574,36.1154,232.49,198.564,207.347,89.0072,239.122,142.245,147.658,220.973,258.265,46.8346,112.623,231.508,74.7193,90.4567,286.481,64.2111
