Frame,Sub Frame,Tasch:shoulder:X (mm),Tasch:shoulder:Y (mm),Tasch:shoulder:Z (mm),Tasch:shoulderElbowSupport:X (mm),Tasch:shoulderElbowSupport:Y (mm),Tasch:shoulderElbowSupport:Z (mm),Tasch:elbow:X (mm),Tasch:elbow:Y (mm),Tasch:elbow:Z (mm),Tasch:wrist:X (mm),Tasch:wrist:Y (mm),Tasch:wrist:Z (mm),Tasch:elbowWrist:X (mm),Tasch:elbowWrist:Y (mm),Tasch:elbowWrist:Z (mm),Tasch:outerKnuckle:X (mm),Tasch:outerKnuckle:Y (mm),Tasch:outerKnuckle:Z (mm),Tasch:thumbKnuckle:X (mm),Tasch:thumbKnuckle:Y (mm),Tasch:thumbKnuckle:Z (mm),Tasch:thumbTip:X (mm),Tasch:thumbTip:Y (mm),Tasch:thumbTip:Z (mm)
16476.0,0.0,383.309,-48.6215,524.98,355.832,7.42487,352.499,324.482,60.5418,202.726,198.923,216.661,75.5014,251.034,162.042,121.976,217.847,255.172,25.5497,108.431,244.854,63.3447,80.9757,289.4,44.0343
16477.0,0.0,383.234,-49.2768,525.282,356.398,6.85164,353.333,325.551,60.0788,202.99,201.179,217.062,75.7218,252.922,162.168,123.072,219.371,255.64,26.7017,110.113,245.155,63.5205,82.7171,289.67,44.1217
16478.0,0.0,383.1,-49.954,525.659,356.965,6.37462,354.152,326.781,59.6461,203.721,202.922,217.478,76.2888,254.276,162.305,122.797,221.507,256.5815,27.2585,112.187,245.639,63.9171,84.796,290.144,44.5881
16479.0,0.0,382.838,-50.7863,526.096,357.61,5.74809,354.627,328.224,59.2807,204.606,204.931,217.904,77.2207,255.904,162.11,122.902,223.522,257.523,28.4517,113.94,246.286,64.9441,86.1618,290.327,44.7285
16480.0,0.0,382.509,-51.6217,526.822,358.38,5.04497,355.112,329.661,58.995,205.349,207.123,218.262,77.4874,257.922,162.061,124.18333333333334,225.234,257.957,29.359,116.014,246.75,65.1084,88.3892,290.905,44.9171
16481.0,0.0,382.163,-52.3801,527.294,358.93,4.59142,355.079,331.078,58.6198,205.371,209.154,218.512,78.74,260.662,162.205,125.46466666666666,227.856,259.092,30.149,118.1,247.475,65.6302,90.5988,291.438,45.7233
16482.0,0.0,381.875,-53.1611,527.734,359.435,3.90535,355.603,332.372,58.2303,205.407,211.751,219.074,79.0202,262.795,162.386,126.746,229.451,259.726,31.0499,120.44,248.071,66.5634,92.9078,292.039,46.3184
16483.0,0.0,381.625,-54.0204,528.172,360.121,3.08842,356.082,334.024,57.7009,205.957,213.839,219.44,79.9784,265.098,162.445,127.573,231.972,260.82550000000003,31.9203,122.965,248.759,67.0219,95.2573,292.634,46.9379
16484.0,0.0,381.385,-54.7351,528.625,360.721,2.25267,356.318,336.024,57.2341,207.179,216.796,220.165,80.9366,267.125,162.517,128.167,233.915,261.925,32.3916,125.06,249.398,67.8878,97.6887,293.426,47.1915
16485.0,0.0,381.079,-55.4444,529.189,361.417,1.64541,356.552,337.751,56.8322,207.455,219.189,220.678,82.267525,269.247,162.586,127.939,236.697,263.048,33.44625,127.731,250.002,68.7537,100.073,294.013,48.3824
16486.0,0.0,380.911,-56.0294,529.715,362.381,0.931717,356.871,339.151,56.2969,207.132,222.003,221.369,83.59845,271.203,162.643,128.625,239.106,264.073,34.5009,130.128,250.786,69.98455,102.986,295.022,49.7377
16487.0,0.0,380.649,-56.8295,530.437,363.247,0.122143,357.561,341.054,55.6745,207.834,224.727,221.909,84.929375,273.974,162.767,128.882,241.35,265.176,35.0134,133.599,251.715,71.2154,105.562,295.623,51.3274
16488.0,0.0,380.288,-57.5684,530.929,364.056,-0.525883,358.6165,343.089,55.0901,208.95,227.824,222.617,86.2603,276.727,163.035,130.4935,244.155,266.3546666666667,35.558,136.221,252.351,72.75226666666667,108.741,296.721,52.7593
16489.0,0.0,379.93,-58.2283,531.273,364.983,-1.34049,359.672,344.906,54.6656,209.357,230.742,223.271,86.4831,280.172,163.364,132.10500000000002,247.198,267.5333333333333,36.8527,139.586,253.452,74.28913333333333,111.818,297.476,54.22015
16490.0,0.0,379.629,-59.0717,531.675,366.148,-2.18003,360.075,346.84,54.2281,209.796,234.214,223.988,87.91413333333333,282.948,163.641,133.7165,250.347,268.712,38.1474,142.926,254.416,75.826,114.904,298.349,55.681
16491.0,0.0,379.382,-59.9846,532.291,367.051,-2.68321,360.369,348.854,53.6988,210.681,237.626,224.836,89.34516666666667,286.301,163.732,135.328,253.571,269.731,39.0611,145.981,255.362,76.8653,118.415,299.181,56.7348
16492.0,0.0,379.144,-60.6925,532.702,367.88,-3.53788,360.747,351.199,53.2569,211.655,241.028,225.684,90.7762,288.57,163.886,135.38,257.018,270.867,41.18565588235295,149.709,256.435,78.2108,121.648,300.377,58.2033
16493.0,0.0,378.875,-61.2807,533.168,368.887,-4.38337,361.009,353.088,52.8881,211.648,244.752,226.461,92.42096666666669,291.355,163.896,135.855,260.759,272.1236666666667,43.31021176470588,153.604,257.63,79.5563,125.402,301.584,59.27
16494.0,0.0,378.715,-62.1734,533.978,370.193,-4.74347,361.363,355.528,52.2468,212.923,248.483,227.2255,94.06573333333333,294.534,164.213,137.3145,264.854,273.38033333333334,45.43476764705883,157.145,258.525,80.6381,129.389,302.554,60.8991
16495.0,0.0,378.576,-62.917,534.569,371.329,-5.37305,361.964,358.002,51.8193,214.198,252.161,227.99,95.7105,297.713,164.53,138.774,268.547,274.637,47.55932352941177,160.969,259.525,81.6462,133.044,303.612,62.5282
16496.0,0.0,378.359,-63.6133,534.96,372.579,-6.44257,362.841,360.2,51.3707,214.43,256.112,228.85,96.4761,304.061,165.31900000000002,140.33433333333335,272.561,275.9006,49.68387941176471,165.071,260.721,82.6543,136.919,304.512,63.0146
16497.0,0.0,378.283,-64.3326,535.451,373.597,-7.19755,363.316,362.499,50.7946,214.841,260.233,229.656,98.12128,308.736,166.108,141.89466666666667,277.165,277.1642,51.80843529411765,169.883,261.862,84.0874,141.388,305.488,64.48429999999999
16498.0,0.0,378.118,-65.1546,536.133,374.746,-8.07144,363.454,365.258,50.4599,215.885,264.394,230.527,99.76646,311.567,166.052,143.455,281.62,278.4278,53.932991176470594,173.735,262.801,85.5205,145.616,306.743,65.954
16499.0,0.0,377.954,-65.909,536.772,375.963,-8.93511,364.479,367.655,49.6477,215.96,268.601,231.336,101.41164,313.925,165.91,143.423,286.535,279.6914,56.05754705882353,178.013,263.903,86.156,150.31,307.929,66.2319
16500.0,0.0,377.663,-66.6381,537.475,377.075,-9.50535,364.91,370.5315,49.14805,217.045875,273.425,232.226,103.05682,317.692,165.751,144.431,291.211,280.95500000000004,58.18210294117648,182.668,265.221,87.061,155.126,309.045,67.2231
16501.0,0.0,377.482,-67.3503,537.98,378.334,-10.5349,364.938,373.408,48.6484,218.13175,278.016,233.116,104.702,321.46,165.724,145.243,296.002,282.21860000000004,60.30665882352942,187.221,266.417,88.1321,160.07,310.544,68.5116
16502.0,0.0,377.453,-68.1542,538.461,379.536,-11.4709,365.484,376.2845,48.14875,219.217625,282.506,233.848,105.848,325.172,165.734,146.441,301.067,283.48220000000003,62.431214705882354,192.024,267.603,88.9269,165.25,311.822,70.0512
