Frame,Sub Frame,Tasch:shoulder:X (mm),Tasch:shoulder:Y (mm),Tasch:shoulder:Z (mm),Tasch:shoulderElbowSupport:X (mm),Tasch:shoulderElbowSupport:Y (mm),Tasch:shoulderElbowSupport:Z (mm),Tasch:elbow:X (mm),Tasch:elbow:Y (mm),Tasch:elbow:Z (mm),Tasch:wrist:X (mm),Tasch:wrist:Y (mm),Tasch:wrist:Z (mm),Tasch:elbowWrist:X (mm),Tasch:elbowWrist:Y (mm),Tasch:elbowWrist:Z (mm),Tasch:outerKnuckle:X (mm),Tasch:outerKnuckle:Y (mm),Tasch:outerKnuckle:Z (mm),Tasch:thumbKnuckle:X (mm),Tasch:thumbKnuckle:Y (mm),Tasch:thumbKnuckle:Z (mm),Tasch:thumbTip:X (mm),Tasch:thumbTip:Y (mm),Tasch:thumbTip:Z (mm)
6010.0,0.0,339.433,-52.7532,568.593,361.197,-15.5459,391.351,379.961,27.2471,240.958,335.933,214.347,103.444,359.916,144.374,154.643,371.048,258.621,71.7556,259.356,265.037,78.04295,245.3035,317.365,58.9186
6011.0,0.0,339.5,-53.1646,569.202,362.082,-16.2166,391.909,382.654,26.9454,242.173,342.202,214.447,104.76,364.384,144.248,155.77,377.585,257.899,72.4152,265.894,265.714,76.5438,253.29325,318.458,57.5985
6012.0,0.0,339.481,-53.7492,569.553,363.025,-16.5885,392.28,384.882,26.7809,243.167,347.74,214.507,106.076,368.655,143.807,155.512,384.081,257.197,73.3093,272.236,266.292,76.095,261.283,319.269,56.23135
6013.0,0.0,339.402,-54.2173,569.996,364.203,-16.7082,392.908,387.4855,26.39485,244.683,352.166,213.971,106.707,373.309,143.585,156.203,390.862,256.573,74.37865,279.377,267.279,75.6938,267.872,319.901,54.8642
6014.0,0.0,339.387,-54.651,570.267,365.18,-16.9762,393.79,390.089,26.0088,246.199,359.13,214.145,106.225,377.952,143.49,157.284,397.394,255.754,75.448,286.527,268.155,75.5356,274.824,320.351,54.9719
6015.0,0.0,339.331,-55.1344,570.471,366.016,-17.3734,394.923,392.322,26.181,246.149,364.635,214.184,106.672,381.151,142.909,157.729,404.123,255.095,76.237,293.223,268.807,74.7517,282.886,321.487,53.267
6016.0,0.0,339.251,-55.5734,570.731,367.028,-17.4289,396.056,394.464,25.6902,247.5643333333333,371.122,214.642,107.4755,385.028,142.408,156.491,410.572,254.336,77.1313,300.104,269.452,73.3097,290.948,322.368,52.07795
6017.0,0.0,339.309,-55.9815,570.89,368.048,-17.585,396.639,396.903,25.6162,248.97966666666667,376.906,214.231,108.279,389.486,142.365,157.345,417.086,253.657,77.9594,306.547,270.054,71.9467,299.01,322.841,50.8889
6018.0,0.0,339.241,-56.4383,571.186,368.995,-17.4826,397.366,399.096,25.5279,250.395,381.878,214.046,108.527,394.658,142.724,158.7465,423.68,252.657,78.9216,313.207,270.652,72.0116,306.83,323.495,50.1719
6019.0,0.0,339.151,-56.9756,571.409,369.715,-17.4075,398.4,400.986,25.7657,251.515,387.348,213.78,108.683,399.08,142.93,160.148,430.192,252.065,79.9144,320.507,271.638,71.5415,314.65,323.872,50.1549
