Frame,X,Y,Z
0,0.6950297355651855,0.544029951095581,0.3450000286102295
1,0.6941552758216858,0.5428393483161926,0.3460000157356262
2,0.6946278214454651,0.5435985326766968,0.3460000157356262
3,0.6961548328399658,0.5383144021034241,0.3460000157356262
4,0.6952248215675354,0.5417478084564209,0.3450000286102295
5,0.6940507292747498,0.5408251285552979,0.3450000286102295
6,0.6965879201889038,0.5390380620956421,0.3450000286102295
7,0.69666588306427,0.5397804975509644,0.3450000286102295
8,0.6937463283538818,0.5415500402450562,0.3440000116825104
9,0.6933358311653137,0.5400791764259338,0.3450000286102295
10,0.6977736949920654,0.5381002426147461,0.3440000116825104
11,0.6965298056602478,0.5416186451911926,0.3460000157356262
12,0.6917067766189575,0.5438083410263062,0.3460000157356262
13,0.6935421824455261,0.5414845943450928,0.34700000286102295
14,0.694375216960907,0.5443474650382996,0.34700000286102295
15,0.6921527981758118,0.5458212494850159,0.34800001978874207
16,0.6918347477912903,0.5463628768920898,0.34800001978874207
17,0.6901438236236572,0.547730028629303,0.3490000069141388
18,0.6891834139823914,0.5534057021141052,0.3500000238418579
19,0.6825258135795593,0.5575613975524902,0.3530000150203705
20,0.6783732175827026,0.5621333718299866,0.35600000619888306
21,0.6754394173622131,0.5608686208724976,0.36100003123283386
22,0.6670050621032715,0.5614477396011353,0.367000013589859
23,0.6631699204444885,0.5623161196708679,0.3720000088214874
24,0.6601555943489075,0.5583439469337463,0.37800002098083496
25,0.6515285968780518,0.5612406134605408,0.38600000739097595
26,0.6483141779899597,0.5574600100517273,0.39400002360343933
27,0.6441589593887329,0.5558831691741943,0.4050000309944153
28,0.6387304067611694,0.5618622303009033,0.4100000262260437
29,0.6398308277130127,0.5621495246887207,0.4180000126361847
30,0.6313504576683044,0.5708768367767334,0.0
31,0.6323792338371277,0.5773780345916748,0.4240000247955322
32,0.6267967820167542,0.5879268050193787,0.43300002813339233
33,0.6220406889915466,0.6038441061973572,0.4360000193119049
34,0.6260792016983032,0.609635591506958,0.4410000145435333
35,0.6256265640258789,0.6180065274238586,0.45000001788139343
36,0.6249654293060303,0.625629186630249,0.45500001311302185
37,0.6229999661445618,0.6292600035667419,0.46300002932548523
38,0.6251756548881531,0.6333743929862976,0.4700000286102295
39,0.6227125525474548,0.6351717114448547,0.4820000231266022
