Frame,Sub Frame,Tasch:shoulder:X (mm),Tasch:shoulder:Y (mm),Tasch:shoulder:Z (mm),Tasch:shoulderElbowSupport:X (mm),Tasch:shoulderElbowSupport:Y (mm),Tasch:shoulderElbowSupport:Z (mm),Tasch:elbow:X (mm),Tasch:elbow:Y (mm),Tasch:elbow:Z (mm),Tasch:wrist:X (mm),Tasch:wrist:Y (mm),Tasch:wrist:Z (mm),Tasch:elbowWrist:X (mm),Tasch:elbowWrist:Y (mm),Tasch:elbowWrist:Z (mm),Tasch:outerKnuckle:X (mm),Tasch:outerKnuckle:Y (mm),Tasch:outerKnuckle:Z (mm),Tasch:thumbKnuckle:X (mm),Tasch:thumbKnuckle:Y (mm),Tasch:thumbKnuckle:Z (mm),Tasch:thumbTip:X (mm),Tasch:thumbTip:Y (mm),Tasch:thumbTip:Z (mm)
22,0,436.0973,-95.94126,447.6033,357.44662,-5.266952,307.8868,286.92743,65.65874,184.99626,164.50136,217.06769,46.475445,210.33015,157.22939,102.87851,188.93333,262.53906,18.940987,80.62695,238.10954,25.212683,43.132977,282.97372,24.211031
23,0,437.0395,-96.51594,446.61243,357.80707,-5.4891353,307.29245,286.67957,65.70845,184.81947,163.92963,217.00098,46.076363,209.75993,157.07076,102.67268,188.29248,262.47736,18.717285,80.08914,237.96745,24.905445,42.402985,282.81677,24.247257
24,0,437.93274,-97.09742,445.63242,358.11624,-5.712081,306.71027,286.3752,65.76137,184.65877,163.27234,216.92857,45.68208,209.10956,156.9068,102.48018,187.57051,262.4097,18.497438,79.474236,237.80745,24.591814,41.60682,282.63593,24.27327
25,0,438.77667,-97.68588,444.6627,358.37274,-5.936169,306.13992,286.01288,65.81732,184.51442,162.52695,216.85052,45.291607,208.37659,156.73691,102.30096,186.76392,262.33646,18.280542,78.77922,237.62947,24.272135,40.74138,282.43185,24.289925
26,0,439.57065,-98.28156,443.70288,358.5751,-6.1618223,305.58118,285.59073,65.87609,184.38686,161.69124,216.76688,44.904026,207.55878,156.56049,102.134895,185.87007,262.25797,18.065786,78.00176,237.43358,23.946743,39.804333,282.20517,24.298122
27,0,440.314,-98.88475,442.75247,358.722,-6.389514,305.03375,285.1075,65.93753,184.27643,160.76338,216.67769,44.518448,206.65442,156.37701,101.98189,184.88629,262.17447,17.852438,77.140015,237.21974,23.61595,38.79344,281.9565,24.298727
28,0,441.00577,-99.49575,441.8112,358.812,-6.619731,304.49762,284.5615,66.001434,184.18355,159.7419,216.58298,44.134087,205.66185,156.18602,101.84186,183.81046,262.08624,17.639812,76.192345,236.9881,23.280104,37.707275,281.68652,24.292671
29,0,441.64514,-100.11493,440.87875,358.84363,-6.853041,303.9727,283.95187,66.06759,184.10873,158.62575,216.4828,43.75021,204.57993,155.98703,101.7147,182.64156,261.99338,17.427408,75.15794,236.73862,22.939484,36.54459,281.3959,24.280851
30,0,442.231,-100.742744,439.95502,358.81564,-7.0900645,303.45898,283.27747,66.13571,184.0525,157.4144,216.37718,43.36616,203.4077,155.77959,101.60039,181.3781,261.89606,17.214716,74.03611,236.47147,22.59438,35.304955,281.08527,24.264126
31,0,442.76212,-101.37959,439.03986,358.72665,-7.3314114,302.95663,282.53745,66.20559,184.01549,156.10747,216.26605,42.98135,202.14508,155.56322,101.49885,180.02,261.79434,17.00131,72.82703,236.18669,22.245008,33.988365,280.75525,24.243334
