Depth,Landmark.z,Ratio
1.3250000476837158,2.441594517677004e-07,wrist
0.0,-0.01696673221886158,finger
1.3390001058578491,1.9597743516897026e-07,wrist
1.2120000123977661,-0.01883089728653431,finger
1.3020000457763672,1.867571484126529e-07,wrist
1.196000099182129,-0.01563144102692604,finger
1.3300000429153442,1.7893535186885856e-07,wrist
1.2050000429153442,-0.015425480902194977,finger
1.3130000829696655,1.8319038019853906e-07,wrist
1.2070000171661377,-0.012933949008584023,finger
1.2700001001358032,1.7480348901699472e-07,wrist
1.2070000171661377,-0.012857448309659958,finger
1.2620000839233398,1.8111080635208054e-07,wrist
1.2030000686645508,-0.017003364861011505,finger
1.2910000085830688,1.91575296071278e-07,wrist
1.2070000171661377,-0.01789373718202114,finger
1.2780001163482666,1.9639882964384014e-07,wrist
1.196000099182129,-0.017237579450011253,finger
1.2780001163482666,1.9724183175640064e-07,wrist
1.2070000171661377,-0.016764303669333458,finger
1.2670000791549683,1.973532306465131e-07,wrist
1.196000099182129,-0.021582303568720818,finger
1.2940000295639038,2.055835750525148e-07,wrist
1.2030000686645508,-0.01582198776304722,finger
1.2860000133514404,1.982483013307501e-07,wrist
1.2030000686645508,-0.015151763334870338,finger
1.2940000295639038,1.8449215133387042e-07,wrist
1.2070000171661377,-0.010595755651593208,finger
1.2970000505447388,1.8394401024579565e-07,wrist
1.2030000686645508,-0.01640273816883564,finger
1.283000111579895,1.8260880096931942e-07,wrist
1.2100000381469727,-0.01685665361583233,finger
1.2910000085830688,1.8718245087256946e-07,wrist
1.2030000686645508,-0.01666298881173134,finger
1.283000111579895,1.899837087648848e-07,wrist
1.2050000429153442,-0.01732219196856022,finger
1.283000111579895,2.073249447676062e-07,wrist
1.2100000381469727,-0.01511645782738924,finger
1.2890000343322754,2.0136673128945404e-07,wrist
1.193000078201294,-0.0203766580671072,finger
1.2940000295639038,2.0015504276216234e-07,wrist
1.2050000429153442,-0.021499844267964363,finger
1.2940000295639038,1.9606761725299293e-07,wrist
1.215000033378601,-0.023705456405878067,finger
1.2780001163482666,1.886934910544369e-07,wrist
1.2050000429153442,-0.023146022111177444,finger
1.252000093460083,1.7688017805994605e-07,wrist
1.2050000429153442,-0.02594740502536297,finger
1.2700001001358032,1.649232643785581e-07,wrist
1.2100000381469727,-0.026049671694636345,finger
1.2780001163482666,1.5370180506124598e-07,wrist
