Frame,Sub Frame,Tasch:shoulder:X (mm),Tasch:shoulder:Y (mm),Tasch:shoulder:Z (mm),Tasch:shoulderElbowSupport:X (mm),Tasch:shoulderElbowSupport:Y (mm),Tasch:shoulderElbowSupport:Z (mm),Tasch:elbow:X (mm),Tasch:elbow:Y (mm),Tasch:elbow:Z (mm),Tasch:wrist:X (mm),Tasch:wrist:Y (mm),Tasch:wrist:Z (mm),Tasch:elbowWrist:X (mm),Tasch:elbowWrist:Y (mm),Tasch:elbowWrist:Z (mm),Tasch:outerKnuckle:X (mm),Tasch:outerKnuckle:Y (mm),Tasch:outerKnuckle:Z (mm),Tasch:thumbKnuckle:X (mm),Tasch:thumbKnuckle:Y (mm),Tasch:thumbKnuckle:Z (mm),Tasch:thumbTip:X (mm),Tasch:thumbTip:Y (mm),Tasch:thumbTip:Z (mm)
23,0,415.64542,-91.422066,480.4215,346.2048,-2.8920133,328.75284,286.47086,61.29476,191.53207,160.18143,211.1022,55.77794,208.96475,153.96277,108.66488,192.20969,250.25737,26.625948,81.79511,234.04823,23.511086,53.16227,273.58655,20.194841
24,0,415.3454,-91.30352,480.40604,345.58667,-2.8909678,328.68436,285.4663,61.176723,191.51163,158.49854,210.98866,55.80099,207.59514,153.78044,108.794395,190.50377,250.1459,26.222197,80.05071,233.93275,23.617147,51.03059,273.3449,20.462883
25,0,415.03445,-91.15938,480.37454,344.91492,-2.8815727,328.6058,284.38773,61.059742,191.48865,156.76025,210.87636,55.81844,206.15707,153.59663,108.91726,188.75339,250.04413,25.81206,78.22852,233.81331,23.740181,48.82376,273.11948,20.741215
26,0,414.71072,-90.99207,480.32578,344.1987,-2.8670912,328.51483,283.2416,60.943478,191.46057,154.96933,210.76433,55.824997,204.6577,153.41281,109.03285,186.94875,249.94882,25.39568,76.33289,233.68953,23.877132,46.548927,272.9123,21.028458
27,0,414.37503,-90.804085,480.25885,343.44513,-2.8486898,328.4104,282.03708,60.827576,191.42633,153.12773,210.65196,55.818222,203.10307,153.22919,109.140045,185.0891,249.85771,24.97437,74.36911,233.56117,24.02554,44.215103,272.72415,21.323786
28,0,414.02902,-90.5979,480.17297,342.6606,-2.8271043,328.292,280.782,60.711735,191.38536,151.2388,210.5388,55.79691,201.49916,153.04546,109.23792,183.17667,249.7692,24.549824,72.34298,233.42819,24.183365,41.830563,272.5553,21.62651
29,0,413.6746,-90.375885,480.06766,341.85074,-2.8030634,328.15936,279.4839,60.595562,191.33742,149.30696,210.42462,55.760426,199.85175,152.86111,109.325806,181.21524,249.68211,24.12386,70.26088,233.29077,24.348803,39.402847,272.4058,21.936
30,0,413.31393,-90.14034,479.94235,341.0205,-2.7772906,328.01242,278.14935,60.47866,191.28249,147.33704,210.30925,55.708485,198.16664,152.67563,109.40325,179.20923,249.59554,23.698261,68.128914,233.1492,24.520306,36.93924,272.27554,22.251545
31,0,412.94922,-89.893486,479.79678,340.17493,-2.7506,327.85117,276.7847,60.360672,191.22066,145.3343,210.19263,55.640984,196.44951,152.48848,109.47006,177.16397,249.5087,23.274725,65.95364,233.00385,24.696512,34.44688,272.16443,22.572466
32,0,412.58267,-89.63756,479.63068,339.3182,-2.7238247,327.67575,275.39563,60.24124,191.15215,143.30414,210.07472,55.557987,194.7064,152.29916,109.52613,175.08492,249.42105,22.854895,63.741272,232.85506,24.876272,31.932766,272.07224,22.89807
33,0,412.21503,-89.3673,479.44495,338.45428,-2.7037158,327.48676,274.01324,60.123802,191.07993,141.25687,209.95424,55.45914,192.9659,152.10654,109.57188,173.0088,249.33682,22.43465,61.48362,232.70518,25.0546,29.371628,272.0,23.226187
34,0,411.8509,-89.08537,479.2404,337.59122,-2.6859767,327.28345,272.63138,60.008194,191.00401,139.2083,209.83238,55.343956,191.22401,151.91121,109.606224,170.93416,249.25519,22.017033,59.19096,232.55475,25.234318,26.774874,271.94702,23.557915
35,0,411.4949,-88.79416,479.01685,336.73392,-2.668961,327.06567,271.24875,59.893803,190.92332,137.16187,209.70955,55.212006,189.48143,151.71333,109.62839,168.86128,249.17497,21.604372,56.871773,232.40366,25.416256,24.154593,271.91293,23.893105
36,0,411.1508,-88.4956,478.77405,335.88623,-2.652699,326.83344,269.86783,59.78008,190.8371,135.11992,209.5857,55.063324,187.74121,151.51286,109.63801,166.792,249.09534,21.198332,54.532787,232.25194,25.60014,21.519983,271.8977,24.231285
37,0,410.80154,-88.1726,478.519,335.0891,-2.6314354,326.5951,268.49875,59.68008,190.74686,133.07567,209.4681,54.90298,185.99391,151.30591,109.646706,164.72278,249.01535,20.796885,52.192234,232.11087,25.794264,18.87751,271.91043,24.57175
38,0,410.44827,-87.814384,478.25815,334.36258,-2.596085,326.3547,267.1734,59.60055,190.6579,131.02582,209.36058,54.734028,184.24828,151.09073,109.66057,162.64066,248.93442,20.396696,49.859695,231.98671,26.000156,16.240477,271.9551,24.912169
39,0,410.11853,-87.4324,477.9894,333.68292,-2.5459373,326.10635,265.90973,59.5315,190.57262,128.9786,209.2577,54.553085,182.52765,150.8711,109.67116,160.54541,248.85205,19.997044,47.528084,231.87148,26.207016,13.619201,272.0226,25.249142
40,0,409.8055,-87.01532,477.72162,333.10446,-2.4832404,325.8497,264.7736,59.483124,190.50787,126.999535,209.17351,54.391598,180.87535,150.65604,109.69619,158.53732,248.78903,19.621578,45.241463,231.75975,26.430414,11.055141,272.1028,25.570816
41,0,409.5133,-86.553604,477.4643,332.68665,-2.410018,325.58707,263.85336,59.46987,190.48102,125.17797,209.12451,54.28598,179.37086,150.45895,109.75535,156.71478,248.76794,19.296932,43.06439,231.64319,26.692093,8.614158,272.18506,25.862223
42,0,409.29138,-86.07733,477.2033,332.36255,-2.3314052,325.32193,263.0678,59.47581,190.46379,123.479805,209.09073,54.198654,178.01352,150.28043,109.82087,154.98154,248.76163,18.995298,40.97521,231.51562,26.971447,6.277694,272.26724,26.129223
43,0,409.14673,-85.595535,476.93375,332.11804,-2.2477546,325.05637,262.37857,59.49304,190.445,121.88205,209.06508,54.11757,176.76387,150.11815,109.883934,153.32764,248.76215,18.708042,38.96806,231.37576,27.260588,4.0357122,272.3459,26.376003
44,0,409.07666,-85.11136,476.65384,331.94354,-2.1597831,324.79282,261.76984,59.51829,190.42119,120.37297,209.0446,54.039837,175.60454,149.97028,109.94322,151.74641,248.76816,18.434925,37.036842,231.22412,27.55681,1.893744,272.42087,26.60681
45,0,409.0815,-84.63749,476.37958,331.8379,-2.070578,324.5517,261.2391,59.562523,190.3937,118.916504,209.03882,53.96367,174.52855,149.8556,110.00391,150.18752,248.81187,18.22043,35.14592,231.0595,27.876905,-0.118840165,272.51807,26.845291
46,0,409.15622,-84.17625,476.10226,331.79825,-1.980571,324.32147,260.77634,59.61406,190.36423,117.53985,209.03368,53.888237,173.52957,149.75375,110.06003,148.6831,248.86084,18.037596,33.354088,230.88074,28.20291,-2.0094373,272.62158,27.082056
47,0,409.29465,-83.72725,475.81912,331.82095,-1.8908069,324.09753,260.38083,59.668365,190.33365,116.24706,209.0263,53.813488,172.60611,149.658,110.11236,147.24532,248.90822,17.877338,31.663914,230.68958,28.528297,-3.7865012,272.7259,27.314135
48,0,409.4915,-83.29031,475.52936,331.90244,-1.8020151,323.8778,260.04926,59.723648,190.30249,115.03583,209.01685,53.739788,171.7556,149.56581,110.1625,145.87679,248.95293,17.735416,30.06906,230.48817,28.850676,-5.4609714,272.82892,27.540794
49,0,409.7426,-82.865395,475.23276,332.03894,-1.7145542,323.661,259.77753,59.77916,190.27092,113.90138,209.0061,53.66756,170.97415,149.476,110.2117,144.57626,248.99522,17.609102,28.561693,230.2785,29.169058,-7.043322,272.92975,27.762007
50,0,410.04437,-82.452545,474.92917,332.22696,-1.628576,323.4464,259.5614,59.834625,190.23906,112.83823,208.99492,53.597115,170.25725,149.3879,110.26091,143.34073,249.03568,17.496243,27.13421,230.06213,29.483122,-8.542597,273.02786,27.977903
51,0,410.39328,-82.051796,474.6187,332.46292,-1.5441537,323.23343,259.3968,59.88995,190.20688,111.84075,208.9839,53.528774,169.59982,149.30106,110.310745,142.1662,249.07478,17.395021,25.779875,229.84033,29.79276,-9.966753,273.12302,28.188679
52,0,410.7862,-81.6631,474.30142,332.74335,-1.461281,323.0216,259.27975,59.94521,190.1744,110.903305,208.97359,53.462708,168.99725,149.21524,110.36166,141.04828,249.11314,17.30387,24.49239,229.6141,30.098057,-11.322876,273.2149,28.394571
53,0,411.21902,-81.28506,473.97787,333.0635,-1.3783839,322.81238,259.20828,60.002014,190.14192,110.026764,208.96489,53.39882,168.44576,149.13013,110.413475,139.98863,249.15082,17.2225,23.27506,229.3824,30.397165,-12.606273,273.30566,28.594889
